,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL10048,-23.5587919841,-14.9216394239,3,3,3,3,0,3,0,0,1,2,0,0,4,2,0,1,4,4,1,0,2,3,1,0
CHEMBL10085,-11.770268539,0.469414640797,0,3,0,1,1,0,2,3,3,1,1,2,2,3,2,2,0,0,0,2,3,4,3,3
CHEMBL101483,-26.5493786601,0.148326725223,0,3,0,1,3,2,1,4,0,3,3,4,2,0,2,3,3,1,4,4,0,3,4,4
CHEMBL101535,-27.1462243379,0.670356814543,0,3,0,1,3,2,1,4,0,3,3,4,3,0,2,3,3,1,4,4,0,3,4,4
CHEMBL101690,29.9171492717,-7.34269201513,1,0,1,2,0,1,0,0,0,2,4,4,0,1,1,0,1,3,4,3,4,4,4,2
CHEMBL10207,-22.3575446537,-14.7370331385,3,3,3,3,0,3,0,0,1,2,0,0,1,3,0,1,4,4,1,0,2,3,1,0
CHEMBL102175,-27.144842296,1.1722431078,0,3,0,1,3,1,1,4,0,3,3,4,2,0,2,3,3,1,4,4,0,3,4,4
CHEMBL102250,32.5558796014,-9.50226681516,1,0,1,2,0,1,0,0,0,4,4,4,0,1,1,0,1,3,4,3,4,4,4,2
CHEMBL10270,-25.073328281,-14.7439703067,3,1,3,3,0,3,0,0,1,2,0,0,4,2,0,1,4,4,1,0,2,3,1,0
CHEMBL10289,-23.5757190701,-14.9883141689,3,3,3,3,0,3,0,0,1,2,0,0,4,2,0,1,4,4,1,0,2,3,1,0
CHEMBL103424,30.9478919671,-7.18872771889,1,0,1,2,0,1,0,0,0,4,4,4,2,3,1,0,1,3,4,3,4,4,4,2
CHEMBL103479,31.7357795253,-8.65247337107,1,0,1,2,0,1,0,0,0,4,4,4,0,1,1,0,1,3,4,3,4,4,4,2
CHEMBL103503,30.9007913587,-8.33045890913,1,0,1,2,0,1,0,0,0,4,4,4,0,1,1,0,1,3,4,3,4,4,4,2
CHEMBL103550,31.5448507657,-9.79452977602,1,0,1,2,0,1,0,0,0,4,4,4,0,1,1,0,1,3,4,3,4,4,4,2
CHEMBL103772,3.10089950693,2.68609457912,2,0,4,3,2,0,3,2,3,4,4,0,3,4,3,0,3,2,2,1,3,1,4,0
