,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL101008,11.1731014822,-18.1170372495,4,4,4,0,4,4,1,0,4,4,4,1,4,4,4,3,4,4,4,1,4,4,4,1
CHEMBL101664,3.57439684297,-2.29764935573,4,4,0,0,0,0,1,0,3,1,4,0,4,4,4,1,4,3,4,0,4,3,1,0
CHEMBL102347,0.0233755998234,-10.7454461796,4,4,3,0,4,3,4,0,1,4,4,0,4,3,4,1,4,4,4,0,2,1,4,0
CHEMBL103479,21.132571571,-7.67038457004,0,1,2,2,3,2,3,4,2,4,4,4,1,2,0,0,4,4,3,4,4,4,4,4
CHEMBL104,13.8361581307,12.6400958218,3,3,4,4,4,4,4,4,4,1,4,3,4,4,4,4,4,4,4,4,2,4,4,4
CHEMBL104308,3.03278312138,-30.2177718532,3,3,3,3,2,4,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL104636,0.47653409979,-29.4892785893,3,3,3,3,2,4,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL104709,4.36634896459,-30.4505415924,3,3,3,3,2,2,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL104903,3.29514526797,-29.6389611394,3,3,3,3,2,2,3,0,1,2,0,1,3,4,3,1,3,3,0,1,2,1,0,1
CHEMBL105261,17.0739094883,-8.54189084064,0,1,2,0,3,1,3,0,2,4,4,0,1,0,0,1,4,4,3,0,4,4,4,0
