,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL103479,14.2550675052,-38.7756290652,1,4,4,4
CHEMBL104,25.6662434425,20.7925974601,4,3,3,2
CHEMBL1043,7.14885895355,-26.0183987605,2,3,2,3
CHEMBL105261,13.4851031182,-36.8455609618,1,4,4,2
CHEMBL1065,18.9397928377,-41.00852158,3,4,4,4
CHEMBL1076583,-19.7058491534,-19.136352632,2,1,0,0
CHEMBL1076665,-18.9324681553,-19.7738314822,2,1,0,2
CHEMBL1076684,-16.5342862497,-17.8441485564,2,1,0,2
CHEMBL1076687,-18.2663710245,-21.4598176576,2,1,0,2
CHEMBL1078207,-37.812992201,-25.275398502,0,2,2,3
CHEMBL1078208,-34.9312606471,-26.1799559508,0,2,2,3
CHEMBL1078491,-36.1636864817,-25.8991870243,0,2,2,3
CHEMBL1078492,-35.2809884516,-28.8343602394,0,3,2,3
CHEMBL1078595,-36.6425694188,-25.9922385336,0,3,2,3
CHEMBL1079311,-34.1183920231,-25.8632349557,0,2,2,3
CHEMBL1079976,-18.3609525861,-17.2734248302,2,1,0,2
CHEMBL1079977,-19.1963669768,-20.9298069892,2,1,0,2
CHEMBL1079978,-17.4040028329,-17.538616678,2,1,0,1
CHEMBL1080316,-18.6238346915,-20.9681745048,2,1,0,2
CHEMBL1080331,-17.6454134809,-21.043461239,2,1,0,2
CHEMBL1080380,-19.6416965871,-18.6764640905,2,1,0,2
CHEMBL1080381,-17.994830199,-16.5977403998,2,1,0,2
CHEMBL1080574,-20.8412268272,-20.0227838905,2,1,0,0
CHEMBL1080694,-18.7650997702,-21.289057048,2,1,0,2
CHEMBL1080729,-19.9499349515,-18.6240262575,2,1,0,2
CHEMBL1080741,-17.2270247344,-17.6200646178,2,1,0,3
CHEMBL1080899,-17.7380848888,-16.1542802849,2,1,0,2
CHEMBL1081074,-16.7602006742,-17.3017447501,2,1,0,3
CHEMBL1081094,-18.6752171973,-17.3468053534,2,1,0,0
CHEMBL1081095,-16.8093039888,-19.7632018811,2,1,0,0
CHEMBL1081110,-16.312443841,-19.557901313,2,1,0,0
CHEMBL1081120,-19.8647109745,-17.6994937193,2,1,0,2
CHEMBL1081792,-16.172903339,-19.6774096909,2,1,0,0
CHEMBL1081793,-15.94606638,-19.2065365353,2,1,0,0
CHEMBL1081794,-18.1434631205,-20.4060311018,2,1,0,0
CHEMBL1082198,-18.0238701162,-20.0446982221,2,1,0,2
CHEMBL1082199,-16.6914726431,-18.2690130107,2,1,0,2
CHEMBL1082200,-17.6285377243,-21.3134921343,2,3,0,2
CHEMBL1082483,8.77123899155,21.3631323177,0,2,3,4
CHEMBL1082484,10.7606142104,23.1681426894,0,2,3,4
CHEMBL1082485,11.3694289642,23.9587662979,0,2,3,4
CHEMBL1082494,9.3778859701,22.237847151,0,2,3,4
CHEMBL1082508,-12.9027621062,-40.1254771685,2,3,0,3
CHEMBL1082509,-14.2762547273,-40.7034634106,2,3,0,3
CHEMBL1082510,-15.5419629134,-40.2767749976,2,3,0,3
CHEMBL1082761,19.6699105844,-16.5240923276,2,1,0,2
CHEMBL1082762,19.1885617774,-18.3108654258,2,1,0,2
CHEMBL1082763,21.5119841516,-14.057991751,2,1,0,2
CHEMBL1082764,12.3677363488,23.6684771456,0,2,3,4
CHEMBL1082765,13.2803832885,24.1083108627,0,2,3,4
CHEMBL1082766,12.3859127066,24.599379143,0,2,3,4
CHEMBL1082767,12.1572163107,25.1550190022,0,2,3,4
CHEMBL1082777,-17.0252015159,-39.6013822149,2,3,0,3
CHEMBL1082818,10.2401822091,23.9255985489,0,2,3,4
CHEMBL1083075,18.7820148377,-16.3101421637,2,1,0,2
CHEMBL1083076,18.9854315198,-17.0787980396,2,1,0,2
CHEMBL1083077,16.9687626485,-16.027927661,2,1,0,2
CHEMBL1083078,15.3449934672,-16.7962202801,2,1,0,2
CHEMBL1083122,8.88591865789,20.5616425279,0,2,3,4
CHEMBL1083173,-12.537127516,-42.8412124799,2,3,0,3
CHEMBL1083297,11.8540010149,25.3054214267,0,2,3,4
CHEMBL1083298,12.2465515291,25.5675019341,0,2,3,4
CHEMBL1083388,17.1020107402,-16.3934688291,2,1,0,3
CHEMBL1083389,17.1250468323,-17.9318432647,2,1,0,3
CHEMBL1083390,2.53640504879,-29.7353020458,2,1,4,0
CHEMBL1083481,-13.2445007366,-44.4911240143,2,3,0,3
CHEMBL1083575,-15.4401808126,-42.0958836257,2,3,0,3
CHEMBL1083654,18.2869841622,-17.5614515852,2,1,0,2
CHEMBL1083780,-16.4597284203,-40.5857030344,2,3,0,3
CHEMBL1083781,-12.3974352404,-43.0593017032,2,3,0,3
CHEMBL1083782,-14.8190963661,-44.3841721653,2,3,0,3
CHEMBL1083886,-16.6075444431,-41.3657738924,2,3,0,3
CHEMBL1083909,11.7507772949,25.2349725722,0,2,3,4
CHEMBL1084071,-16.5434932655,-41.8122797453,2,3,0,3
CHEMBL1084214,11.606518686,25.6170260868,0,2,3,4
CHEMBL1084244,12.8254476697,-12.7757929255,2,1,0,3
CHEMBL1084315,8.76866127619,22.062989254,0,2,3,4
CHEMBL1084316,7.01926890374,21.3790689346,0,2,3,2
