,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL103479,28.6081620781,3.97746315033,2,0,3,3,4,3,4,4,3,4,4,4,2,3,0,3,4,3,4,4,4,4,4,4
CHEMBL1065,26.3564709633,18.3922235673,2,3,4,4,3,3,3,2,3,4,3,0,3,3,0,3,4,4,4,2,3,4,0,3
CHEMBL1091933,28.6194059526,-18.2708557961,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4
CHEMBL1094908,30.4155119547,-16.0888386892,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4
CHEMBL1112,14.7284320195,-58.2407586235,1,3,2,2,0,2,1,1,1,0,1,3,4,3,0,3,0,1,3,4,1,4,2,4
CHEMBL1113,-34.3303901445,-6.13185820945,1,0,3,3,4,2,4,3,4,4,4,0,4,4,4,4,3,3,4,2,2,4,4,0
CHEMBL111922,-30.4768817322,41.2825872739,3,0,1,0,1,0,0,0,2,2,0,2,0,3,1,0,1,2,0,3,2,3,4,3
CHEMBL111956,-30.9836299837,37.0071485461,3,0,1,0,1,0,0,0,2,2,0,2,0,1,1,0,1,2,0,3,2,3,4,3
CHEMBL112150,-27.2223569124,40.2039767505,3,0,1,0,1,0,0,0,2,2,0,2,0,3,1,0,1,2,0,3,2,3,4,3
CHEMBL112765,-29.5561075166,38.0566005745,3,0,1,0,1,0,0,0,2,2,0,2,0,3,1,0,1,2,0,3,2,3,4,3
CHEMBL112876,-32.8165597153,42.3328159987,3,0,1,0,1,0,0,0,2,2,0,2,0,3,1,0,1,2,0,3,2,3,4,3
CHEMBL113192,-35.4777705155,39.6404647992,3,0,1,0,1,0,0,0,2,2,0,2,0,1,1,0,1,2,0,3,2,3,4,3
CHEMBL114012,-39.5692483649,34.9162453714,3,0,1,0,1,0,0,0,2,2,0,2,0,3,1,0,1,2,0,3,2,3,4,3
CHEMBL114345,-22.0432447482,35.1556190937,3,1,1,0,1,0,0,0,2,2,0,2,3,3,1,3,1,2,0,3,2,3,4,3
CHEMBL115262,-24.727109477,33.5089804157,3,0,1,0,1,0,0,0,2,2,0,2,3,0,3,0,1,2,0,3,2,3,4,3
CHEMBL116292,-25.060484863,37.2563146496,3,1,1,0,1,0,0,0,2,2,0,2,3,3,1,3,1,2,0,3,2,3,4,3
