,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL10,-12.2683799079,5.67134822773,4,1,4,4,4,4,4,4,0,4,4,4,4,0,4,3,4,2,4,4,3,4,4,4
CHEMBL100121,19.4188854972,-11.9432459354,3,0,3,3,0,2,2,3,0,2,1,1,3,3,2,3,2,4,3,1,3,2,1,2
CHEMBL102017,20.848436973,-11.3018686246,3,0,3,3,4,2,2,3,0,2,1,1,4,4,2,3,2,2,3,1,3,2,1,2
CHEMBL102126,17.6995440836,-13.4677036227,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,4,2,4,1,3,4,1,1
CHEMBL102178,20.8765980931,-11.3022924475,3,0,3,3,3,4,2,3,0,2,1,1,4,3,3,3,2,2,3,1,3,2,1,2
CHEMBL102429,20.9432221861,-11.341419279,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,2,2,3,1,3,2,1,2
CHEMBL102430,20.9969326421,-11.3704766821,3,0,3,4,4,4,4,3,0,2,1,1,4,1,3,3,2,2,3,1,3,2,1,2
CHEMBL102491,20.872880784,-11.2936719884,3,0,3,3,3,4,2,3,0,2,1,1,4,3,3,3,2,2,3,1,3,2,1,2
CHEMBL102753,17.6155066736,-11.3263700806,4,1,3,4,3,1,2,3,0,4,1,1,2,3,1,1,2,2,3,1,3,4,1,1
CHEMBL102974,22.2705237677,-12.2098924738,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,2,2,3,1,3,2,1,2
CHEMBL103150,18.2433445065,-14.1487909126,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,4,4,4,1,3,4,1,1
CHEMBL103278,20.6320766496,-11.20890013,3,0,3,3,0,2,2,3,0,4,1,1,3,3,2,3,2,4,3,1,3,2,1,2
CHEMBL103553,18.0168021851,-14.0010773344,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,4,2,4,1,3,4,1,1
CHEMBL103559,22.2028735677,-10.9977285435,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,2,2,3,1,3,2,1,2
CHEMBL103588,18.3737258457,-14.2823720662,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,4,4,4,1,3,4,1,1
CHEMBL103796,17.8403095791,-13.9080914368,4,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,2,2,4,1,3,4,4,4
CHEMBL104,-15.9395015287,4.66344941846,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
CHEMBL104998,20.4239370664,-12.7298210697,3,1,3,4,0,1,4,3,0,2,1,1,3,2,3,3,2,2,3,1,3,2,1,2
CHEMBL104999,21.0822445163,-12.7355921059,3,0,3,4,4,4,4,3,0,2,1,1,4,0,3,3,2,2,3,1,3,2,1,2
CHEMBL105000,19.1284933048,-12.5360481893,4,0,3,4,4,4,4,3,0,2,1,1,4,1,3,3,2,2,3,1,3,2,1,2
CHEMBL105913,-16.0164288727,-2.52818114284,3,0,3,2,4,4,3,2,0,1,1,1,4,0,3,4,4,2,4,1,4,4,1,1
CHEMBL106346,-18.5523617683,-1.04388896768,3,0,3,2,4,4,3,2,0,1,1,1,4,0,3,4,4,2,4,1,4,4,1,1
CHEMBL107446,-14.9613219645,-1.28279166443,3,0,3,2,4,4,3,2,0,1,1,1,4,0,3,4,4,2,4,1,4,4,1,1
CHEMBL1076562,-14.1487095792,7.89341440677,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1076563,3.30801900624,13.4179581014,4,0,3,3,0,1,3,4,4,2,4,4,4,4,4,4,2,1,3,4,3,4,4,3
CHEMBL1076587,-11.8393691559,6.55541856841,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1079801,-14.2126627332,7.88243104504,3,0,4,3,3,2,2,4,0,2,4,2,4,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1079803,-14.1136116243,7.24843548053,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1079804,-13.5571749214,7.1892551173,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1080327,3.30537216321,13.4316768582,4,0,4,4,4,4,4,3,4,2,4,4,4,4,4,4,2,1,3,4,3,4,4,3
CHEMBL1080497,3.30238672659,13.4291213408,4,0,4,3,0,2,3,4,4,2,4,4,4,4,4,4,2,1,3,4,3,4,4,3
CHEMBL1080500,-13.2588764619,6.8654691433,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1080512,3.29562656957,13.4324912804,4,0,4,4,4,4,4,3,4,2,4,4,4,4,4,4,2,1,3,4,3,4,4,3
CHEMBL1080513,3.30251007173,13.4205032895,4,0,3,3,0,0,3,4,4,2,4,4,4,4,4,4,2,1,3,4,3,4,4,3
CHEMBL1080676,-13.3270695789,6.79198279261,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1081038,-11.7714806066,7.92281318531,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1081039,-13.300093404,6.8378162693,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1081041,-15.2279278142,8.83290372167,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1081811,-13.4075915661,7.16348652122,3,0,4,3,0,1,3,4,0,2,4,2,3,1,2,3,2,2,4,4,3,4,4,2
CHEMBL1081812,-14.8434890297,8.58443957792,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1081841,3.31027873892,13.4152117854,3,1,3,3,0,0,3,4,4,2,4,4,2,0,4,4,2,1,3,4,3,4,4,3
CHEMBL1081971,-14.0256075319,7.62484728556,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1082001,3.30638607636,13.4239647615,3,0,4,4,4,4,4,3,4,2,4,4,4,1,4,4,2,1,3,4,3,4,4,3
CHEMBL1082002,3.29717765252,13.4245491371,4,0,4,4,4,4,4,3,4,2,4,4,4,4,4,4,2,1,3,4,3,4,4,3
CHEMBL1082005,-13.6401762917,7.03181428293,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1082006,-13.2608932652,6.6971244286,4,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1082028,-13.0514425524,6.64845077649,3,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1082171,-13.2360542888,6.64770054776,4,0,4,3,3,2,2,4,0,2,4,2,3,3,2,3,2,2,3,1,3,4,4,2
CHEMBL1082208,-12.7251943371,6.93740470275,3,0,4,4,0,1,3,2,0,4,4,1,1,2,4,3,2,2,4,1,3,4,4,1
CHEMBL1086697,2.6460395124,-30.5044425217,3,3,3,3,3,1,2,2,4,2,1,2,3,2,4,3,2,2,3,4,3,2,4,2
CHEMBL1086804,2.60521439359,-29.8704644622,3,4,3,3,3,0,2,4,4,2,1,2,3,3,4,3,2,2,3,4,3,2,4,2
CHEMBL1086846,4.41001614394,-30.6325234941,3,0,4,3,4,4,4,2,4,2,1,2,4,4,4,3,2,2,3,4,3,2,4,2
CHEMBL1086847,4.40505200524,-30.6082473896,3,0,4,3,4,4,4,2,4,2,1,2,4,4,4,3,2,2,3,4,3,2,4,2
CHEMBL1086977,4.98347189494,-31.6314880795,3,0,4,3,4,4,4,2,4,2,1,2,4,1,4,3,2,2,3,4,3,2,4,2
