,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL10,0.409683650568,-7.9316381403,1,1,1,0
CHEMBL100121,7.56932796613,-6.245888071,4,1,3,2
CHEMBL100346,10.1047636447,5.08311836955,0,2,0,3
CHEMBL100347,9.78734354835,4.73515299886,0,2,0,3
CHEMBL100348,-10.4806070495,7.79094971189,4,3,4,4
CHEMBL100389,8.73761839125,5.38466736182,0,2,0,3
CHEMBL100440,10.1491166751,5.08085191205,0,2,0,3
CHEMBL100513,-10.3163399383,7.8067425529,4,3,4,4
CHEMBL100810,8.65846267651,5.41157694204,0,2,0,3
CHEMBL100832,9.63717336883,4.54080803957,3,2,3,3
CHEMBL100876,-10.4907760223,7.67912846054,4,3,4,4
CHEMBL100909,9.0953672343,5.41068233029,0,2,0,3
CHEMBL100992,-10.3677143566,7.8000240539,4,3,4,4
CHEMBL101218,-18.3673959559,0.111917816553,4,3,4,4
CHEMBL101383,-19.0598002901,-0.25869264429,4,3,4,4
CHEMBL101391,8.90883500832,5.45807339578,0,2,0,3
CHEMBL101525,8.73776168862,5.38472328373,0,2,0,3
CHEMBL101554,10.1047636702,5.08311829436,0,2,0,3
CHEMBL101663,-10.4712710414,7.80925159219,4,3,4,4
CHEMBL102017,5.58724605014,-7.96736728695,3,1,3,2
CHEMBL102035,-10.4846174246,7.67292833683,4,3,4,4
CHEMBL102116,-16.1573889057,2.24274552753,4,3,4,4
CHEMBL102126,5.5691028545,-5.61724616636,4,1,3,2
CHEMBL102178,6.58542654185,-8.11877706482,3,1,3,2
CHEMBL102429,5.98666005167,-8.7596535168,3,1,3,2
CHEMBL102430,6.087627434,-6.73020277772,3,1,3,2
CHEMBL102491,6.34122912927,-8.57778282433,3,1,3,2
CHEMBL102753,8.98836699746,-6.02745710255,3,4,3,2
CHEMBL102974,7.49649034777,-8.78355851933,3,1,3,2
CHEMBL103150,6.96878393374,-6.53343331375,4,1,3,2
CHEMBL103278,6.0205910261,-8.34650917862,3,1,3,2
CHEMBL103553,5.64986505904,-5.9173321815,4,1,3,2
CHEMBL103559,6.37384914551,-8.21401478017,3,1,3,2
CHEMBL103588,5.1741846596,-7.41775682403,4,1,3,2
CHEMBL103796,5.533827021,-5.51948960754,4,1,3,2
CHEMBL104,9.07947813178,-3.01817060492,3,4,3,0
CHEMBL104115,-11.5329339547,-17.6008364631,3,1,3,2
CHEMBL104177,-11.5929882389,-17.5785692108,3,1,3,2
CHEMBL104178,-11.3092741991,-18.4051122699,3,1,3,2
CHEMBL104425,-11.6145346556,-17.6304917262,3,1,3,2
CHEMBL104998,5.87555427556,-6.95625434392,3,1,3,2
CHEMBL104999,6.96559435163,-7.44758102061,3,1,3,2
CHEMBL105000,7.54441355974,-6.32415969526,4,1,3,2
CHEMBL105913,-11.3001798323,-18.5419103047,3,1,3,2
CHEMBL106346,-11.3035477212,-18.3186865051,3,1,3,2
CHEMBL106520,-11.5329317344,-17.6008333263,3,1,3,2
CHEMBL106986,-11.2627895105,-18.0110579108,3,1,3,2
CHEMBL107116,-11.0663481434,-18.0064738694,3,1,3,2
CHEMBL107414,-11.4780278716,-17.6273834674,3,1,3,2
CHEMBL107446,-11.3022592144,-18.2910522173,3,1,3,2
CHEMBL107637,-11.3945543235,-18.3612938178,3,1,3,2
CHEMBL1076562,-2.22510580296,-7.8210248721,1,1,3,1
CHEMBL1076563,-25.147235131,-15.957758234,2,0,2,1
CHEMBL1076587,-1.41938212491,-8.15644471889,1,1,3,1
CHEMBL1079801,-2.23371705576,-7.85814608108,1,1,3,1
CHEMBL1079802,-2.24642773628,-7.83241853991,1,1,3,1
CHEMBL1079803,-2.15175367967,-8.00626663287,1,1,3,1
CHEMBL1079804,-2.24331243173,-7.98618356345,1,1,3,1
CHEMBL1080327,-25.1554221581,-15.9454331951,2,0,2,1
CHEMBL1080497,-25.1543773063,-15.9472430101,2,0,2,1
CHEMBL1080500,-1.7022121012,-8.17241554596,1,1,3,1
CHEMBL1080512,-25.155834812,-15.9421575432,2,0,2,1
CHEMBL1080513,-25.149269939,-15.9553900986,2,0,2,1
CHEMBL1080676,-1.76634786186,-8.1375778167,1,1,3,1
CHEMBL1080677,-1.67152625451,-8.1788722348,1,1,3,1
CHEMBL1080679,-1.69132825418,-8.05126718328,1,1,3,1
CHEMBL1081038,-1.91346480021,-8.14835813048,1,1,3,1
CHEMBL1081039,-2.26994718097,-8.09419748334,1,1,3,1
CHEMBL1081040,-1.04291224823,-8.01756002995,1,1,3,1
CHEMBL1081041,-4.0878312647,-6.56940433862,1,1,3,1
CHEMBL1081811,-1.66730725678,-8.28618487608,1,1,3,1
CHEMBL1081812,-2.3566826558,-9.01231266652,1,1,3,1
CHEMBL1081841,-25.1464632936,-15.9593873242,2,0,2,1
CHEMBL1081971,-2.34829833462,-8.10649374477,1,1,3,1
CHEMBL1082001,-25.1502704071,-15.9499622113,2,0,2,1
CHEMBL1082002,-25.1492676672,-15.9503847719,2,0,2,1
CHEMBL1082005,-2.00587511976,-8.05416041701,1,1,3,1
CHEMBL1082006,-1.77171269857,-8.07005415533,1,1,3,1
CHEMBL1082028,-1.76916716269,-8.13249643706,1,1,3,1
CHEMBL1082171,-1.72217858504,-8.101980293,1,1,3,1
CHEMBL1082208,-0.959456621247,-8.15853328831,1,1,3,2
CHEMBL1086697,15.2983901819,-24.5349365342,3,1,2,0
CHEMBL1086804,15.3549415011,-24.5736681547,3,1,2,0
CHEMBL1086846,17.4498174307,-22.7919500271,3,1,2,0
CHEMBL1086847,17.449018645,-22.797687437,3,1,2,0
CHEMBL1086977,18.0549157153,-23.8658756017,3,1,2,0
CHEMBL1086978,16.4881688138,-22.8694004073,3,1,2,0
CHEMBL1087080,15.7470025492,-22.5708888736,3,1,2,0
CHEMBL1087081,15.7634014824,-22.4867059015,3,1,2,0
CHEMBL1087084,15.3839620898,-24.5089867141,3,1,2,0
CHEMBL1087085,15.3156343118,-24.5043651141,3,1,2,0
CHEMBL1087086,15.3515724402,-24.5436443657,3,1,2,0
CHEMBL1087183,15.3864867863,-24.5407353349,3,1,2,0
CHEMBL1087184,15.369253997,-24.5353928573,3,1,2,0
CHEMBL1087185,15.3554446931,-24.5424182996,3,1,2,0
CHEMBL1087189,18.7304872293,-23.8280714008,3,1,2,0
CHEMBL1087462,18.6182678914,-24.8114054764,3,1,2,0
CHEMBL1087463,18.616799006,-24.8478779048,3,1,2,0
CHEMBL1087699,18.6842990523,-24.4519489218,3,1,2,0
CHEMBL1087700,18.6252947192,-24.7149815573,3,1,2,0
CHEMBL1087701,18.6427996832,-24.6562892658,3,1,2,0
CHEMBL1087702,18.6629762126,-24.637167751,3,1,2,0
CHEMBL1087708,18.6260953754,-24.9255462856,3,1,2,0
CHEMBL1087709,18.6423669523,-24.6457107332,3,1,2,0
CHEMBL1087710,18.6502150201,-24.7236627922,3,1,2,0
CHEMBL1087711,18.696739849,-24.5580212712,3,1,2,0
CHEMBL1087714,18.7460734695,-23.1920313076,3,1,2,0
CHEMBL1087726,19.235847337,-23.0631656748,3,1,2,0
CHEMBL1087727,19.1272675137,-23.1450886718,3,1,2,0
CHEMBL1087819,18.6614904982,-24.8281478632,3,1,2,0
CHEMBL1087820,18.6427997294,-24.6562893693,3,1,2,0
CHEMBL1087869,16.6747701383,-22.8854365534,3,1,2,0
CHEMBL1087998,15.7586729245,-22.5792950028,3,1,2,0
CHEMBL1087999,15.8715205836,-22.6030856162,3,1,2,0
CHEMBL1088132,15.7500516778,-22.5705138247,3,1,2,0
CHEMBL1088235,18.5812944251,-23.0634276325,3,1,2,0
CHEMBL1088236,19.1272676713,-23.1450888972,3,1,2,0
CHEMBL1088237,19.2258998488,-23.0680800378,3,1,2,0
CHEMBL1088247,19.1097421264,-23.1370710205,3,1,2,0
CHEMBL1088259,15.3684621194,-24.5407523628,3,1,2,0
CHEMBL1088260,15.3896335029,-24.5129213036,3,1,2,0
CHEMBL1088261,15.5028793591,-24.3972281865,3,1,2,0
CHEMBL1088393,15.542047936,-24.3329626402,3,1,2,0
CHEMBL1088533,19.2180749144,-23.0707913694,3,1,2,0
CHEMBL1088665,19.1622429988,-23.1359023307,3,1,2,0
CHEMBL1088683,18.7641589946,-23.7369194268,3,1,2,0
CHEMBL1088710,15.8940206541,-22.6265853472,3,1,2,0
CHEMBL1089131,-3.99163878295,3.97699962971,1,0,1,2
CHEMBL1089322,-11.4565908451,-6.59487997627,1,4,1,4
CHEMBL1089427,-3.74351723545,4.20238657975,1,0,1,2
CHEMBL1089887,-4.45802655311,3.89490981969,4,0,1,2
CHEMBL1089902,-4.49780824426,3.90777476599,4,0,1,2
CHEMBL1089903,-4.50807193258,3.89392322255,4,0,1,2
CHEMBL1089904,-9.02801409441,4.96445145427,4,0,3,0
CHEMBL1089905,-9.00965007308,4.93736745908,4,0,3,0
CHEMBL1090241,-9.03968480555,4.98262041245,4,0,3,0
CHEMBL1090242,-8.98453104962,4.92656217537,4,0,3,0
CHEMBL1090243,-9.06801402892,4.95104673178,4,0,3,0
CHEMBL1090461,-12.7524716885,9.15787782366,4,0,3,1
CHEMBL1090489,-3.79742188704,4.16832533784,1,0,1,2
CHEMBL1090575,-5.18824454494,-27.4973529402,2,0,2,1
CHEMBL1090576,-5.18952375673,-27.4969753216,2,0,2,1
CHEMBL1090577,-5.18938008088,-27.4833429075,2,0,2,1
CHEMBL1090578,-5.19178809137,-27.4769541123,2,0,2,1
CHEMBL1090810,-3.83818220791,4.11792824449,1,0,1,2
CHEMBL1090811,-3.79375579527,4.17164836716,1,0,1,2
CHEMBL1090812,-3.82987579043,4.1610667797,1,0,1,2
CHEMBL1091031,-3.80750974442,4.17083021184,1,0,1,2
CHEMBL1091134,-9.04302538067,4.98519455815,4,0,3,0
CHEMBL1091267,-9.05256317158,5.51678351784,4,0,3,0
CHEMBL1091268,-12.767874857,9.20546256329,4,0,3,1
CHEMBL1091640,-12.7537613225,9.21721470033,4,0,3,1
CHEMBL1091641,-12.7815286276,9.21888762471,4,0,3,1
CHEMBL1091937,-12.7362177763,9.21361187114,4,0,3,1
CHEMBL1091938,-12.7890063732,9.14996709113,4,0,3,1
CHEMBL1091963,-8.93664794188,4.76514827971,4,0,3,0
CHEMBL1092270,-5.07919750106,-27.590912324,2,0,2,1
CHEMBL1092271,-5.0975636509,-27.5899736194,2,0,2,1
CHEMBL1093018,-5.19347371716,-27.4972878574,2,0,2,1
CHEMBL1093201,-8.96443164534,4.77671253799,4,0,3,0
CHEMBL1093202,-9.03408379087,5.50966150107,4,0,3,0
