,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL100203,-21.0888472609,-0.68852635106,4,4,4,4,4,4,4,4,4,4,4,0,1,0,3,1,4,4,4,1,4,4,4,0
CHEMBL100454,24.8726445441,-5.38432475072,2,3,3,3,4,3,4,3,2,3,3,4,2,1,2,1,2,3,1,3,4,4,3,4
CHEMBL100461,12.7872968134,13.7446246131,4,2,1,2,4,4,4,1,3,4,1,0,4,4,4,0,4,4,3,1,2,3,2,0
CHEMBL10085,16.0160541149,6.42576254561,0,3,0,1,3,0,1,2,2,0,2,2,0,2,1,2,0,0,0,2,1,1,1,4
CHEMBL100952,3.22494012631,13.9002382101,0,3,2,1,3,0,0,1,2,1,0,0,3,4,0,0,1,1,2,1,1,1,0,0
CHEMBL101032,3.95891048837,14.6150381432,3,3,2,1,3,0,0,1,2,1,0,0,3,4,0,0,1,1,2,1,1,1,0,0
CHEMBL101285,12.8402294475,13.7714387104,4,2,1,2,4,4,4,1,3,4,1,0,4,4,4,0,4,4,3,1,2,3,2,0
CHEMBL101483,-13.0189746514,11.1504165083,0,0,0,1,4,4,4,4,3,3,4,4,2,1,2,4,2,3,4,4,4,4,4,4
CHEMBL101535,-13.0840792977,11.0750107675,0,0,0,1,4,1,4,4,3,3,4,4,4,3,2,4,2,3,4,4,4,4,4,4
CHEMBL101910,11.7706716894,13.5717400399,4,1,4,2,4,4,4,1,3,4,2,0,4,4,4,0,4,4,3,1,2,3,2,0
CHEMBL10207,-5.73180372815,15.5599479134,3,3,1,2,2,3,2,0,1,2,1,0,3,1,0,0,3,2,1,1,3,3,0,0
CHEMBL102162,-21.2455040041,-0.731545316882,4,4,4,4,4,4,4,4,4,4,4,0,1,0,3,1,4,4,4,1,4,3,4,0
CHEMBL102175,-13.0624826142,11.1115055556,0,0,0,1,4,4,4,4,3,3,4,4,2,1,2,4,2,3,4,4,4,4,4,4
CHEMBL102414,-7.41201560249,16.4199867221,3,3,1,2,2,3,3,3,1,2,1,4,3,1,0,0,3,2,1,4,3,2,4,4
CHEMBL102490,11.788586449,13.5634568434,4,1,4,2,4,4,4,1,3,4,2,0,4,4,4,0,4,4,3,1,2,3,2,0
CHEMBL102582,-7.42866276249,16.33600521,3,3,1,2,2,3,3,3,1,2,1,2,3,1,1,0,3,2,1,1,3,2,4,4
CHEMBL102599,-4.11507227022,6.78192541599,2,3,3,3,3,2,0,1,2,4,2,0,4,2,4,1,1,1,2,1,1,1,1,0
CHEMBL102632,-9.05135975933,16.4189208781,3,3,1,2,2,2,3,0,4,2,1,0,3,1,0,0,3,2,1,1,3,2,0,0
CHEMBL10270,-4.35540673377,12.9873607969,3,3,1,2,2,3,2,0,1,2,1,0,3,2,0,0,3,2,1,1,3,2,0,0
CHEMBL10289,-3.9003890043,13.7727326338,3,3,1,2,2,3,2,0,1,2,1,0,3,2,0,0,3,2,1,1,3,3,0,0
CHEMBL103441,-10.2352593004,16.1130801488,3,4,4,3,2,4,2,0,4,4,4,4,3,1,0,1,4,4,4,4,1,4,4,4
CHEMBL103622,-9.1142523446,16.5159507008,3,4,4,2,2,3,2,0,4,2,1,0,3,1,0,0,3,2,1,1,3,2,0,0
CHEMBL103772,-4.1486180728,6.76626569343,2,3,3,3,3,2,0,1,2,4,2,0,4,2,4,1,1,1,2,1,1,1,1,0
CHEMBL103857,-9.12589707614,16.5090174166,3,4,4,2,2,3,2,0,4,2,1,0,3,1,0,0,3,2,1,1,3,2,0,0
CHEMBL103871,-4.10213424629,6.87264148,2,3,3,3,3,0,0,1,2,4,2,0,4,2,4,1,1,1,2,1,1,1,1,0
CHEMBL103900,1.80053910832,12.9359557129,0,3,2,1,3,0,0,1,2,1,0,0,3,4,0,0,1,1,2,1,1,1,0,0
CHEMBL103912,-9.61977496368,16.3226122922,3,4,4,2,2,2,2,0,4,2,1,0,3,1,0,0,3,4,1,1,4,4,0,0
CHEMBL103951,12.7908379256,13.7114393151,4,2,1,2,4,4,4,1,3,4,1,0,4,4,4,0,4,4,3,1,2,3,2,0
CHEMBL103983,-12.6820495574,11.2687799742,4,0,4,4,4,4,4,4,3,3,4,4,4,3,2,4,2,3,4,4,4,4,4,4
CHEMBL104,15.5848009231,12.5210854811,4,4,4,4,4,4,4,4,2,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
CHEMBL104058,28.4721336764,9.42857795153,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104063,22.4715327795,7.72969291584,1,0,2,0,3,0,1,2,3,3,3,3,1,0,3,4,1,1,2,2,2,4,2,0
CHEMBL10408,-4.34433012708,12.9235219901,3,3,1,2,2,3,2,0,1,2,1,0,3,2,0,0,3,2,1,1,3,3,0,0
CHEMBL104092,-16.5434434382,-1.57050031998,2,3,3,3,0,2,2,0,3,3,3,4,3,4,4,0,1,2,2,2,4,1,4,4
CHEMBL104135,-9.63135585897,16.3318627303,3,4,4,2,2,2,2,0,4,2,1,0,3,1,0,0,3,4,1,1,4,4,0,0
CHEMBL104138,24.6023511789,9.33893051576,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104155,23.4158930881,13.4562767812,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104160,25.9881379022,10.3237746759,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104196,25.3071988263,10.3066786787,0,3,2,0,3,1,1,2,3,3,3,3,0,2,1,3,1,1,2,2,2,1,2,3
CHEMBL104201,-16.5727453193,-2.06097850798,2,3,3,3,0,2,2,0,3,3,3,1,3,1,4,0,1,2,2,2,4,1,4,1
CHEMBL104238,25.1618488671,10.4543983984,1,0,2,0,3,1,1,2,3,3,3,3,2,2,1,3,1,1,2,2,2,1,2,3
CHEMBL104251,25.734930675,9.14905387295,2,0,2,0,3,1,1,2,3,3,3,3,2,2,1,3,1,1,2,2,2,1,2,3
CHEMBL104256,25.3281534591,12.7993938254,1,0,2,0,3,1,1,2,3,3,3,3,0,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104273,23.4207542598,13.4434381407,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104299,26.8084605844,13.0227647367,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104321,25.3261601552,12.8936703012,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104323,28.6100660615,9.27591318485,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104380,22.0569826365,7.48698355295,4,1,4,4,4,2,4,4,3,3,3,3,4,1,4,4,1,1,2,2,2,4,2,3
CHEMBL104399,25.1623026474,9.18103377061,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104432,25.8848839952,9.97708417402,1,0,2,0,3,1,1,2,3,3,3,3,2,2,1,3,1,1,2,2,2,1,2,3
CHEMBL104453,-16.448419914,-3.74054089517,1,3,3,3,0,2,2,0,3,3,3,4,1,0,3,1,1,2,2,2,4,1,4,4
CHEMBL104497,23.4142050172,13.4485063914,2,0,2,0,3,1,1,2,3,3,3,3,3,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104498,24.632721813,8.98729400626,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104514,23.8520309577,8.44055011458,1,0,2,0,3,1,1,2,3,4,3,3,2,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104571,9.72159498486,-0.850274755807,4,2,4,4,2,3,4,3,1,2,1,3,4,0,4,4,3,2,1,4,3,2,2,4
CHEMBL104579,23.4422477906,13.4389577253,0,3,2,0,3,1,1,2,3,3,3,3,0,2,1,3,1,1,2,2,2,4,2,3
CHEMBL104614,25.3051444152,12.8704661123,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104678,27.8309243069,9.59999136445,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104700,-6.43872974995,1.89525418357,2,3,3,3,2,3,2,0,4,3,4,0,1,1,4,0,2,2,4,4,4,3,2,0
CHEMBL104713,26.5038937862,11.8361051879,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104716,23.4335745637,13.4187376251,1,0,2,0,3,1,1,2,3,3,3,3,0,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104719,23.4290103101,13.4472672234,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104751,27.944108548,9.1298456948,0,3,2,0,3,1,1,2,3,3,3,3,0,3,1,3,1,1,2,2,2,1,2,3
CHEMBL104756,25.2059442438,9.16543679543,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,1,2,3
CHEMBL104788,23.4303136437,13.4076342938,1,0,2,0,3,1,1,2,3,3,3,3,2,1,1,3,1,1,2,2,2,4,2,3
CHEMBL104800,22.0681599466,7.49267886337,4,1,4,4,4,2,4,4,3,3,3,3,4,1,4,4,1,1,2,2,2,0,2,3
