,x,y,"('MACCS', 'bac')","('MACCS', 'bac_gtc')","('MACCS', 'bac_murcko')","('MACCS', 'bac_murcko_generic')","('KR', 'bac')","('KR', 'bac_gtc')","('KR', 'bac_murcko')","('KR', 'bac_murcko_generic')","('MolPrint2D', 'bac')","('MolPrint2D', 'bac_gtc')","('MolPrint2D', 'bac_murcko')","('MolPrint2D', 'bac_murcko_generic')","('EState', 'bac')","('EState', 'bac_gtc')","('EState', 'bac_murcko')","('EState', 'bac_murcko_generic')","('AllSMILESNgram', 'bac')","('AllSMILESNgram', 'bac_gtc')","('AllSMILESNgram', 'bac_murcko')","('AllSMILESNgram', 'bac_murcko_generic')","('ShortestPathCycles', 'bac')","('ShortestPathCycles', 'bac_gtc')","('ShortestPathCycles', 'bac_murcko')","('ShortestPathCycles', 'bac_murcko_generic')"
CHEMBL101692,-9.34402001114,16.1656401507,1,1,2,0,4,2,0,0,1,4,1,1,1,3,1,0,1,1,1,1,0,0,1,0
CHEMBL102416,-7.78259584697,14.1230798398,0,1,1,0,0,2,1,0,1,0,0,1,4,3,1,0,1,1,1,1,0,0,1,0
CHEMBL102452,-7.7713163131,13.8248635844,0,1,1,0,0,2,1,0,1,0,0,1,4,3,1,0,1,1,1,1,0,0,1,0
CHEMBL102984,-5.87062646152,12.4560842901,0,1,1,0,0,2,1,0,1,0,0,1,4,2,1,0,1,1,1,1,0,0,1,0
CHEMBL104669,-9.33158568148,13.263297613,0,1,1,1,0,2,1,1,1,0,0,1,4,3,1,0,1,1,1,1,0,0,1,0
CHEMBL105267,-6.70180775539,15.3339434462,0,0,1,1,0,2,1,1,1,0,0,1,4,3,1,0,1,1,1,1,0,0,1,0
CHEMBL105515,-8.1970120563,16.0499853962,0,1,1,0,0,2,1,0,1,0,0,1,4,2,1,0,1,1,1,1,0,0,1,0
CHEMBL105594,-8.54195639596,13.4361643096,0,1,1,0,0,2,1,0,1,0,0,1,4,3,4,0,1,1,1,1,0,0,1,0
CHEMBL105762,-4.3957144105,14.0602593052,0,1,1,1,0,2,1,1,1,0,0,1,4,2,1,0,1,1,1,1,0,0,1,0
CHEMBL105803,29.9388618591,-17.4416991616,4,0,4,4,4,4,4,4,4,3,4,4,4,0,4,4,4,4,4,0,4,4,4,4
CHEMBL105967,-8.1977010361,13.8068634586,0,1,1,0,0,2,1,0,1,0,0,2,4,3,4,4,1,1,1,1,0,0,1,3
CHEMBL106158,29.8156791933,-19.2388758164,4,0,4,4,4,4,4,1,4,3,4,0,4,0,4,4,4,4,4,0,4,4,4,1
CHEMBL106483,-7.87751634503,13.7582574945,0,1,2,0,2,2,3,0,1,0,0,1,4,3,1,0,1,1,1,1,0,0,1,0
CHEMBL106545,-5.80747003972,14.9924284633,0,1,1,1,0,2,1,1,1,0,0,1,4,3,1,0,1,1,1,1,0,0,1,0
CHEMBL106570,29.8156786947,-19.238878186,4,0,4,4,4,4,4,1,4,3,4,0,4,0,4,4,4,4,4,0,4,4,4,1
CHEMBL106596,-7.73274005441,14.1455711619,0,1,1,0,0,2,1,0,1,0,0,1,4,3,1,0,1,1,1,1,0,0,1,0
CHEMBL106612,28.941083652,-18.3044651276,4,0,4,4,4,4,4,1,4,3,4,0,4,0,4,4,4,4,4,0,4,4,4,1
CHEMBL106913,28.9410852892,-18.3044679027,4,0,4,4,4,4,4,1,4,3,4,0,4,0,4,4,4,4,4,0,4,4,4,1
CHEMBL106931,28.9410838555,-18.3044717328,4,0,4,4,4,4,4,1,4,3,4,0,4,0,4,4,4,4,4,0,4,4,4,1
