,,extra_tooltip,which,x,y
0,US2014_296528compound5a,US 2014/296528 compound 5a,drugbank,11.8264827728,-21.4263362885
1,US2014_296528compound5e,US 2014/296528 compound 5e,drugbank,12.1707735062,-21.6409015656
2,US2014_296528compound5c,US 2014/296528 compound 5c,drugbank,11.9335012436,-21.1668796539
3,US2014_296528compound5,US 2014/296528 compound 5,drugbank,11.274225235,-21.8594074249
4,US2015_374695compound6,US 2015/374695 compound 6,drugbank,15.1327199936,-22.2944812775
5,US2015_374695compound6a,US 2015/374695 compound 6a,drugbank,14.9115495682,-21.3858966827
6,US2015_374695compound6e,US 2015/374695 compound 6e,drugbank,14.4379911423,-21.5518474579
7,US2015_374695compound6c,US 2015/374695 compound 6c,drugbank,14.9591655731,-21.0879764557
8,WO2017_220799compound1,WO 2017/220799 compound 1,drugbank,-32.2716293335,-21.1092681885
9,WO2017_220799compound14,WO 2017/220799 compound 14,drugbank,-32.2960014343,-21.2427177429
10,WO2017_220799compound18,WO 2017/220799 compound 18,drugbank,-32.3926963806,-20.6211147308
11,WO2017_220799compound39,WO 2017/220799 compound 39,drugbank,-31.4159870148,-21.3626461029
12,WO2017_220799compound54,WO 2017/220799 compound 54,drugbank,-31.5352573395,-20.5884132385
13,WO2017_220799compound60,WO 2017/220799 compound 60,drugbank,-32.6785736084,-21.6541538239
14,WO2017_220799compound30,WO 2017/220799 compound 30,drugbank,-32.729057312,-20.2220001221
15,US2018_125798,US 2018/125798,drugbank,25.5008506775,48.8475761414
16,US2018_125798,US 2018/125798,drugbank,25.4521446228,49.0181083679
17,US2018_125798,US 2018/125798,drugbank,26.3904151917,48.5103111267
18,US2018_125798,US 2018/125798,drugbank,25.1296291351,48.1188812256
19,US2018_125798,US 2018/125798,drugbank,25.3881340027,48.419921875
20,US2018_125798,US 2018/125798,drugbank,25.5668830872,49.7255325317
21,US2018_125798,US 2018/125798,drugbank,24.6028785706,49.2083740234
22,WO2013_102249compoundLDT2,WO 2013/102249 compound LDT2,drugbank,15.3550214767,27.2393703461
23,WO2013_102249compoundLDT6,WO 2013/102249 compound LDT6,drugbank,12.9549798965,28.2586650848
24,WO2013_102249compoundLDT8,WO 2013/102249 compound LDT8,drugbank,7.89834737778,-62.4740524292
25,WO2013_102249compoundLDT39,WO 2013/102249 compound LDT39,drugbank,14.9427242279,30.1913585663
26,WO2013_102249compoundLDT66,WO 2013/102249 compound LDT66,drugbank,13.0581998825,28.7591590881
27,WO2013_102249compoundLDT68,WO 2013/102249 compound LDT68,drugbank,12.7688026428,28.7270679474
28,WO2013_102249compoundLDT69,WO 2013/102249 compound LDT69,drugbank,14.5215845108,29.715045929
29,WO2014_180165compoundI-1,WO 2014/180165 compound I-1,drugbank,-62.2467842102,47.209197998
30,WO2014_180165compoundI-2,WO 2014/180165 compound I-2,drugbank,-62.6667861938,46.5417404175
31,WO2014_180165compoundI-6,WO 2014/180165 compound I-6,drugbank,-62.4653320312,46.3941078186
32,WO2014_180165compoundII-4,WO 2014/180165 compound II-4,drugbank,-61.8474845886,44.882648468
33,WO2014_180165compoundII-24,WO 2014/180165 compound II-24,drugbank,-61.5023956299,44.1831932068
34,WO2014_180165compoundIII-2,WO 2014/180165 compound III-2,drugbank,-61.3310279846,46.9523849487
35,WO2014_180165compoundIV-5,WO 2014/180165 compound IV-5,drugbank,-61.812587738,45.878238678
36,US2016_244429compound1,US 2016/244429 compound 1,drugbank,-4.51737451553,-33.5191650391
37,US2016_244429compound31,US 2016/244429 compound 31,drugbank,-26.4483242035,-4.65594863892
