,x,y,year
CHEMBL100086,8.75743018745,-10.2430356745,2002
CHEMBL100521,-3.9558002619,11.3787361047,1999
CHEMBL100875,8.80386792952,-10.2914032706,2002
CHEMBL101138,-1.02061913565,-7.62495543177,1994
CHEMBL101686,11.1064443389,19.2280515854,2003
CHEMBL101690,15.8186724512,14.8355721935,2003
CHEMBL102250,9.39427670782,19.2343077317,2003
CHEMBL102292,10.2990519342,19.6631203561,2003
CHEMBL102548,-1.94699065069,-6.70458179212,1994
CHEMBL102586,-0.93661695895,-6.45421958529,1994
CHEMBL102645,-1.93223858007,-5.64256606664,1994
CHEMBL103205,-1.82739858224,-5.95869098899,1994
CHEMBL103371,-1.5178018685,-5.52552356024,1994
CHEMBL103388,-2.41200483533,-6.22758540268,1994
CHEMBL103424,13.484964674,17.6648165066,2003
CHEMBL103479,9.86363962241,18.501873217,2003
CHEMBL103503,10.8545277507,17.5324732996,2003
CHEMBL103549,-1.34855848756,-5.21800023797,1994
CHEMBL103550,9.82089161116,18.4577414258,2003
CHEMBL103854,-3.22106116968,-6.35704281836,1994
CHEMBL104026,11.5847929265,18.1414532943,2003
CHEMBL104158,11.1097720846,17.9920702585,2003
CHEMBL104374,10.6725233663,20.5861906737,2003
CHEMBL104484,9.52448077618,18.6413086978,2003
CHEMBL104496,9.34080002783,18.7370750373,2003
CHEMBL104692,9.19916234378,18.394448664,2003
CHEMBL104720,10.9843545624,19.2753790484,2003
CHEMBL104753,9.39369589506,19.234420536,2003
CHEMBL105025,9.4214446366,18.6629904152,2003
CHEMBL105091,9.4096623508,19.4102220942,2003
CHEMBL105118,9.1636581885,18.3522286032,2003
CHEMBL105261,10.9272006645,19.256652703,2003
CHEMBL105327,10.9971770838,20.4348079108,2003
CHEMBL105369,10.2980676666,19.574434885,2003
CHEMBL105556,10.6458598115,20.6407686009,2003
CHEMBL105722,9.33357531286,19.1954157708,2003
CHEMBL105743,9.52021600527,18.7107695971,2003
CHEMBL105958,9.49783149483,18.9469179134,2003
