,x,y,year
CHEMBL100086,16.8687545583,-2.79592633623,2002
CHEMBL101138,-14.5329307308,13.9203041013,1994
CHEMBL101686,21.5790720101,8.06741345301,2003
CHEMBL101690,17.9755615277,5.65668153939,2003
CHEMBL102292,22.1074847867,9.05425361019,2003
CHEMBL102548,-12.9777564975,15.3039994183,1994
CHEMBL102586,-13.4564092681,16.4929404205,1994
CHEMBL102645,-13.0419314431,15.0056851036,1994
CHEMBL103205,-13.2142914142,15.8818024679,1994
CHEMBL103371,-12.1561752657,15.7420483651,1994
CHEMBL103388,-13.4179906132,15.7260000074,1994
CHEMBL103424,21.8908389228,5.0800613634,2003
CHEMBL103479,20.7044692411,9.19936425188,2003
CHEMBL103503,19.7977430902,7.75815901043,2003
CHEMBL103549,-12.171710903,15.553574786,1994
CHEMBL103550,20.6223534645,9.1938717623,2003
CHEMBL103854,-13.4750150083,16.5382761818,1994
CHEMBL104026,21.0641986215,7.08488933062,2003
CHEMBL104158,21.7584170595,7.21438828728,2003
CHEMBL104374,23.1563135655,8.42681759364,2003
CHEMBL104484,20.7202935623,9.52483461966,2003
CHEMBL104496,20.7407655006,10.0590710944,2003
CHEMBL104692,20.1325907494,9.77140984239,2003
CHEMBL104753,21.4116709565,9.96198198268,2003
CHEMBL105025,20.7079863149,9.67653891515,2003
CHEMBL105091,21.0472927298,10.3637358201,2003
CHEMBL105118,20.0797819341,9.77839770103,2003
CHEMBL105261,21.6388951854,8.1951278328,2003
CHEMBL105327,22.9764279312,7.8690759681,2003
CHEMBL105369,22.0216515431,9.06692936496,2003
CHEMBL105556,23.2176528606,8.47758823499,2003
CHEMBL105722,21.3889832596,9.89631935748,2003
CHEMBL105743,20.7827317586,9.59367550779,2003
CHEMBL105958,21.1053993871,9.68833221902,2003
CHEMBL107511,-7.87880436106,13.3311836551,1999
CHEMBL1085672,7.67232929513,11.0047315322,2009
CHEMBL109360,-10.5918358487,10.1937323297,1996
CHEMBL109839,-8.11219278619,6.49954250393,1996
CHEMBL110317,-5.71697491103,11.4865299299,1996
CHEMBL110318,-7.59351397304,6.44738680004,1996
CHEMBL111000,-10.5835626658,10.1918442824,1996
CHEMBL111150,-7.62598363805,6.31762331009,1996
CHEMBL111283,-7.55251708228,6.36601048465,1996
CHEMBL111284,-8.11357623466,6.49945578773,1996
CHEMBL111376,-8.11219195606,6.49954201866,1996
CHEMBL111899,-16.016952211,-12.0921176901,1999
CHEMBL112507,-17.3439663427,-10.0313952192,1999
CHEMBL112558,-15.9192689335,-9.81349183545,1999
CHEMBL113238,11.1056090539,7.98691821829,2002
CHEMBL113831,-16.6750155933,-11.8070588808,1999
CHEMBL113868,1.09447037899,1.32913048164,2003
CHEMBL113893,2.69721454747,1.98881382696,2003
CHEMBL113950,1.0220075682,1.30654366474,2003
CHEMBL113994,2.55812593831,2.40452700942,2003
CHEMBL114303,-16.8568178081,-10.7325378069,1999
CHEMBL114571,2.65811565613,2.03115039757,2003
CHEMBL114780,2.67955672167,2.01603601335,2003
CHEMBL114877,-16.8283126114,-10.753088876,1999
CHEMBL115352,-16.5162058683,-12.2113996641,1999
CHEMBL115415,0.790142233887,6.40138995752,2003
CHEMBL115496,-17.6511159077,-11.4079234029,1999
CHEMBL115663,1.04483117839,1.29718701726,2003
CHEMBL115750,-18.8418970238,-4.27265755824,1997
CHEMBL115941,0.765265596941,3.50205216508,2003
CHEMBL1159649,11.0660073161,-14.9002296378,2003
CHEMBL115989,-16.0475979907,-12.0688727472,1999
CHEMBL116031,-18.8384279657,-3.94591744844,1997
CHEMBL116092,-20.466744627,-9.08125801079,1997
CHEMBL116153,-19.1595345226,-4.03749196433,1997
CHEMBL116161,-16.7316751125,-12.2902497986,1999
CHEMBL116314,-8.12741649402,3.72768241414,1995
CHEMBL116448,-1.49016270185,6.34792159641,2000
CHEMBL116876,0.804600575538,3.47167596542,2003
CHEMBL1169435,11.0660095805,-14.9002254928,2003
CHEMBL117046,-14.0893764321,-6.03818733058,1997
CHEMBL117157,-5.76358728248,2.88304762749,1995
CHEMBL117249,-17.8960110524,-11.0906260408,1997
CHEMBL117397,1.05230719119,1.31440221444,2003
CHEMBL117579,-22.4785627054,-10.4063712387,1997
CHEMBL117633,-16.4465352276,-6.30922951875,1997
CHEMBL118012,-10.7875360478,0.560241894553,1997
CHEMBL1181680,-1.06840215205,10.1171349195,2005
CHEMBL1181770,-1.06469901652,10.1168922997,2005
CHEMBL1185,-15.2283347861,6.33331235612,1995
CHEMBL118563,-6.08187987952,3.77703661262,1995
CHEMBL1188501,6.1685332452,8.64216141443,2013
CHEMBL119264,12.6371258981,15.0141158586,1997
CHEMBL1193970,-5.41632698165,-4.38452169277,1995
CHEMBL1194956,-3.0336436537,-2.75277910276,2000
CHEMBL1195292,1.45375156198,-8.48010195746,1995
CHEMBL119668,-19.2872864202,-3.84013749803,1997
CHEMBL119785,-9.74077744032,-8.01071009423,1997
CHEMBL119800,13.4280349807,14.1086219665,1997
CHEMBL119927,-5.76124319075,3.81826642933,1995
CHEMBL120055,-5.65692599898,3.15093622986,1995
CHEMBL120272,-7.88906289266,3.25676868471,1995
CHEMBL120480,-5.69686588588,2.55935544813,1995
