,x,y,year
CHEMBL103479,-10.0050253361,29.0462200115,2003
CHEMBL105261,-2.96850200732,35.8156709239,2003
CHEMBL137781,-13.6502231975,20.4512674018,2002
CHEMBL138989,-33.5816965947,30.795956212,2002
CHEMBL22744,-4.91322677131,15.6492848802,2008
CHEMBL2391541,-17.0735485688,34.1112450802,2013
CHEMBL263881,-21.0283955804,25.6157681701,2002
CHEMBL267615,-0.82968923095,25.2279514451,2000
CHEMBL282971,-22.2981345839,13.6949196462,2002
CHEMBL29410,-13.7314201505,6.23426784034,2002
CHEMBL343755,-12.3592224879,41.9597139013,2002
CHEMBL39,-25.5131909772,35.4650262059,1990
CHEMBL432713,-29.5796882593,22.0373750172,2001
