,x,y,year
CHEMBL101686,-1.25628683267,9.75966014289,2003
CHEMBL101690,1.54581156602,-1.34887716167,2003
CHEMBL102182,-2.76346220337,-0.169409991749,2003
CHEMBL102250,-3.05578744969,5.19933614004,2003
CHEMBL102292,-0.418204205959,5.86563899192,2003
CHEMBL102335,-2.19027440369,0.741061172783,2003
CHEMBL102344,-1.25641718474,9.7607352337,2003
CHEMBL103058,-7.97148225889,3.54441877119,2003
CHEMBL103424,2.70544140348,2.77587053825,2003
CHEMBL103479,-1.42574555528,1.68700962833,2003
CHEMBL103503,0.41153015244,0.708357971378,2003
CHEMBL103550,-1.60459913041,1.85922996238,2003
CHEMBL104026,2.17763118193,3.66800288335,2003
CHEMBL104158,1.00463360287,3.21947994329,2003
CHEMBL104374,2.50920125906,7.88441293732,2003
CHEMBL104384,-2.06606753059,2.37309690373,2003
CHEMBL104484,-3.51967690026,1.8396118716,2003
CHEMBL104496,-2.33374848361,4.29383902763,2003
CHEMBL104692,-4.92465826398,2.20386328667,2003
CHEMBL104720,-0.516711475826,7.56941116551,2003
CHEMBL104753,-4.26580452211,5.37484461752,2003
CHEMBL104946,-3.31364953698,8.52460850872,2003
CHEMBL104953,-2.08071762334,0.368086489027,2003
CHEMBL104968,3.13598996394,5.94304486146,2003
CHEMBL105025,-3.16771691921,3.68562241571,2003
CHEMBL105091,-2.91442517657,5.63698988993,2003
CHEMBL105118,-5.01367698046,2.13689324948,2003
CHEMBL105240,-1.17284190635,0.746519058171,2003
CHEMBL105261,-2.21840943927,8.24193308203,2003
CHEMBL105327,2.2333270973,6.16596231852,2003
CHEMBL105369,0.134674699718,4.93844614889,2003
CHEMBL105478,-1.6063422634,-0.0220604160396,2003
CHEMBL105556,3.08494979794,8.1470247915,2003
CHEMBL105722,-4.99952441435,4.3606573964,2003
CHEMBL105743,-2.72725907383,3.09231313684,2003
CHEMBL105850,-1.51171286983,-0.231990623601,2003
CHEMBL105955,-1.690488274,8.92008939319,2003
CHEMBL105958,-4.12316956585,4.17927546195,2003
CHEMBL1181665,-5.49836322385,-3.93557660151,2005
CHEMBL125745,-7.34703673261,-2.23935051381,2001
CHEMBL126340,-6.72491159463,-2.81530876383,2001
CHEMBL128,4.24752713846,0.315143574785,2001
CHEMBL128636,1.65819587431,-1.25800529278,2001
CHEMBL1628565,1.87365028594,-2.81474262291,2009
CHEMBL173949,-2.46944676896,-3.93644530589,2003
CHEMBL177238,-1.89398670598,-4.05711401636,2003
CHEMBL177258,-1.97106261724,-3.69482155712,2003
CHEMBL178066,2.57007504592,-2.52813557036,2003
CHEMBL184597,1.43619012479,-4.36842765941,2004
CHEMBL184994,3.27237723275,-6.31794423911,2004
CHEMBL186662,0.555670563697,-5.4572721944,2004
CHEMBL186951,2.13052597591,-7.43686674562,2004
CHEMBL187308,0.528212943446,-5.65230704413,2004
CHEMBL187581,2.11794998364,-7.5327011872,2004
CHEMBL187952,2.40278800156,-5.56748613106,2004
CHEMBL2110300,4.87144437041,0.52386562087,2001
CHEMBL2113386,6.28960976975,2.87615483402,2005
CHEMBL263700,-5.03378905265,-1.98736776666,2001
CHEMBL282971,9.18948766583,-1.87192839821,2002
CHEMBL292759,7.62539599433,-1.87087048122,1999
CHEMBL29410,9.08178911619,-2.63186092233,2002
CHEMBL29433,9.1894878082,-1.87192855188,2002
CHEMBL29846,8.36903071785,-2.28683090241,1999
CHEMBL316979,-7.88995149868,3.38794776477,2003
CHEMBL318105,2.20735810954,6.34876381256,2003
CHEMBL318110,2.60248025379,7.82004474162,2003
CHEMBL319857,-1.67547969827,9.58580412264,2003
CHEMBL319920,3.67821340325,7.20500795277,2003
CHEMBL320198,0.447175803355,2.0963274568,2003
CHEMBL321080,-4.48833729143,5.84613956648,2003
CHEMBL321133,-1.68611175539,3.36255760153,2003
CHEMBL321343,-5.19733153733,2.72098493066,2003
CHEMBL321562,-1.57059544652,3.59291567147,2003
CHEMBL321578,-1.49072110064,7.49247538347,2003
CHEMBL321967,-0.134981705051,8.0275908256,2003
CHEMBL322018,-3.43594837564,8.05147539902,2003
CHEMBL323264,-0.403405692034,5.85034972298,2003
CHEMBL339980,2.83484058055,-2.16228233632,2001
CHEMBL361061,3.14256418756,-6.24864333189,2004
CHEMBL361303,3.09788542814,-4.58145728551,2004
CHEMBL365405,3.18686841504,-4.65583265034,2004
CHEMBL369391,-1.5980310604,-2.89086070889,2003
CHEMBL369705,-2.23646089996,-4.46864035549,2003
CHEMBL39,3.51759233676,0.778064274706,2001
CHEMBL418806,-0.135009399318,8.02766131277,2003
CHEMBL419547,-3.55566775825,1.77089764015,2003
CHEMBL420101,-3.48286002979,3.18982050914,2003
CHEMBL420475,-0.13504295583,8.0277518329,2003
CHEMBL421287,2.90586805769,-1.54669158502,2001
CHEMBL431041,-1.8783606803,7.33310425518,2003
CHEMBL431298,8.51764249866,-2.57146189788,1999
CHEMBL432713,2.89081430783,1.10693741651,2001
CHEMBL445651,0.733069978587,-5.36339829431,2004
CHEMBL449406,-3.46256799335,3.07844716668,2003
CHEMBL497963,-5.62826877109,-6.37346102494,2008
CHEMBL522708,-5.62970168583,-6.37679478685,2008
CHEMBL606547,6.74450138442,1.9095257146,2005
CHEMBL606556,6.80038535738,1.77037081342,2005
CHEMBL609742,6.59126310818,2.33137683544,2005
CHEMBL92139,-6.96326835233,-2.31349064234,2001
CHEMBL93868,-6.57234064015,-2.1036997694,2001
