,x,y,year
CHEMBL100626,-19.8632461153,31.0129543593,1996
CHEMBL100635,-20.196390469,25.5834867328,2001
CHEMBL101008,-21.4672912079,34.6418971591,1996
CHEMBL101076,9.92661887304,51.9894659052,1999
CHEMBL101138,-27.040390923,47.8334656538,1994
CHEMBL101189,-21.4300795776,32.9491532827,1996
CHEMBL101367,-18.3599976137,39.4493278806,2000
CHEMBL101593,10.2960938329,53.8179728342,1999
CHEMBL102268,-18.5729208773,42.1953888805,2000
CHEMBL102274,-16.0875350495,26.3266661246,2000
CHEMBL102347,-14.4441037367,28.5902070013,1997
CHEMBL102548,-23.4794680699,52.6419518131,1994
CHEMBL102586,-25.3167941957,52.8066317675,1994
CHEMBL102645,-23.0023243668,52.1077638645,1994
CHEMBL103028,-21.078811345,25.1975091795,2000
CHEMBL103205,-23.2680164223,53.5107843822,1994
CHEMBL103371,-24.2267138727,51.0201204375,1994
CHEMBL103388,-24.3836168829,51.3222704313,1994
CHEMBL103479,-20.565137687,58.6130765415,2003
CHEMBL103549,-25.72214358,51.710875666,1994
CHEMBL103854,-24.5928280455,53.3559959768,1994
CHEMBL104088,-14.8091874583,21.7970265533,2000
CHEMBL104102,-16.2992809393,42.5132734466,2000
CHEMBL104308,-6.88260068658,48.897041237,2002
CHEMBL104362,-17.3101504175,40.4090401177,2000
CHEMBL104636,-6.1869813055,49.1718750113,2002
CHEMBL104709,-7.3956232207,50.4238859083,2002
CHEMBL104715,-16.9191740703,40.8680324643,2000
CHEMBL104903,-7.44693791957,49.6528418052,2002
CHEMBL105152,-16.1913866495,42.9791828805,2000
CHEMBL105261,-18.7128694842,53.176336674,2003
CHEMBL105292,-16.7450122859,42.1709339236,2000
CHEMBL105372,-6.32368087621,49.1222169833,2002
CHEMBL105381,-17.4357680691,42.5359462054,2000
CHEMBL105580,-16.7129689662,42.883984156,2000
CHEMBL10602,-19.4207683198,8.87950367914,2009
CHEMBL106176,-6.13682722373,51.1442715781,2002
CHEMBL1065,49.4301717663,-56.7301676363,1994
CHEMBL106794,-7.52612941343,48.8984230981,2002
CHEMBL106911,-5.80662449172,48.5680140181,2002
CHEMBL1076586,-55.7204314292,6.80670546198,2009
CHEMBL10780,-19.4010521401,14.1125978548,2001
CHEMBL107847,-7.55936031271,54.4465120469,2002
CHEMBL107860,-8.16929863085,52.0181709674,2002
CHEMBL107912,-8.04220970744,48.1421452823,2002
CHEMBL1079460,-44.6315059777,38.0418751492,2009
CHEMBL1080155,-57.4704943825,6.93883637875,2009
CHEMBL1080215,-1.63179956062,-71.5823302045,2009
CHEMBL1080389,-56.4878647689,7.06456889398,2009
CHEMBL1080522,-1.30403997347,-68.7605112076,2009
CHEMBL1080554,-3.42318994285,-77.3200940287,2009
CHEMBL1080555,-5.8058715429,-77.2443776205,2009
CHEMBL1080556,-56.0652501986,6.89316779177,2009
CHEMBL1080671,-4.80008071717,-70.2573758175,2009
CHEMBL1080672,-2.65936985005,-71.5281580548,2009
CHEMBL1080683,-3.27622212556,-68.0717344212,2009
CHEMBL1080711,-5.55437997084,-69.6027095448,2009
CHEMBL1080712,-2.50350266978,-74.2617808931,2009
CHEMBL1080726,-5.74677691266,-73.9252549339,2009
CHEMBL1080727,-5.27770149638,-72.3693275371,2009
CHEMBL1080728,-7.18005912926,-74.8384706719,2009
CHEMBL1080735,-55.7932625896,5.34934949445,2009
CHEMBL1080745,-5.04275757992,-71.9503894241,2009
CHEMBL1080746,-0.661090529324,-71.7732184868,2009
CHEMBL1080747,-0.523045340926,-73.5293562587,2009
CHEMBL1080755,-57.305275991,6.69311783022,2009
CHEMBL1080884,35.2671549959,32.744812254,2009
CHEMBL1080907,-55.8606343368,6.06489258524,2009
CHEMBL1080926,-56.1920643315,4.30360120274,2009
CHEMBL1081035,-4.30316802632,-68.5961087888,2009
CHEMBL1081036,-4.22767603593,-70.4935838613,2009
CHEMBL1081212,-57.377259162,6.42563574644,2009
CHEMBL1081254,-57.664362404,6.15950651797,2009
CHEMBL1081302,-4.12491108378,-72.6650330319,2009
CHEMBL1081303,-4.70856250653,-72.1820340395,2009
CHEMBL1081468,-1.24096889456,-74.3259217499,2009
CHEMBL1081644,-4.31964013564,-74.4878138001,2009
CHEMBL1081648,-55.8600926465,4.60200489129,2009
CHEMBL1081649,-57.8581197306,6.52186769199,2009
CHEMBL108173,-17.5452809751,41.8334065121,2000
CHEMBL1082209,-55.5526559329,5.66470988065,2009
CHEMBL1082210,-56.3556084611,5.7014585539,2009
CHEMBL1082211,-56.4845740195,3.32911645787,2009
CHEMBL1082452,-3.21423060439,24.4911796192,2010
CHEMBL1082467,-23.4250963014,1.54554478577,2010
CHEMBL1082473,69.213416426,-24.8972078836,2010
CHEMBL1082474,69.0402088704,-24.1329000477,2010
CHEMBL1082723,-35.7397720188,34.7017871825,2010
CHEMBL1082773,-23.7699694164,0.227159068968,2010
CHEMBL1082795,70.0464353257,-23.5625877549,2010
CHEMBL1082822,70.5494266464,-27.8079726177,2010
CHEMBL1083415,-25.8455975099,-1.03667051568,2010
CHEMBL1083416,-24.4588336214,1.03274147611,2010
CHEMBL1083449,71.6714420632,-28.4203272461,2010
CHEMBL1083725,69.4321203373,-24.4186118499,2010
