,x,y,year
CHEMBL101008,3.81340416491,-26.9824286776,1996
CHEMBL101076,-27.4055089185,-3.21672608866,1999
CHEMBL101189,5.33885181463,-31.6999080514,1996
CHEMBL101367,5.46688705596,-23.9263194939,2000
CHEMBL101593,-23.4232912827,-3.82512784197,1999
CHEMBL102268,6.94155746089,-20.7017003376,2000
CHEMBL102274,12.7674785651,-25.0107964232,2000
CHEMBL102347,16.4762587306,-23.6777094814,1997
CHEMBL103028,15.9988632599,-28.5669160207,2000
CHEMBL104088,7.64029197514,-27.8191654537,2000
CHEMBL104102,6.29249142489,-18.4287514423,2000
CHEMBL104308,84.2985246736,2.43100770137,2002
CHEMBL104362,3.42270835331,-16.7596963185,2000
CHEMBL104636,78.7086520215,0.349535259935,2002
CHEMBL104709,79.4509420821,-0.117998908527,2002
CHEMBL104715,5.84133948355,-17.857897249,2000
CHEMBL104903,79.3944922327,2.16632446746,2002
CHEMBL105152,4.16566354222,-16.9821782581,2000
CHEMBL105292,5.15108464893,-21.8518667706,2000
CHEMBL105372,79.15621027,3.57392641014,2002
CHEMBL105381,1.95234780233,-20.8092862955,2000
CHEMBL105580,7.64807668971,-21.464441151,2000
CHEMBL106176,80.9564352186,-0.426496123818,2002
CHEMBL1065,89.1961685083,14.7553389249,1994
CHEMBL106794,79.3707206931,5.70112183583,2002
CHEMBL106911,78.0475193636,2.37973312519,2002
CHEMBL107847,80.8106191887,0.610544416964,2002
CHEMBL107860,78.2258359027,4.64322677152,2002
CHEMBL107912,79.4590164163,5.06252998915,2002
CHEMBL1079460,-16.7712125388,66.5378527814,2009
CHEMBL1080215,6.5837949523,-57.6728698776,2009
CHEMBL1080522,9.14732206283,-56.9700926797,2009
CHEMBL1080554,3.85141513809,-65.2023462667,2009
CHEMBL1080555,4.439491215,-66.3770423551,2009
CHEMBL1080671,12.0118431999,-58.9759264071,2009
CHEMBL1080683,10.9464934354,-58.7139057405,2009
CHEMBL1080711,16.6085607723,-64.4261633286,2009
CHEMBL1080712,6.61582820969,-61.9432316241,2009
CHEMBL1080726,9.59669090487,-60.9602083981,2009
CHEMBL1080727,12.4810940582,-59.3744646236,2009
CHEMBL1080728,11.9913901731,-59.7155619831,2009
CHEMBL1080745,10.1380314438,-58.1948689946,2009
CHEMBL1080746,0.74668448369,-59.3186654544,2009
CHEMBL1080747,5.54614318918,-55.8054820741,2009
CHEMBL1080884,-20.5275231924,51.8987266986,2009
CHEMBL1081035,10.0209585463,-62.9273331227,2009
CHEMBL1081036,-1.63104873573,-53.4205202309,2009
CHEMBL1081302,10.51629745,-60.539449965,2009
CHEMBL1081468,1.58250813235,-60.8775146232,2009
CHEMBL1081644,5.56808835948,-62.3361181714,2009
CHEMBL108173,6.25639950729,-22.0473134212,2000
CHEMBL1082452,-24.1521150897,-34.1118489941,2010
CHEMBL1082467,-74.0304532772,29.0587536916,2010
CHEMBL1082473,-55.4060263509,-67.7753103948,2010
CHEMBL1082474,-57.3666393379,-68.2768181939,2010
CHEMBL1082773,-72.5178301659,26.6329382484,2010
CHEMBL1082795,-57.7831028434,-71.1620553991,2010
CHEMBL1082822,-71.8863444411,-60.8460996226,2010
CHEMBL1083415,-74.5299632528,26.0334645875,2010
CHEMBL1083416,-72.8885673918,25.296146681,2010
CHEMBL1083449,-60.2780852082,-73.0222134804,2010
CHEMBL1083725,-59.0042421303,-70.7401157327,2010
CHEMBL1083750,-52.5440364706,-68.8822436133,2010
CHEMBL1083751,-51.2493030245,-73.9304491384,2010
CHEMBL1084617,-57.3875678796,-70.4731710764,2010
CHEMBL1084618,-54.8561928782,-74.1253058781,2010
CHEMBL1084721,-71.457676943,26.5097165119,2010
CHEMBL1084865,-55.5252525591,-75.8910128594,2010
CHEMBL1084895,-56.9590962566,-72.4714858634,2010
CHEMBL1084976,-70.2580052944,23.5779550985,2010
CHEMBL1085155,-60.4110633869,-72.619270535,2010
CHEMBL1085615,-53.4873326034,-70.5225498778,2010
CHEMBL1085627,-53.9330384185,-72.1606643966,2010
CHEMBL1085628,-52.811006406,-70.7869395847,2010
CHEMBL1085854,-56.5290797144,-70.1508451565,2010
CHEMBL1086075,-49.6637966591,-70.8550471355,2010
CHEMBL1086316,-57.8836473917,-73.6113595776,2010
CHEMBL1086317,-57.8161212215,-72.9239063357,2010
CHEMBL1086507,-72.32715558,23.7115734467,2010
CHEMBL1086555,-55.9370461316,-73.7942421821,2010
CHEMBL1086613,5.12499734482,-65.9872434689,2009
CHEMBL1086626,8.93670654115,-57.0972915483,2009
CHEMBL1086754,14.1193594583,-61.5123495439,2009
CHEMBL1086755,12.0904076766,-65.0990198931,2009
CHEMBL1086756,17.9486436151,-61.3897390453,2009
CHEMBL1086959,-17.6033853931,16.1188288149,2010
CHEMBL1087773,3.13719468594,-55.599193552,2009
CHEMBL1087895,4.23053131599,-65.3536138787,2009
CHEMBL1088163,4.10052733582,-67.3057902546,2009
CHEMBL1088164,2.75910848856,-64.6079995934,2009
CHEMBL1088165,2.35813452463,-59.9478512154,2009
CHEMBL1088312,9.20031756353,-53.2889908608,2009
CHEMBL1088313,2.39553325374,-57.6260055273,2009
CHEMBL1088314,1.85107591364,-52.8833167488,2009
CHEMBL1091105,47.612411982,11.9189360508,2009
CHEMBL1091106,49.5521401285,7.79793577104,2009
CHEMBL1093698,48.6637391289,12.0607485786,2009
CHEMBL1093699,47.9762228819,12.5732748364,2009
CHEMBL109548,-24.9646158419,-18.1715057167,1999
CHEMBL109589,13.8486512502,-22.774938323,2001
CHEMBL1095934,12.7659299674,36.8666279003,2008
CHEMBL1096275,15.62238406,31.3954196859,2008
CHEMBL1096276,12.6597409983,33.7107135013,2008
CHEMBL1096620,10.9015481965,37.162087387,2008
CHEMBL109673,-22.8003660514,-13.181965398,1999
CHEMBL109763,15.5067623341,-18.3939393758,2001
CHEMBL1097970,13.8877692586,34.7186445499,2008
CHEMBL1098286,14.3116971327,37.9425495161,2008
CHEMBL1098287,16.2428589865,38.9915330148,2008
CHEMBL1098307,13.144742154,34.9187726498,2008
