,x,y,year
CHEMBL101008,2.83656739525,-12.0981110532,1996
CHEMBL102347,7.4917876452,12.4011043172,1997
CHEMBL103479,0.985816571939,-2.44201382044,2003
CHEMBL105261,0.964751460776,-2.45243365107,2003
CHEMBL1065,-4.81040871983,0.689390932564,2013
CHEMBL1067,-0.282022882019,-18.0373660537,2010
CHEMBL1078745,-7.27517642372,7.59311353661,2009
CHEMBL1078896,-7.35535865459,7.59003021051,2009
CHEMBL1079180,-7.41985408047,7.82010312367,2009
CHEMBL1082723,-6.21435643142,-4.81475298338,2010
CHEMBL1082761,-12.9563698375,-15.2217507372,2010
CHEMBL1082763,-12.9483255464,-15.2626253581,2010
CHEMBL1083075,-12.9442109287,-15.2626835107,2010
CHEMBL1083654,-12.9494132295,-15.2618009261,2010
CHEMBL1084617,8.3980388685,4.57186008971,2010
CHEMBL1090397,13.1757591685,10.9243591752,2009
CHEMBL1090399,-7.51524493671,12.158848313,2009
CHEMBL1090757,-7.50575742682,12.1402654781,2009
CHEMBL1091104,-7.51175523565,12.1521713391,2009
CHEMBL1091105,-7.58119502341,11.3400541571,2009
CHEMBL1091106,-7.57640257556,11.3827113741,2009
CHEMBL1091206,-12.7322734642,-16.1216751376,2010
CHEMBL1091207,-12.7288820269,-16.1294397561,2010
CHEMBL1091452,16.4812279735,0.317628577946,2009
CHEMBL1091919,-12.7126554563,-16.1807249669,2010
CHEMBL1092029,-7.51813097367,12.1176947046,2009
CHEMBL1092241,-12.7006563786,-16.2101013459,2010
CHEMBL1093698,-7.55743016654,11.813559973,2009
CHEMBL1093699,-7.5889648267,11.3527546724,2009
CHEMBL1112,-8.896372758,1.112671016,2007
CHEMBL114012,7.90878326598,-1.42416924045,2000
CHEMBL116448,7.7633276099,-0.889182506184,2000
CHEMBL1170237,-16.3291956416,-1.58305433725,2013
CHEMBL1173331,-14.8233426781,-1.29504016668,2013
CHEMBL1173525,-14.8084464963,-1.20696929266,2013
CHEMBL1181665,3.57911713287,1.02534365654,2005
CHEMBL1181680,3.57177145398,0.99837898345,2005
CHEMBL1181770,3.60681530492,1.03991505166,2005
CHEMBL1185943,-11.2726475913,17.4464286428,2009
CHEMBL1185954,-11.3097613714,20.0143366938,2009
CHEMBL1186019,-11.6125906689,18.1473570656,2009
CHEMBL1186092,-11.2537578208,18.3450764086,2009
CHEMBL1186108,-11.8201088432,17.575433843,2009
CHEMBL1186115,-11.2610950517,18.6000334995,2009
CHEMBL1186133,-12.4997955594,19.5704344015,2009
CHEMBL1186135,-10.2534782967,18.2317339907,2009
CHEMBL1186164,-11.5001030804,20.2214685088,2009
CHEMBL1186169,-11.8356399696,14.8707193619,2009
CHEMBL1186458,-11.2199874981,20.0304177961,2009
CHEMBL1186509,-12.6252906045,16.684355631,2009
CHEMBL1186561,-11.9045207911,20.1119001339,2009
CHEMBL1186590,-11.6906860097,18.1137388392,2009
CHEMBL1186595,-13.0538936678,19.138088912,2009
CHEMBL1186608,-14.0189513028,17.0831763598,2009
CHEMBL1186668,-12.7992250401,18.4658485616,2009
CHEMBL1186673,-14.0548854138,17.0751045473,2009
CHEMBL1186686,-12.3480663863,18.6470851806,2009
CHEMBL1186687,-11.1593612759,19.8000394662,2009
CHEMBL1186699,-12.9769963133,18.3106528162,2009
CHEMBL1186700,-12.0592044555,17.8684214497,2009
CHEMBL1186710,-12.637142441,17.5512291916,2009
CHEMBL1186735,-12.6716937414,16.6732877183,2009
CHEMBL1186736,-11.2353147963,18.6198957538,2009
CHEMBL1186737,-11.6146132662,18.3078746379,2009
CHEMBL1187088,-10.9362953077,17.1554139383,2009
CHEMBL1187168,-13.0821179111,19.0318041652,2009
CHEMBL1187169,-12.7359144168,18.6173995782,2009
CHEMBL1187185,-21.1058313342,-4.82995774025,2009
CHEMBL1187186,-11.0087142611,17.4864505689,2009
CHEMBL1187187,-12.7024455035,18.5934775957,2009
CHEMBL1187192,-11.0228572338,17.1891994274,2009
CHEMBL1187194,-11.8843480069,20.1021873862,2009
CHEMBL1187195,-10.300012562,18.0946631092,2009
CHEMBL1187196,-12.7206104884,18.6511567884,2009
CHEMBL1187322,-13.1860413232,19.1282167373,2009
CHEMBL1187354,-21.1013216452,-4.86242629722,2009
CHEMBL1187377,-10.3954945313,18.2270532072,2009
CHEMBL1187390,-12.3298779002,20.1608754971,2009
CHEMBL1187408,-12.1996767415,17.0340001041,2009
CHEMBL1187522,-12.1977533956,17.0023014983,2009
CHEMBL1187556,-11.1912492696,20.0477623308,2009
CHEMBL1187565,-12.6252906261,16.6843556089,2009
CHEMBL1187580,-13.0411300647,19.1002561117,2009
CHEMBL1187585,-10.5818909782,18.1564118962,2009
CHEMBL1188213,-15.5962781797,11.0360825945,2006
CHEMBL1188501,-13.7980379906,3.79102305491,2013
CHEMBL119709,-3.95063983041,-24.2359361001,2014
CHEMBL1201356,-4.81458934774,0.540646579097,2010
CHEMBL1209157,-7.17035995734,6.21628102413,2010
CHEMBL1214829,-5.71258468661,5.16725258618,2010
CHEMBL1214830,-5.9244699871,5.11512810748,2010
