,x,y,year
CHEMBL101008,3.58450647698,-3.22890204229,1996
CHEMBL102347,5.19996740611,5.06316842601,1997
CHEMBL1065,-11.7281845025,-11.5785719016,2013
CHEMBL1078745,-17.3223054663,-1.4287906471,2009
CHEMBL1082761,-16.735755386,14.2481010033,2010
CHEMBL1082763,-16.6560522081,14.2116789884,2010
CHEMBL1083075,-16.6535410825,14.1650568665,2010
CHEMBL1083654,-16.6532370425,14.2097246241,2010
CHEMBL1091206,-15.8556289939,13.535589742,2010
CHEMBL1091207,-15.8499158526,13.5113464463,2010
CHEMBL1091919,-15.8283687256,13.3455576786,2010
CHEMBL1092241,-15.8017145605,13.2989811764,2010
CHEMBL1112,9.13007540478,-10.9909657129,2007
CHEMBL1173331,20.8277715692,-2.97451992689,2013
CHEMBL1173525,20.5341941423,-2.85523600314,2013
CHEMBL1181770,-6.68977308096,14.1067246238,2005
CHEMBL1185954,-5.75302052745,19.9678467991,2009
CHEMBL1186019,-6.31717416552,21.5779128195,2009
CHEMBL1186108,-5.78838104833,22.3553814876,2009
CHEMBL1186115,-5.77464801795,21.1886729278,2009
CHEMBL1186133,-7.07113518228,19.7418566766,2009
CHEMBL1186135,-4.46456005469,20.9725963086,2009
CHEMBL1186164,-5.7765746545,19.551502784,2009
CHEMBL1186169,-5.77029088156,21.740954008,2009
CHEMBL1186458,-5.54558731225,20.0269990941,2009
CHEMBL1186509,-6.55774663993,22.0044677281,2009
CHEMBL1186561,-5.5793103629,19.626452583,2009
CHEMBL1186590,-6.50482003784,21.5079166202,2009
CHEMBL1186595,-7.79334539873,20.1433251898,2009
CHEMBL1186673,-5.82229170201,23.0161921066,2009
CHEMBL1186686,-7.32634477497,21.0788542631,2009
CHEMBL1186687,-5.85491328866,20.2706886383,2009
CHEMBL1186700,-5.70930214926,21.8541721887,2009
CHEMBL1186735,-7.24379770426,22.4762991027,2009
CHEMBL1186736,-5.75301638216,21.1646913036,2009
CHEMBL1186737,-6.4341345368,21.3624958772,2009
CHEMBL1187088,-4.95254930435,22.3076713373,2009
CHEMBL1187168,-7.89651976201,20.4903687924,2009
CHEMBL1187169,-7.49163877108,20.6945077532,2009
CHEMBL1187185,-5.87018071305,25.2234026536,2009
CHEMBL1187186,-5.10313831835,22.0820379944,2009
CHEMBL1187187,-7.36321943675,20.6109329512,2009
CHEMBL1187194,-5.39678458938,19.6902869952,2009
CHEMBL1187195,-4.57671275985,21.1669704583,2009
CHEMBL1187196,-7.36251359902,20.5319272593,2009
CHEMBL1187354,-5.84350497539,25.2352663328,2009
CHEMBL1187377,-4.62269461514,21.098067853,2009
CHEMBL1187390,-6.44172919172,19.3593377285,2009
CHEMBL1187522,-6.57350402798,22.4591386468,2009
CHEMBL1187556,-6.33221236071,19.7622441942,2009
CHEMBL1187565,-7.62052479366,23.8556123202,2009
CHEMBL1187580,-7.76348570104,20.3694102087,2009
CHEMBL1187585,-4.8322096383,21.3169198505,2009
CHEMBL1188213,14.0156833602,-15.5507761978,2006
CHEMBL1188501,0.34079752879,14.2686797614,2013
CHEMBL1201356,-11.324726961,-8.86712564877,2010
CHEMBL1209157,-19.2391793914,-1.75135027457,2010
CHEMBL1214829,-19.7815241869,0.618358029062,2010
CHEMBL1214830,-19.9746077772,0.382645649802,2010
CHEMBL1214831,-19.3067188731,0.595712437695,2010
CHEMBL1214891,-18.8663526656,0.516173504981,2010
CHEMBL1214892,-19.0029196247,0.794011852657,2010
CHEMBL1214893,-18.7887878964,1.21941452817,2010
CHEMBL1214894,-19.9145409326,0.245642484672,2010
CHEMBL1214895,-19.2497967796,0.543288247648,2010
CHEMBL1214958,-18.7708158769,1.19480463315,2010
CHEMBL1214959,-18.9491866537,0.759236648862,2010
CHEMBL1214960,-18.7429752082,1.17971119216,2010
CHEMBL1214961,-20.1961508948,1.12516437303,2010
CHEMBL1214962,-19.7072938315,1.53289740308,2010
CHEMBL1215036,-19.3121201351,1.81499278248,2010
CHEMBL1215037,-19.516338686,1.6088759439,2010
CHEMBL1215038,-19.2553473566,1.76741424228,2010
CHEMBL1222552,-17.0750334634,-12.2493324035,2010
CHEMBL1222624,-17.1445547769,-12.2869506178,2010
CHEMBL1222692,-17.0372976243,-12.2269163835,2010
CHEMBL1222693,-16.0797622019,-11.7015487969,2010
CHEMBL1222694,-16.1225394758,-11.726106146,2010
CHEMBL1222695,-16.1441871291,-11.7368522662,2010
CHEMBL1222762,-16.1485013182,-11.7381751639,2010
CHEMBL1222763,-16.1453399715,-11.7383419246,2010
CHEMBL1222764,-16.1445324097,-11.7330855186,2010
CHEMBL1224031,-9.47309985484,15.2176544365,2010
CHEMBL1224032,-9.50430078452,15.1975717604,2010
CHEMBL1224033,-9.50809379355,15.1939703391,2010
CHEMBL1224034,-9.50778944921,15.1929213259,2010
CHEMBL1224035,-9.50864518994,15.1942910539,2010
CHEMBL12420,-8.40287214853,-11.6564216687,1999
CHEMBL1255834,-4.89820670983,-11.2961040156,2009
CHEMBL1258223,11.0738863508,-7.10708044682,2010
CHEMBL1258671,11.0681245773,-7.10589454294,2010
CHEMBL127307,2.58323129391,21.7395638158,2014
CHEMBL1275630,-12.4399295295,-16.4037114529,2010
CHEMBL1276859,22.5886849516,9.47663915618,2010
CHEMBL1276947,22.0501413327,9.08246999885,2010
CHEMBL1276948,23.0033429242,8.96440862804,2010
CHEMBL1277034,22.6039296645,9.53823067287,2010
CHEMBL1277035,22.8016822336,10.0362393277,2010
CHEMBL1277104,-13.0443738961,-17.6238712813,2010
CHEMBL1277105,-12.7943207605,-17.5444975555,2010
CHEMBL1277312,23.4034073879,8.53385098451,2010
CHEMBL1277565,-12.405630634,-16.4590610874,2010
CHEMBL1277585,22.6035228817,9.41408803241,2010
CHEMBL1277679,22.6250855243,9.12663192747,2010
CHEMBL1277769,22.2528603977,9.01829120243,2010
CHEMBL1277770,22.8460725261,9.03374408846,2010
CHEMBL1277837,-12.3815015294,-16.4472091276,2010
CHEMBL1277917,-13.4563135597,-17.5829871093,2010
CHEMBL1278001,-12.4637916297,-16.3817585952,2010
CHEMBL1278116,22.7671482542,9.79693715494,2010
CHEMBL1278201,22.9276647096,8.96777513763,2010
CHEMBL1278202,22.1873600658,8.99711299716,2010
CHEMBL13086,-9.4558230128,-10.9744564467,1999
CHEMBL13147,-9.3878911615,-10.9278806902,1999
CHEMBL131495,-2.87283223759,-9.71275900488,2007
CHEMBL131736,-6.53982609232,-14.4334126039,2003
CHEMBL1334465,2.15918585365,-13.087390246,2013
CHEMBL133455,-5.76527660866,-14.0455421941,2003
CHEMBL1336,12.8122782155,0.266382708244,2012
CHEMBL133868,-6.29814489325,-14.030959998,2003
CHEMBL134519,3.17027955596,0.726916688477,2003
CHEMBL135076,-5.76498639318,-14.045767138,2003
