,x,y,year
CHEMBL100086,-57.7696059827,19.3799486144,2002
CHEMBL100635,-57.9763202611,35.3738013867,2001
CHEMBL100875,-55.0842681222,14.8388900236,2002
CHEMBL101008,-74.1974228575,34.1906890038,1996
CHEMBL101367,-75.8717797791,38.6398924883,2000
CHEMBL101664,51.954408353,-16.7563810977,2011
CHEMBL102268,-69.0459471964,40.2042622512,2000
CHEMBL102274,-61.3274926204,33.2992673565,2000
CHEMBL102347,-54.0576995881,29.7646734372,1997
CHEMBL103028,-62.0987329806,32.397232826,2000
CHEMBL103479,43.2781421429,-25.5777826447,2003
CHEMBL104088,-59.0887747489,27.9679053118,2000
CHEMBL104102,-69.5186233948,37.5821586223,2000
CHEMBL104308,-18.8113938719,-30.8003116473,2002
CHEMBL104362,-71.0650709067,45.4850173939,2000
CHEMBL104636,-20.3485372845,-31.8461402323,2002
CHEMBL104709,-19.8058597965,-28.8282841486,2002
CHEMBL104715,-66.2053013311,37.6195815423,2000
CHEMBL104903,-15.4576308751,-32.7338898436,2002
CHEMBL105152,-73.4515035943,41.9383721871,2000
CHEMBL105261,46.7747524699,-27.0228034814,2003
CHEMBL105292,-68.5804140786,39.5351783665,2000
CHEMBL105372,-16.9430000615,-32.9191334898,2002
CHEMBL105381,-66.3813018049,41.9693231702,2000
CHEMBL105580,-65.5528544131,41.6235651038,2000
CHEMBL106176,-19.2972291214,-30.6266447727,2002
CHEMBL1065,40.6344485718,-30.0800744393,2006
CHEMBL106794,-17.3729807862,-32.4160821322,2002
CHEMBL106911,-16.7763487319,-32.8666985096,2002
CHEMBL1076586,66.7631788443,-12.067529379,2009
CHEMBL107847,-15.9696251372,-31.2046990184,2002
CHEMBL107860,-14.6480500644,-30.2913983918,2002
CHEMBL107912,-16.3194939724,-30.7083590509,2002
CHEMBL1080155,70.089027148,-14.153989848,2009
CHEMBL1080215,63.436927561,53.0906905588,2009
CHEMBL1080389,67.0942607166,-13.9492950253,2009
CHEMBL1080522,64.912832873,51.529227341,2009
CHEMBL1080554,52.9518540532,59.0590686046,2009
CHEMBL1080555,52.7896636341,58.6149951764,2009
CHEMBL1080556,66.5804881334,-13.2049678679,2009
CHEMBL1080671,63.6265036423,58.5114159154,2009
CHEMBL1080672,58.1305693268,56.6674972073,2009
CHEMBL1080683,68.2992178917,53.9024253026,2009
CHEMBL1080711,62.0728180105,54.9373253795,2009
CHEMBL1080712,51.4144971644,55.2511877962,2009
CHEMBL1080726,60.7468712031,58.5220863333,2009
CHEMBL1080727,58.165157901,56.6157136244,2009
CHEMBL1080728,59.9269224307,60.0465908966,2009
CHEMBL1080735,66.6509585736,-14.9035957044,2009
CHEMBL1080745,60.4116662677,56.0389699876,2009
CHEMBL1080746,56.9625350041,51.2460413404,2009
CHEMBL1080747,58.9745882855,48.1917997946,2009
CHEMBL1080755,65.28418649,-15.0026123693,2009
CHEMBL1080907,68.6307510076,-12.9761973299,2009
CHEMBL1080926,67.9238323936,-15.393155866,2009
CHEMBL1081035,65.7683413677,54.5047694995,2009
CHEMBL1081036,61.8380896763,57.5792876473,2009
CHEMBL1081212,65.6146759338,-15.1144734615,2009
CHEMBL1081254,68.2325965502,-11.1467389298,2009
CHEMBL1081302,66.6344691936,60.6458634752,2009
CHEMBL1081303,64.8294720917,57.6074514974,2009
CHEMBL1081468,52.6216246216,53.1164345,2009
CHEMBL1081644,53.5222097303,58.0107540963,2009
CHEMBL1081648,68.1845795199,-13.8276451306,2009
CHEMBL1081649,67.7370872034,-14.2169672243,2009
CHEMBL108173,-70.921775763,38.4254552205,2000
CHEMBL1082209,68.0351766348,-11.8882294097,2009
CHEMBL1082210,66.9672958322,-13.9919732578,2009
CHEMBL1082211,66.856629522,-15.9379204761,2009
CHEMBL1082452,-46.3942465019,-15.8548505182,2010
CHEMBL1082467,-25.6953963778,34.6041873945,2010
CHEMBL1082473,39.8210305621,78.8623165963,2010
CHEMBL1082474,40.2838768937,81.5877257498,2010
CHEMBL1082723,66.9947076785,-33.245425102,2010
CHEMBL1082773,-25.9101901254,34.8611711438,2010
CHEMBL1082795,44.5041897352,81.4171084417,2010
CHEMBL1082822,36.7120327432,79.4262029161,2010
CHEMBL1083415,-25.2549775274,38.1543651575,2010
CHEMBL1083416,-25.8627351789,35.8232153681,2010
CHEMBL1083449,38.4339986192,77.6988645763,2010
CHEMBL1083725,40.1463763786,82.1230485696,2010
CHEMBL1083750,39.7957013451,81.6624261899,2010
CHEMBL1083751,41.9739373994,77.1890041763,2010
CHEMBL1084617,43.5981297678,80.3281036652,2010
CHEMBL1084618,38.065493923,78.0776581046,2010
CHEMBL1084721,-25.1844499949,35.2952946487,2010
CHEMBL1084865,37.547799041,73.936349024,2010
CHEMBL1084895,37.5058210678,76.4144206305,2010
CHEMBL1084976,-26.3042930323,36.1899968612,2010
CHEMBL1085155,37.6048940169,78.0432215222,2010
CHEMBL1085615,45.6094232984,78.4819587251,2010
CHEMBL1085627,40.6807477513,81.132036402,2010
CHEMBL1085628,42.006006613,84.0003420578,2010
CHEMBL1085854,41.9811168709,79.5137047621,2010
CHEMBL1086075,41.5735822607,82.99463037,2010
CHEMBL1086316,35.4128139042,75.2464781584,2010
CHEMBL1086317,36.8840805617,74.7946661784,2010
CHEMBL1086507,-28.1359479918,36.0182641634,2010
CHEMBL1086555,37.0438789844,77.5795135197,2010
CHEMBL1086613,53.1452118841,57.930632747,2009
CHEMBL1086626,62.0059785576,49.7088535595,2009
CHEMBL1086754,61.2755402961,60.8420290779,2009
CHEMBL1086755,64.5881966867,54.4143481807,2009
CHEMBL1086756,62.78504995,54.0106307587,2009
CHEMBL1087182,80.0660399564,-19.3281443593,2010
CHEMBL1087773,59.3139319772,48.5466408016,2009
CHEMBL10878,-13.4929700478,52.5793167613,2011
CHEMBL1087895,55.4664624253,54.7787232525,2009
CHEMBL1087896,50.8593722402,56.6681736082,2009
CHEMBL1088163,54.6284772416,57.2241441071,2009
CHEMBL1088164,50.8509620503,58.005670061,2009
CHEMBL1088165,55.3989164493,52.046032148,2009
CHEMBL1088312,64.5828128485,56.2081735394,2009
CHEMBL1088313,57.5842970177,51.2233112692,2009
CHEMBL1088314,59.5796943818,47.5040224501,2009
CHEMBL1088874,-26.697908308,-28.1960923172,2009
CHEMBL1089793,-25.6292569362,-27.0201304058,2009
CHEMBL1089881,-26.0870780841,-26.1326062026,2009
CHEMBL1090397,-30.3732536982,-24.3686855418,2009
CHEMBL1090398,-26.9475463279,-33.1789657073,2009
CHEMBL1090399,4.99136629859,-60.3642048116,2009
CHEMBL1090400,2.27715869931,-61.203562893,2009
CHEMBL1090720,0.336276568232,-59.8891763632,2009
CHEMBL1090757,8.16391187368,-59.1431119483,2009
CHEMBL1091104,-0.358714393312,-60.8588833773,2009
CHEMBL1091105,2.65114882094,-64.8513062573,2009
CHEMBL1091106,3.45294043725,-65.0703439697,2009
CHEMBL1091452,-22.0441554229,-35.5040769507,2009
CHEMBL1092029,6.38878960309,-61.3865231708,2009
CHEMBL1092167,8.05200687047,-62.1646882208,2009
CHEMBL1092238,-25.7045473223,-28.839192317,2009
CHEMBL1092921,-25.9201122174,-24.9255317149,2009
CHEMBL1092929,-28.3685241131,-27.8181772726,2009
CHEMBL1093469,-25.2434641316,-26.8638727839,2009
CHEMBL1093698,5.96379826008,-60.4962982364,2009
CHEMBL1093699,3.10401479097,-63.5037498682,2009
CHEMBL1093802,-25.4362421373,-27.4859434038,2009
CHEMBL109528,40.6533856577,11.008343854,1999
CHEMBL109548,28.2963484358,22.0507876414,1999
CHEMBL109589,-65.2633587259,30.6479164753,2001
CHEMBL109673,29.975075718,22.2257007557,1999
CHEMBL109763,-61.4468559955,35.8635132438,2001
CHEMBL11,15.6621873089,-10.7965316844,2001
CHEMBL110151,-57.3357645418,33.0580676495,2001
