,x,y,year
CHEMBL101008,-18.1127121369,11.6260247602,1996
CHEMBL101367,-19.8423195392,17.4810341375,2000
CHEMBL102268,-18.7838008182,16.725759065,2000
CHEMBL102274,-16.1886259829,17.3196588033,2000
CHEMBL102347,-11.0904373203,18.0333976557,1997
CHEMBL103028,-14.6398907963,17.1874395142,2000
CHEMBL104088,-16.8173495493,20.374595642,2000
CHEMBL104102,-18.8494906353,16.815761175,2000
CHEMBL104308,28.547288316,-29.7995788128,2002
CHEMBL104362,-17.1487749905,14.4163208092,2000
CHEMBL104636,28.9140377569,-30.5208036308,2002
CHEMBL104709,28.423415143,-29.9431502386,2002
CHEMBL104715,-17.919846136,16.4426789324,2000
CHEMBL104903,27.8554753055,-29.7980398276,2002
CHEMBL105152,-16.329251974,16.6703963923,2000
CHEMBL105261,10.8100849293,36.6714363205,2003
CHEMBL105292,-19.5194552613,16.7768337846,2000
CHEMBL105372,27.9619998027,-29.690499058,2002
CHEMBL105381,-19.3406770799,16.4742165046,2000
CHEMBL105580,-19.0917572966,16.3077211275,2000
CHEMBL106176,28.4331416417,-29.8188515791,2002
CHEMBL1065,3.74902785383,30.6175962871,2006
CHEMBL106794,27.7776699573,-28.7845073853,2002
CHEMBL106911,28.1472784542,-29.1568594874,2002
CHEMBL107847,27.2076026313,-28.7145345446,2002
CHEMBL107860,27.3877366038,-29.2634975979,2002
CHEMBL107912,27.1958883134,-28.8486171592,2002
CHEMBL1080215,-26.9141237236,-2.39296253279,2009
CHEMBL1080522,-26.2395740715,-4.86503819879,2009
CHEMBL1080554,-27.0328127494,-0.241827660652,2009
CHEMBL1080555,-26.9713118446,0.367989841459,2009
CHEMBL1080671,-25.0557002519,-3.30955358524,2009
CHEMBL1080683,-25.3651866947,-5.79887708259,2009
CHEMBL1080711,-25.1842093397,-4.05887911824,2009
CHEMBL1080712,-28.2865645423,0.342634418112,2009
CHEMBL1080726,-24.8657817969,-2.11370476715,2009
CHEMBL1080727,-24.9029945253,-1.58747440131,2009
CHEMBL1080728,-25.5008087639,-1.18074058986,2009
CHEMBL1080746,-27.3223381303,-3.03105417523,2009
CHEMBL1080747,-28.5428657945,-2.3155059855,2009
CHEMBL1081035,-26.0616993578,-5.30376281976,2009
CHEMBL1081036,-24.7563595502,-4.57539790555,2009
