,x,y,year
CHEMBL103479,-10.7109637205,-10.0617413723,2003
CHEMBL1043,-6.08390589966,-4.2670713107,2013
CHEMBL105261,-10.955069264,-8.48200070131,2003
CHEMBL1076583,14.3655160934,33.4913133064,2009
CHEMBL1076665,15.1224929228,34.1651622601,2009
CHEMBL1076684,13.3885259093,31.5401218861,2009
CHEMBL1076687,14.4186284129,34.6527155819,2009
CHEMBL1078207,-12.2534934413,-24.7626169931,2009
CHEMBL1078208,-14.3655141501,-23.8580749103,2009
CHEMBL1078491,-11.0823959076,-25.0312553271,2009
CHEMBL1078492,-11.6011031526,-24.984802369,2009
CHEMBL1078595,-11.3993566241,-24.7007327347,2009
CHEMBL1079311,-11.762618474,-24.0833329373,2009
CHEMBL1079976,14.729982825,32.1958552421,2009
CHEMBL1079977,14.7096694658,32.4962697187,2009
CHEMBL1079978,13.289793188,31.315562754,2009
CHEMBL1080316,11.3612636612,34.6381574915,2009
CHEMBL1080331,13.7635584256,34.5653557614,2009
CHEMBL1080380,16.5584375785,33.2824142892,2009
CHEMBL1080381,14.9673098869,31.1569538614,2009
CHEMBL1080574,15.6867229016,33.582027944,2009
CHEMBL1080694,14.7110129666,34.6749781842,2009
CHEMBL1080729,16.7572660363,32.0564472276,2009
CHEMBL1080741,15.4283987556,31.0078895204,2009
CHEMBL1080899,15.5007282968,31.4527774685,2009
CHEMBL1081074,14.5435081084,30.3668410897,2009
CHEMBL1081094,14.3762389891,32.1493145204,2009
CHEMBL1081095,13.3325632581,34.1320129326,2009
CHEMBL1081110,12.8601778706,33.2200551833,2009
CHEMBL1081120,15.0096581791,32.9549201435,2009
CHEMBL1081792,11.9709522563,32.7050937424,2009
CHEMBL1081793,11.6165419107,32.7136422603,2009
CHEMBL1081794,13.3482410024,33.5220085361,2009
CHEMBL1082198,14.6014263786,34.3690987138,2009
CHEMBL1082199,13.4021514181,33.7799447282,2009
CHEMBL1082200,14.2226646362,34.3950333877,2009
CHEMBL1082483,-29.1176964839,-9.38355888844,2010
CHEMBL1082484,-26.6450089384,-9.29888943678,2010
CHEMBL1082485,-26.5494266045,-8.36527119221,2010
CHEMBL1082494,-28.7954795005,-10.1021092611,2010
CHEMBL1082508,22.4172156265,-36.0035882376,2010
CHEMBL1082509,23.0453886719,-36.981619959,2010
CHEMBL1082510,22.6765584608,-37.0574047147,2010
CHEMBL1082761,-14.2495970009,-7.02820269044,2010
CHEMBL1082762,-14.3833004505,-6.60772723847,2010
CHEMBL1082763,-14.2227422754,-9.15038270436,2010
CHEMBL1082764,-25.78657805,-8.89342927988,2010
CHEMBL1082765,-24.9224651731,-9.59185397691,2010
CHEMBL1082766,-25.2209231232,-9.09509205046,2010
CHEMBL1082767,-25.8589351373,-6.55228837144,2010
CHEMBL1082777,24.1250792729,-37.72125151,2010
CHEMBL1082818,-27.2457162918,-9.92063728405,2010
CHEMBL1083075,-14.0696818171,-5.62960201156,2010
CHEMBL1083076,-15.9424235765,-7.02258932352,2010
CHEMBL1083077,-14.4022660049,-4.15838516489,2010
CHEMBL1083078,-15.062561124,-4.69801545706,2010
CHEMBL1083122,-29.6218085577,-8.62714903099,2010
CHEMBL1083173,19.5723476818,-38.0785249721,2010
CHEMBL1083297,-26.1220841857,-8.72303958056,2010
CHEMBL1083298,-25.7011440577,-9.86713822534,2010
CHEMBL1083388,-15.042245988,-3.69990257056,2010
CHEMBL1083389,-15.2546487247,-4.55492568348,2010
CHEMBL1083390,13.2092500228,18.243581886,2009
CHEMBL1083481,20.5807286003,-37.547827479,2010
CHEMBL1083575,20.958865152,-38.8838401438,2010
CHEMBL1083654,-13.1643294443,-5.38436623409,2010
CHEMBL1083780,22.7843697937,-38.314015682,2010
CHEMBL1083781,19.5951253368,-37.4422326995,2010
CHEMBL1083782,19.6934505688,-37.9555829549,2010
CHEMBL1083886,27.4076746176,-36.4902102171,2010
CHEMBL1083909,-26.084431252,-9.30848248052,2010
CHEMBL1084071,22.3887293004,-38.7998413531,2010
CHEMBL1084214,-25.5342142774,-9.95530559877,2010
CHEMBL1084244,-12.1469568587,-0.825418694005,2010
CHEMBL1084315,-28.5574724315,-9.56641566957,2010
CHEMBL1084316,-29.4628230305,-8.49126731294,2010
CHEMBL1084317,-29.108247443,-10.0333277845,2010
CHEMBL1084335,21.9559006653,-39.7003067858,2010
CHEMBL1084336,21.0355426355,-39.5444187274,2010
CHEMBL1084358,23.3307582433,-38.4052384004,2010
CHEMBL1084359,22.6909689575,-38.3275072892,2010
CHEMBL1084482,-26.1268088223,-12.352702618,2010
CHEMBL1084483,-26.3135415245,-7.92651397315,2010
CHEMBL1084603,22.8841948247,-36.8349107769,2010
CHEMBL1084604,25.1161591845,-37.4290612379,2010
CHEMBL1084614,-28.3763443073,-8.77627495572,2010
CHEMBL1084711,18.5425326912,-37.3987056102,2010
CHEMBL1084793,18.0564523319,-36.1768800868,2010
CHEMBL1084794,19.0102278743,-35.0131012824,2010
CHEMBL1084874,22.3681878151,-37.5057558962,2010
CHEMBL1084875,22.1280507991,-37.2158027467,2010
CHEMBL1085036,21.2986281251,-39.0920775071,2010
CHEMBL1085037,19.5490669216,-40.4287881391,2010
CHEMBL1085038,20.6842568963,-39.2127787887,2010
CHEMBL1085111,18.338072777,-31.5464586859,2010
CHEMBL1085112,19.4155046293,-31.0848086908,2010
CHEMBL1085113,19.911994998,-31.4057796154,2010
CHEMBL1085115,18.1631161078,-36.4863131373,2010
CHEMBL1085120,25.7462383996,-36.8922557664,2010
CHEMBL1085351,-26.3249108074,-7.52040610876,2010
CHEMBL1085352,-25.1930341491,-8.47928458735,2010
CHEMBL1085353,-25.9295110415,-9.60486667385,2010
CHEMBL1085354,-25.9489786475,-8.74972968117,2010
CHEMBL1085361,-28.3932077949,-9.33642731111,2010
CHEMBL1085362,-28.4913366937,-8.76898992272,2010
CHEMBL1085368,20.0712348348,-32.1953839273,2010
CHEMBL1085372,18.5808131957,-34.6508217395,2010
CHEMBL1085409,23.2222886768,-36.3416050569,2010
CHEMBL1085462,21.3527417246,-31.5100304516,2010
CHEMBL1085585,22.6896697923,-38.5540549459,2010
CHEMBL1085608,-28.5544759595,-6.78611739869,2010
CHEMBL1085617,19.8011978992,-34.9796006998,2010
CHEMBL1085618,18.2443882257,-34.9108170763,2010
CHEMBL1085619,18.1063333446,-35.5831633656,2010
CHEMBL1085651,23.3105115529,-38.4268646095,2010
CHEMBL1085658,19.8698877448,-38.3898583843,2010
CHEMBL1085835,-28.5714474378,-10.4977860553,2010
CHEMBL1085836,-28.730334346,-7.67053782628,2010
CHEMBL1085852,21.8011609788,-36.7355704057,2010
CHEMBL1085879,20.1659540729,-38.1160551378,2010
CHEMBL1085965,-26.080709064,-10.0340385325,2010
CHEMBL1086079,19.4903562318,-31.1966272829,2010
CHEMBL1086080,19.4495234503,-31.1547734466,2010
CHEMBL1086113,22.4380756383,-39.4527117254,2010
CHEMBL1086114,23.2061398032,-36.367178533,2010
CHEMBL1086251,19.4044759691,-36.2957179001,2010
CHEMBL1086252,19.0779054995,-38.9785246491,2010
CHEMBL1086253,22.2466197125,-39.4736493387,2010
CHEMBL1086323,20.4733426707,-42.8441291833,2010
CHEMBL1086324,17.6932227728,-35.4575728784,2010
CHEMBL1086325,17.7157329537,-35.3935140219,2010
CHEMBL1086326,19.8183350591,-38.3475557039,2010
CHEMBL1086476,20.2863768648,-39.7318563794,2010
CHEMBL1086477,22.9775130948,-38.0590298841,2010
CHEMBL1086546,17.2221759341,-36.5042357796,2010
CHEMBL1086547,17.1819093677,-36.5560818119,2010
CHEMBL1086572,19.3554108772,-37.9884602024,2010
CHEMBL1086573,19.5029498093,-37.6690025347,2010
CHEMBL1086626,-27.097266747,14.7478520295,2009
CHEMBL1086719,14.1467971163,31.5346300403,2009
CHEMBL1086720,15.5792610671,34.1591900012,2009
CHEMBL1086754,-27.2247064345,14.2139173705,2009
