,x,y,year
CHEMBL1043,-8.78225490627,33.3424062588,2013
CHEMBL1076583,-21.8240683236,-15.8532516532,2009
CHEMBL1076665,-20.5550590588,-14.8501663327,2009
CHEMBL1076684,-21.7526790577,-12.468552902,2009
CHEMBL1076687,-20.3143204346,-14.9429109372,2009
CHEMBL1078207,27.1848482636,-2.97558651016,2009
CHEMBL1078208,27.6195385363,-4.11858761183,2009
CHEMBL1078491,27.7441427921,-3.33732975712,2009
CHEMBL1078492,26.8874824308,-2.87824242399,2009
CHEMBL1078595,27.1421088257,-3.48759894556,2009
CHEMBL1079311,27.6138488285,-4.11164394546,2009
CHEMBL1079976,-23.3360931334,-14.477803377,2009
CHEMBL1079977,-23.806882359,-17.280822024,2009
CHEMBL1079978,-23.4122976499,-14.8670969201,2009
CHEMBL1080316,-18.0766537013,-15.1659589964,2009
CHEMBL1080331,-19.1585593254,-13.2696547733,2009
CHEMBL1080380,-22.6194783979,-15.5977598767,2009
CHEMBL1080381,-23.7237545355,-14.5165074392,2009
CHEMBL1080574,-21.0055573113,-17.0587341077,2009
CHEMBL1080694,-19.8211653461,-15.2127450521,2009
CHEMBL1080729,-24.7347374327,-16.195624629,2009
CHEMBL1080741,-24.0582177029,-11.7648705356,2009
CHEMBL1080899,-24.0632253985,-15.7828920186,2009
CHEMBL1081074,-24.6701769661,-13.0926516189,2009
CHEMBL1081094,-22.3616210762,-15.5248965361,2009
CHEMBL1081095,-20.9412823685,-15.1724863258,2009
CHEMBL1081110,-19.708417459,-14.5467295037,2009
CHEMBL1081120,-21.8399549911,-16.1061874297,2009
CHEMBL1081792,-20.4460580183,-14.1363105386,2009
CHEMBL1081793,-18.9970740209,-11.4016306586,2009
CHEMBL1081794,-20.672355579,-14.2987327377,2009
CHEMBL1082198,-18.8297853053,-13.7638217527,2009
CHEMBL1082199,-20.9465819323,-13.2601159374,2009
CHEMBL1082200,-19.4596356744,-14.6343161936,2009
CHEMBL1082483,-44.5655678154,26.0869584735,2010
CHEMBL1082484,-40.2837573828,27.0899259524,2010
CHEMBL1082485,-40.0068804321,26.9376157692,2010
CHEMBL1082494,-43.3485562732,25.5413839598,2010
CHEMBL1082508,17.6452700931,-40.8974879821,2010
CHEMBL1082509,19.8116324609,-41.7424608267,2010
CHEMBL1082510,20.2907670017,-41.8956917908,2010
CHEMBL1082761,-16.5728070475,36.1950245373,2010
CHEMBL1082762,-15.7200500345,38.0664112889,2010
CHEMBL1082763,-14.7682877695,35.6390936405,2010
CHEMBL1082764,-38.4120667224,27.2265492125,2010
