,x,y,year
CHEMBL100029,84.4420032946,-142.193921786,1993
CHEMBL100086,69.1028524857,108.428908588,2002
CHEMBL100088,-99.7926774805,27.0119241097,1999
CHEMBL100103,82.7580358336,-137.39894912,1993
CHEMBL100143,94.8455507403,-136.648623885,1993
CHEMBL100149,70.6679379223,109.325875844,2002
CHEMBL100199,-105.436517016,24.9172109814,1999
CHEMBL100256,100.1433185,-138.816603938,1993
CHEMBL100313,-104.047602242,33.4004574923,1999
CHEMBL100317,-105.981358164,26.6716222952,1999
CHEMBL100377,82.8900283902,-132.71820993,1993
CHEMBL10048,-21.1825300241,-109.427165649,1993
CHEMBL100521,7.0941838331,-171.794406896,1999
CHEMBL100626,57.9051444648,66.2005357098,1996
CHEMBL100635,65.160254388,47.3925160848,2001
CHEMBL10085,52.2264180309,122.923845875,1994
CHEMBL100875,68.5179972548,108.26441453,2002
CHEMBL100928,69.9979166146,110.755736709,2002
CHEMBL101008,60.554022654,83.1699505381,1996
CHEMBL10105,35.9073606012,117.893844066,1994
CHEMBL101076,78.094253209,59.2676119887,1999
CHEMBL101138,-115.813072765,60.3864841447,1994
CHEMBL101189,57.8748466552,76.6981721822,1996
CHEMBL101367,74.0014886332,67.1869686473,2000
CHEMBL101480,-37.4000676974,-50.0525588453,1992
CHEMBL101483,-68.7365946504,-28.5759378607,1992
CHEMBL101535,-58.6946141903,-29.1654516685,1992
CHEMBL101593,73.8216033206,54.4309187934,1999
CHEMBL101664,119.076609534,66.1733347233,2011
CHEMBL101686,-86.5327170863,-88.975364421,2003
CHEMBL101690,-76.6725001999,77.5646517634,2003
CHEMBL101933,68.2434144372,108.775514687,2002
CHEMBL10194,-7.39510792377,35.9643473233,1991
CHEMBL10207,-12.6222507183,-109.073088681,1993
CHEMBL102175,-64.5477041121,-29.5727428021,1992
CHEMBL102182,-85.320059296,-86.5929283041,2003
CHEMBL102250,-85.6708144456,-78.5429253273,2003
CHEMBL102268,73.9774630048,68.5306374263,2000
CHEMBL102274,55.6958613046,52.4114242596,2000
CHEMBL102288,-31.1489064999,-51.6152386712,1992
CHEMBL102292,-75.9581399671,-90.7502133774,2003
CHEMBL102335,-79.412110545,-86.3360403804,2003
CHEMBL102344,-85.1226245143,-89.6928247391,2003
CHEMBL102347,79.0030484568,55.1290079215,1997
CHEMBL102548,-126.072225757,65.7000818311,1994
CHEMBL102586,-123.514209576,60.4085506692,1994
CHEMBL102645,-127.047076366,60.3172283743,1994
CHEMBL10270,-48.1246027537,-107.588975169,1993
CHEMBL10289,-16.9598767542,-103.055059594,1993
CHEMBL103028,61.2563475195,51.5749649166,2000
CHEMBL103058,-77.3553579278,-85.0646975461,2003
CHEMBL103205,-120.940663584,60.4278709807,1994
CHEMBL10327,51.7643258975,119.200286744,1994
CHEMBL103371,-125.7323329,51.8793409292,1994
CHEMBL103388,-123.916893869,58.1740333769,1994
CHEMBL103424,-83.3094784075,9.82358937903,2003
CHEMBL103479,-84.3614905639,-86.4002100002,2003
CHEMBL103503,-78.7588899157,-85.9171125362,2003
CHEMBL103549,-119.444834516,59.6067651504,1994
CHEMBL10355,5.88463266595,2.52361394935,1991
CHEMBL103550,-82.3067892996,-82.7518628521,2003
CHEMBL10366,-2.3261703037,-2.11822848708,1991
CHEMBL103772,109.009105019,42.6352491335,1997
CHEMBL103854,-118.52168455,61.1755112728,1994
CHEMBL103983,-71.240889097,-30.8836238818,1992
CHEMBL104026,-92.6801584728,-83.8408942689,2003
CHEMBL10408,-53.169799033,-110.182857328,1993
CHEMBL104088,61.4306379555,46.1414410686,2000
CHEMBL104102,68.6379735551,68.2981580702,2000
CHEMBL104144,-91.4890646674,-35.6954817755,2002
CHEMBL104158,-76.2350001645,-90.3826378969,2003
CHEMBL10417,46.8508110944,117.118291938,1994
CHEMBL104204,-12.615120872,-26.4514561115,1997
CHEMBL104229,-79.9650723095,-37.432127927,2002
CHEMBL1043,65.9252666644,-77.921143343,2013
CHEMBL104308,-8.07465001229,-172.16682542,2002
