,x,y,year,in_drugbank
CHEMBL1000,-1.63263127591,-1.37890263571,0,True
CHEMBL100086,-12.381400604,17.5266012995,2002,False
CHEMBL1004,-3.06377079924,-1.55326254934,0,True
CHEMBL1005,5.40098099134,18.5030484437,0,True
CHEMBL100521,14.9800679336,-0.345572349647,1999,False
CHEMBL1006,-6.4226463736,-15.4541642879,0,True
CHEMBL1008,-21.8595196481,23.3346436417,0,True
CHEMBL100875,-12.0914445665,16.3260637782,2002,False
CHEMBL1009,-8.91590169161,-16.9346474883,0,True
CHEMBL101,-13.7599064356,-2.38930749749,0,True
CHEMBL101138,0.382024770105,-23.872419853,1994,False
CHEMBL1013,27.6867720953,-16.2766934259,0,True
CHEMBL1016,-11.7332579112,-11.1143204414,0,True
CHEMBL101686,33.1200758309,24.3479961266,2003,False
CHEMBL101690,25.4583965049,29.3299008852,2003,False
CHEMBL1017,-10.5187786765,-11.7075328003,0,True
CHEMBL1018,-20.3708108352,12.8986569267,0,True
CHEMBL1020,-4.22683216108,-5.63517805685,0,True
CHEMBL1021,-4.02387115977,-5.05796524995,0,True
CHEMBL102250,34.7380401217,25.4727403328,2003,False
CHEMBL102292,33.616562278,25.2314522645,2003,False
CHEMBL1023,14.8828510334,15.2958612631,0,True
CHEMBL1024,-19.9420255393,16.0234200611,0,True
CHEMBL1025,-14.8323429194,-7.3613251413,0,True
CHEMBL102548,1.08520653294,-22.0552630003,1994,False
CHEMBL102586,1.78087481176,-23.3987143259,1994,False
CHEMBL102645,2.31742441765,-22.024300368,1994,False
CHEMBL1027,-8.55796222148,-12.5233174102,0,True
CHEMBL1029,13.2118198575,-24.3109211574,0,True
CHEMBL102970,-21.3773064449,14.2186420927,0,True
CHEMBL103,-6.14124945569,-34.9700194391,0,True
CHEMBL103205,2.0481369811,-20.6387804869,1994,False
CHEMBL103371,1.56550086112,-21.7582405754,1994,False
CHEMBL103388,1.65635303566,-22.9871780521,1994,False
CHEMBL103424,16.5755583451,24.6389205599,2003,False
CHEMBL103479,34.4896499935,24.9545333544,2003,False
CHEMBL103503,31.5414190096,26.3865964144,2003,False
CHEMBL103549,2.34296234441,-21.6495898048,1994,False
CHEMBL103550,34.6838119756,27.2590163679,2003,False
CHEMBL1037,-6.78598039128,-0.304997019178,0,True
CHEMBL103854,2.57419877036,-23.3391478316,1994,False
CHEMBL104,0.2400767216,-3.58510177927,0,True
CHEMBL104026,31.8186767002,25.1028245597,2003,False
CHEMBL104158,31.9337286884,25.6130191081,2003,False
CHEMBL1042,-3.82160259727,-31.8728434291,0,True
CHEMBL1043,20.2449577519,-8.0911135493,0,True
CHEMBL104374,32.9058173946,26.6725097242,2003,False
CHEMBL104484,34.7183867423,26.4004382409,2003,False
CHEMBL104496,35.2448598423,26.2671522799,2003,False
CHEMBL1046,-14.8782924037,-18.1098506459,0,True
CHEMBL104692,34.7527516465,26.9787530688,2003,False
CHEMBL104720,33.1492929518,24.5261375525,2003,False
CHEMBL104753,34.7394316748,25.4715143757,2003,False
CHEMBL105,-16.7727615658,-6.71282677488,0,True
CHEMBL105025,35.0513640722,26.3606884331,2003,False
CHEMBL105091,34.6983608754,25.0887202049,2003,False
CHEMBL105118,34.7759301642,27.0200861791,2003,False
CHEMBL105261,33.1577112259,24.6155194877,2003,False
CHEMBL105327,32.8690177035,26.1806163569,2003,False
CHEMBL105369,33.5512216387,25.5261107857,2003,False
CHEMBL1054,13.5476531779,-12.1961970709,0,True
CHEMBL1055,13.2327301996,-11.6254914617,0,True
CHEMBL105556,32.8991055174,26.75365879,2003,False
CHEMBL105722,34.8856803171,25.8206758415,2003,False
CHEMBL105743,34.9821036338,26.0825581042,2003,False
CHEMBL1059,-12.5742387055,-19.7176639195,0,True
CHEMBL105958,34.7544446252,26.0481274424,2003,False
CHEMBL106,0.349721525796,12.8552886719,0,True
CHEMBL1064,0.828728765182,-29.9366388682,0,True
CHEMBL1065,-22.511415917,-5.8120822659,0,True
CHEMBL1068,-10.3495863156,2.61033335642,0,True
CHEMBL1069,-11.1457975445,-11.0734400112,0,True
CHEMBL107,13.6197351762,-20.9336786425,0,True
CHEMBL1070,-0.99510613634,21.1152683186,0,True
CHEMBL1071,-14.4679981299,-16.089405664,0,True
CHEMBL1072,-7.79957351726,-8.33337470777,0,True
CHEMBL1073,-3.90892893681,9.86551005972,0,True
CHEMBL1075,-6.46613270132,-2.96893956825,0,True
CHEMBL107511,2.4871453297,-17.8941383523,1999,False
CHEMBL1077,-9.4571150155,-4.46636880118,0,True
CHEMBL1077896,-6.55884893583,-1.215078536,0,True
CHEMBL1078,32.5024761034,15.1036724778,0,True
CHEMBL1079,9.52331268307,1.32583759261,0,True
CHEMBL1079604,-8.63466184031,21.5001031539,0,True
CHEMBL108,-11.6545423348,3.13483321201,0,True
CHEMBL1082,25.9849426616,-14.1588790747,0,True
CHEMBL1082407,12.2989392247,15.4424813655,0,True
CHEMBL108337,1.16711504913,24.468802584,1996,False
