,x,y,year,in_drugbank
CHEMBL1000,8.90788932009,10.9533671953,0,True
CHEMBL100086,6.09000212062,-11.3934747845,2002,False
CHEMBL1004,7.79916444833,6.27003817326,0,True
CHEMBL1005,-10.8395234788,-27.8647239066,0,True
CHEMBL1006,-8.6600441565,17.5412057201,0,True
CHEMBL1008,5.87597084394,-1.84019530214,0,True
CHEMBL1009,-14.807895876,10.1879115664,0,True
CHEMBL101,20.8798413584,-2.30878393235,0,True
CHEMBL101138,-35.0625349947,9.67738506791,1994,False
CHEMBL1013,32.410993465,16.4005640468,0,True
CHEMBL1016,23.4163873479,-4.69817279232,0,True
CHEMBL101686,32.7012561419,2.87652754974,2003,False
CHEMBL101690,30.2094917256,-2.63987801744,2003,False
CHEMBL1017,21.04705165,-6.57465246122,0,True
CHEMBL1018,-2.65307324996,-4.7997700368,0,True
CHEMBL1020,0.734046805779,15.6481907874,0,True
CHEMBL1021,-1.01765213619,15.8545465952,0,True
CHEMBL102292,33.0056816167,3.55722819484,2003,False
CHEMBL1023,12.5240748983,-21.060436149,0,True
CHEMBL1024,16.3477238655,-12.7059962803,0,True
CHEMBL1025,18.8260558888,8.31849312026,0,True
CHEMBL102548,-35.9268207205,6.63903639029,1994,False
CHEMBL102586,-36.9821041454,7.75307998948,1994,False
CHEMBL102645,-35.3499094198,7.09007205,1994,False
CHEMBL1027,-6.40757122456,17.7181424366,0,True
CHEMBL1029,-11.8612634641,24.7721385577,0,True
CHEMBL102970,-4.65374966901,-5.17174813824,0,True
CHEMBL103,26.9182817329,31.8854757888,0,True
CHEMBL103205,-37.5165423807,6.89505049892,1994,False
CHEMBL103371,-36.3404604298,5.30666672585,1994,False
CHEMBL103388,-36.4907773381,7.41123779576,1994,False
CHEMBL103424,28.6986719614,0.941551740287,2003,False
CHEMBL103479,34.9875366509,2.0398027465,2003,False
CHEMBL103503,32.1325104885,0.589303539012,2003,False
CHEMBL103549,-35.8923665939,6.17973779161,1994,False
CHEMBL103550,34.1140681182,0.306866617612,2003,False
CHEMBL1037,9.99912786149,-3.96686368189,0,True
CHEMBL103854,-37.1290799865,7.11095730461,1994,False
CHEMBL104,4.52935454075,13.2073997922,0,True
CHEMBL104026,30.98317655,1.78185793438,2003,False
CHEMBL104158,31.3045476921,2.83491297878,2003,False
CHEMBL1042,20.7850425355,33.4839350794,0,True
CHEMBL1043,-15.6614258847,-7.24666215778,0,True
CHEMBL104374,33.2777239516,4.18462813856,2003,False
CHEMBL104484,35.211178482,1.16940952172,2003,False
CHEMBL104496,35.2157151502,2.17920920722,2003,False
CHEMBL1046,-7.96037196692,14.1849251488,0,True
CHEMBL104692,35.81337126,2.71791268396,2003,False
CHEMBL104753,34.8281920802,3.13898247126,2003,False
CHEMBL105,20.579857675,6.48523214836,0,True
CHEMBL105025,35.1756086468,1.09504709834,2003,False
CHEMBL105091,34.3551088339,2.77643231289,2003,False
CHEMBL105118,35.9451307394,1.52628286423,2003,False
CHEMBL105261,33.0434349987,2.52426353969,2003,False
CHEMBL105327,32.8550848435,4.68531256648,2003,False
CHEMBL105369,33.8256353075,2.90591423458,2003,False
CHEMBL1054,-14.884761488,-12.9849040183,0,True
CHEMBL1055,-16.8668561159,-11.6132381703,0,True
CHEMBL105556,34.0073544525,6.45284109608,2003,False
CHEMBL105722,34.3284092346,1.92240513077,2003,False
CHEMBL105743,34.4193294068,2.28276992533,2003,False
CHEMBL1059,-6.96379239472,17.179869642,0,True
CHEMBL105958,34.396340709,2.12267899517,2003,False
CHEMBL106,-7.62170071299,-21.6291659471,0,True
CHEMBL1064,17.8983136307,29.9883712122,0,True
CHEMBL1065,-25.2632286432,-9.17532631788,0,True
CHEMBL1068,14.4554805648,0.784905894408,0,True
CHEMBL1069,22.3521896544,-5.74298916735,0,True
CHEMBL107,-8.84391459825,20.9152779408,0,True
CHEMBL1070,7.98433978983,-14.6784982976,0,True
CHEMBL1071,-6.7118489428,11.8738331371,0,True
