,x,y,year,in_drugbank
CHEMBL1000,3.66989284125,26.6803941301,0,True
CHEMBL1004,-0.0888128922074,21.7830571003,0,True
CHEMBL1005,-30.1664154777,33.4248941618,0,True
CHEMBL1006,-2.27652324669,-26.5432215933,0,True
CHEMBL1008,-18.6903557597,22.7447553535,0,True
CHEMBL1009,-11.935127866,-22.6926695129,0,True
CHEMBL101,-14.6121872845,47.3231662313,0,True
CHEMBL1013,39.5694234752,-28.6805614075,0,True
CHEMBL1016,21.7562043189,2.02991351513,0,True
CHEMBL1017,21.658491029,3.26747469261,0,True
CHEMBL1018,-37.7099338735,5.00061238597,0,True
CHEMBL1020,-3.67208463414,2.39726385878,0,True
CHEMBL1021,2.46002770487,2.8646706635,0,True
CHEMBL1023,-8.57908811184,11.4015083875,0,True
CHEMBL1024,2.33365273143,-58.078148535,0,True
CHEMBL1025,3.30692355969,-10.393936663,0,True
CHEMBL1027,-24.1680093052,29.2354245295,0,True
CHEMBL1029,10.0370837178,-35.4439201944,0,True
CHEMBL102970,2.92591782044,1.37914486623,0,True
CHEMBL103,45.999354001,7.40698839832,0,True
CHEMBL103479,-11.6338951551,27.1523710957,2003,False
CHEMBL1037,-21.5264213984,28.8851194386,0,True
CHEMBL104,8.57230198785,27.1887637723,0,True
CHEMBL1042,35.7276532144,-1.20314970397,0,True
CHEMBL1043,-2.25950102917,47.9926448891,0,True
CHEMBL1046,8.22038970159,-26.2876060899,0,True
CHEMBL105,-0.283181852782,-13.0743901533,0,True
CHEMBL105261,-10.7703619237,27.4897326113,2003,False
CHEMBL1054,36.6506743273,30.4449532857,0,True
CHEMBL1055,34.6967031335,34.6761867922,0,True
CHEMBL1059,-29.784335151,-23.1443090415,0,True
CHEMBL106,28.884454418,20.1457633742,0,True
CHEMBL1064,22.3428290001,-43.192091034,0,True
CHEMBL1065,-21.4328634106,-32.3295084555,0,True
CHEMBL1068,-41.5628899811,31.464339611,0,True
CHEMBL1069,25.0152951157,1.42431977882,0,True
CHEMBL107,7.71727761523,-28.4990451237,0,True
CHEMBL1070,-21.2980827852,-8.61868942713,0,True
CHEMBL1071,8.84493610683,-16.6636045728,0,True
CHEMBL1072,-14.3964673923,7.01492602702,0,True
CHEMBL1073,-10.0116729598,-7.53621155749,0,True
CHEMBL1075,7.00518096597,14.2418346021,0,True
CHEMBL1077,-1.06856237531,2.40682798654,0,True
CHEMBL1077896,-32.0024321436,28.537791061,0,True
CHEMBL1078,14.9634026336,10.7971443989,0,True
CHEMBL1079,20.3788834463,34.6351601447,0,True
CHEMBL1079604,-24.57738119,-1.60827996136,0,True
CHEMBL108,-41.4625135383,31.7971977766,0,True
CHEMBL1082,36.5379998346,-29.2921844327,0,True
CHEMBL1082407,23.4491471476,16.1931413363,0,True
CHEMBL1083659,5.84297485732,29.0419633902,0,True
CHEMBL1085,2.81882450731,12.7084754682,0,True
CHEMBL1087,-32.7238767107,27.1426336111,0,True
CHEMBL10878,-23.2547198156,-9.96460453959,0,True
CHEMBL1088,-0.420818144264,14.9110904834,0,True
CHEMBL1088977,-1.72478764567,-48.7490209534,0,True
CHEMBL1089,-33.2129863719,13.9310238412,0,True
CHEMBL109,-0.604777890087,-20.0850275798,0,True
CHEMBL1090,-1.61815743334,-50.6110358181,0,True
CHEMBL1094,-0.486124184782,-11.7400885064,0,True
CHEMBL1094966,-42.4456834225,-4.3472755215,0,True
CHEMBL1095,-39.0832931909,27.693062437,0,True
CHEMBL1095097,44.3883851388,5.11852792891,0,True
CHEMBL1095280,-3.42649743699,-49.954484359,0,True
CHEMBL1095282,10.2875630396,39.110865797,0,True
CHEMBL1095777,-47.2249484201,8.72080200303,0,True
CHEMBL1096,-13.9041586502,5.15798266689,0,True
CHEMBL1096562,5.85044214286,-17.8592140613,0,True
CHEMBL1096885,15.1973420039,-34.2038673732,0,True
CHEMBL1098,-29.6248146093,25.7093506479,0,True
CHEMBL11,-2.49904793905,17.2770935689,0,True
CHEMBL1100,-62.4367184474,6.22688408415,0,True
CHEMBL1101,-22.8235845406,26.7498975001,0,True
CHEMBL1102,-14.1926406925,52.5467024606,0,True
CHEMBL1103,22.5279033416,49.3383860544,0,True
CHEMBL1104,-38.2098349679,1.80191825597,0,True
CHEMBL1106,9.78493329935,20.3925937333,0,True
CHEMBL1107,-17.1036065118,28.0790654969,0,True
CHEMBL1108,-5.70101993983,28.9434397139,0,True
CHEMBL1109,3.37270452025,46.963584031,0,True
CHEMBL111,11.3054922082,22.1748476105,0,True
CHEMBL1110,8.91250313333,6.48537747632,0,True
CHEMBL1111,-4.20471267884,-4.42271855502,0,True
CHEMBL1112,22.389383442,26.930023171,0,True
CHEMBL1113,13.0089352868,29.3361700502,0,True
CHEMBL1114,-10.6591242677,-41.7031019753,0,True
CHEMBL1115,-37.1361507617,-1.36201775069,0,True
CHEMBL1117,15.7228429471,-35.9654872161,0,True
CHEMBL1118,-20.6554060501,14.5221197946,0,True
CHEMBL112,-35.4401732203,2.38705862866,0,True
CHEMBL1121,-28.4079942039,-30.0195453594,0,True
CHEMBL1123,-21.4208214019,20.1396224817,0,True
CHEMBL1129,-4.77829978161,-41.6792571895,0,True
CHEMBL11298,-9.26150564933,-26.0160545848,0,True
CHEMBL113,-11.0215051723,-40.9218480531,0,True
CHEMBL1131,33.7681902497,-15.5704588579,0,True
CHEMBL1136,23.6889092749,-39.235461649,0,True
CHEMBL1138,-44.5925683564,11.5186411944,0,True
CHEMBL1139,16.675231761,-26.0605814272,0,True
CHEMBL114,-37.6235902136,-31.3676390157,0,True
CHEMBL114012,-17.4962319309,34.8642357025,2000,False
CHEMBL1144,23.2736402092,-44.4463634867,0,True
CHEMBL1146,45.5668149255,-28.0155263715,0,True
CHEMBL1148,-5.98439769263,-7.84123589444,0,True
CHEMBL1149,3.50714214714,-18.7515083963,0,True
CHEMBL115,-39.0353069077,-30.9118457558,0,True
CHEMBL1159650,56.3304955522,3.196179374,0,True
CHEMBL1159655,-40.5533548746,-33.1783580514,0,True
CHEMBL116,-6.28268480871,54.3438977287,0,True
CHEMBL1162,36.2310362934,9.89852920576,0,True
CHEMBL1163,-38.0516348894,-33.4074207704,0,True
CHEMBL116448,-17.8324276443,38.45477317,2000,False
CHEMBL1164729,19.2165783231,7.22454088296,0,True
CHEMBL1165,-35.8897148839,-21.6590277698,0,True
CHEMBL1165268,23.2681600347,-12.1226122525,0,True
CHEMBL1166,-36.0706982627,-26.8718951352,0,True
CHEMBL1167,14.8111920767,-39.04049592,0,True
CHEMBL1168,-35.4809796976,-24.5458806544,0,True
CHEMBL1169,-4.652285765,49.48719424,0,True
CHEMBL1170,41.2387234283,7.55858433061,0,True
CHEMBL1171837,-5.43251591742,10.6298521153,0,True
CHEMBL1172,6.71318526122,32.9014398519,0,True
CHEMBL1173331,-33.1062223268,44.3380622785,2013,False
CHEMBL1173655,17.5780978709,-0.737485046797,0,True
CHEMBL1174,-33.7330695749,-37.3116312383,0,True
CHEMBL1175,-44.9630499604,15.6237888056,0,True
CHEMBL117785,-34.0379074959,-8.26861305046,0,True
CHEMBL1179,-38.7346364849,15.2395174016,0,True
CHEMBL118,21.2923876168,10.4922244211,0,True
CHEMBL1180725,-48.4568441695,-4.72469872507,0,True
CHEMBL1181665,-31.4864050498,-16.182365849,2005,False
CHEMBL1181680,-32.1577266931,-15.9078070968,2005,False
CHEMBL1181770,-30.103564201,-14.7241948405,2005,False
CHEMBL1182833,-38.6004492639,-12.1865504258,0,True
CHEMBL1183349,28.6618078762,19.2129861672,0,True
CHEMBL1183717,-3.79843586282,23.9449706633,0,True
CHEMBL1185,-24.0613630468,-22.1049165661,0,True
CHEMBL1186579,-56.9118045707,13.1038467387,0,True
CHEMBL1186610,-48.2815030143,-12.6364863633,0,True
CHEMBL1188501,8.24718313463,33.8920127424,2013,False
CHEMBL1189432,-12.1083617681,21.1440137439,0,True
CHEMBL1189679,-8.05725711079,30.6483090503,0,True
CHEMBL119,12.0545296451,-3.62898887425,0,True
CHEMBL1190,2.81513527382,-13.9547223389,0,True
CHEMBL1191,2.93278679195,50.0655835126,0,True
CHEMBL1193,-0.131063325014,21.2287964539,0,True
CHEMBL1194,-30.8966287049,27.9934130421,0,True
CHEMBL1194287,5.36086447574,22.9909669567,0,True
CHEMBL119443,-21.2339381553,-29.8472890218,0,True
CHEMBL1194666,6.35350157639,42.5906472529,0,True
CHEMBL1195,-10.2146482846,37.5831942625,0,True
CHEMBL1196,-9.11389481828,36.7081561449,0,True
CHEMBL1197,-17.8182846505,19.6797800717,0,True
CHEMBL1199080,0.408695669275,33.5374812037,0,True
CHEMBL12,11.5168439186,40.7408668553,0,True
CHEMBL1200356,36.1994086195,-29.0282002359,0,True
CHEMBL1200368,-9.26620802204,9.45425457014,0,True
CHEMBL1200370,-16.6192745096,18.300648162,0,True
CHEMBL1200374,45.5331386477,9.65490623191,0,True
CHEMBL1200386,49.9406925781,2.19016834141,0,True
CHEMBL1200394,-0.644862277702,-20.6328238741,0,True
CHEMBL1200412,43.3280709245,3.5835309429,0,True
CHEMBL1200436,43.5343150978,5.13709286509,0,True
CHEMBL1200438,11.8962407444,28.3438485,0,True
CHEMBL1200453,-2.28833015554,-18.7742510328,0,True
CHEMBL1200455,21.0458851571,-12.0186139644,0,True
CHEMBL1200468,13.8514177203,-17.2799315623,0,True
CHEMBL1200472,10.5326141955,43.4396220966,0,True
CHEMBL1200490,-33.5009311114,-45.1597057188,0,True
CHEMBL1200500,55.408536048,4.25826430193,0,True
CHEMBL1200507,25.5289408781,-15.3039654668,0,True
CHEMBL1200515,-17.0103998653,-17.2551826736,0,True
CHEMBL1200522,-19.0016551503,10.6658499383,0,True
