,x,y,year,in_drugbank
CHEMBL1000,26.3664113047,-23.2943114823,0,True
CHEMBL1004,25.9917557381,-15.9551666259,0,True
CHEMBL1005,-2.33021870067,-14.0240144639,0,True
CHEMBL1006,-31.8395639523,18.3392706298,0,True
CHEMBL1008,-8.75663338024,-5.15880373245,0,True
CHEMBL1009,-33.2628489454,34.8589209317,0,True
CHEMBL101,-12.7013737931,-20.6792692356,0,True
CHEMBL1013,-8.45006673445,50.9329391741,0,True
CHEMBL1016,47.2182563232,0.337775759163,0,True
CHEMBL1017,45.4547882359,-0.38088444624,0,True
CHEMBL1018,7.31184020309,21.0920319369,0,True
CHEMBL1020,-21.6034822398,-12.2220558737,0,True
CHEMBL1021,-14.6550463714,-8.62222645181,0,True
CHEMBL1023,21.3276304368,3.07771444817,0,True
CHEMBL1024,19.6927285606,19.7231740058,0,True
CHEMBL1025,-39.2820815934,-8.79480416889,0,True
CHEMBL1027,2.55472304923,-16.6616163123,0,True
CHEMBL1029,-16.0696748613,-55.9465711815,0,True
CHEMBL102970,5.44911561284,32.6496938885,0,True
CHEMBL103,42.7717131386,38.1098180924,0,True
CHEMBL103479,-12.2562761782,39.6437521978,2003,False
CHEMBL1037,7.42803204918,-12.6366337665,0,True
CHEMBL104,32.8955096371,-20.2544302297,0,True
CHEMBL1042,40.082775319,33.209217847,0,True
CHEMBL1043,-2.00384031029,-33.0634843051,0,True
CHEMBL1046,-28.5758814203,36.236239958,0,True
CHEMBL105,-32.395552039,-8.87260540818,0,True
CHEMBL105261,-12.1296650552,38.8748911239,2003,False
CHEMBL1054,-44.7720520424,-23.8367756135,0,True
CHEMBL1055,18.8811455026,-28.5308761046,0,True
CHEMBL1059,-29.5380218622,32.4313343483,0,True
CHEMBL106,29.3147676556,-7.05742090481,0,True
CHEMBL1064,40.1363205515,20.2616048429,0,True
CHEMBL1065,-18.3305003192,39.6573828589,0,True
CHEMBL1068,-18.8111923375,-12.527871836,0,True
CHEMBL1069,47.9145952961,-2.6607045081,0,True
CHEMBL107,-11.2636626226,-44.9951749148,0,True
CHEMBL1070,-11.3544005145,20.796282932,0,True
CHEMBL1071,-1.35445458529,1.01072917892,0,True
CHEMBL1072,17.2223126548,11.5516351276,0,True
CHEMBL1073,23.1930941362,-51.0375507655,0,True
CHEMBL1075,10.5000009362,-35.8786331475,0,True
CHEMBL1077,-16.9754785781,-9.46182605197,0,True
CHEMBL1077896,-6.69850604435,-10.1104972105,0,True
CHEMBL1078,30.5128883916,13.4003791447,0,True
CHEMBL1079,44.6503185905,-22.8736240309,0,True
CHEMBL1079604,-20.4349385537,11.0052798626,0,True
CHEMBL108,-18.3800775478,-14.8922910743,0,True
CHEMBL1082,-13.4423904969,50.4859967375,0,True
CHEMBL1082407,-0.0502303650102,-47.4041202588,0,True
CHEMBL1083659,22.6753803442,-26.583967503,0,True
CHEMBL1085,19.775759358,-36.5933899222,0,True
CHEMBL1087,-7.35079305403,-8.51304948264,0,True
CHEMBL10878,-12.832717322,22.9039594919,0,True
CHEMBL1088,14.8970056783,-46.3706859976,0,True
CHEMBL1088977,-32.7851253978,-47.0841972975,0,True
CHEMBL1089,-6.45395440421,-0.166256015028,0,True
CHEMBL109,-28.0316150929,0.700836272857,0,True
CHEMBL1090,-29.926893247,-45.3945806578,0,True
CHEMBL1094,-33.9968525263,-9.30550759103,0,True
CHEMBL1094966,-1.40347959595,30.8111915065,0,True
CHEMBL1095,-13.8408192291,-13.3543575932,0,True
CHEMBL1095097,45.2527798939,42.3899480748,0,True
CHEMBL1095280,-33.5889884995,-45.0086929866,0,True
CHEMBL1095282,32.1802661466,-36.7490360179,0,True
CHEMBL1095777,-0.2513166716,18.3414798168,0,True
