,x,y,year,in_drugbank
CHEMBL1000,40.4832511626,0.894169663883,0,True
CHEMBL1004,35.6676191223,5.30074425895,0,True
CHEMBL1005,12.7887927567,-7.43944996384,0,True
CHEMBL1006,18.6089103349,-36.1968685471,0,True
CHEMBL1008,31.8764629386,31.5849843688,0,True
CHEMBL1009,-14.8306870975,-15.1235940571,0,True
CHEMBL101,1.64857576615,30.0955572086,0,True
CHEMBL1013,-7.76632413878,45.3755750295,0,True
CHEMBL1016,12.7326394776,38.8904049248,0,True
CHEMBL101686,-15.0180930689,-31.3259247141,2003,False
CHEMBL101690,-3.15225361249,-27.1914771067,2003,False
CHEMBL1017,14.1508482699,37.2810325525,0,True
CHEMBL1018,1.67330728643,-10.7927323134,0,True
CHEMBL1020,7.36181401581,10.8323032341,0,True
CHEMBL1021,9.19577492684,14.3202870853,0,True
CHEMBL102182,-4.87758648239,-31.7290847833,2003,False
CHEMBL102250,-12.7440974863,-32.2753038438,2003,False
CHEMBL102292,-11.0295722808,-28.866873302,2003,False
CHEMBL1023,15.5235297145,22.7630386109,0,True
CHEMBL102335,-5.44109117053,-32.1622905302,2003,False
CHEMBL102344,-14.8882522059,-31.2404921712,2003,False
CHEMBL1024,13.5184805524,48.8194282383,0,True
CHEMBL1025,-26.8750858345,-5.54976984208,0,True
CHEMBL1027,-4.07159166372,-40.8218419284,0,True
CHEMBL1029,-46.3353025622,-25.4978487722,0,True
CHEMBL102970,10.1369139543,47.9878716958,0,True
CHEMBL103,-25.2414682559,-53.5880013471,0,True
CHEMBL103058,-1.02113793851,-38.0632483669,2003,False
CHEMBL103424,-7.62785407023,-25.4840831795,2003,False
CHEMBL103479,-6.86930587923,-33.6683658292,2003,False
CHEMBL103503,-6.08769463739,-29.5166505953,2003,False
CHEMBL103550,-7.29458084008,-32.3411635738,2003,False
CHEMBL1037,18.9416974112,-30.1216139817,0,True
CHEMBL104,46.514768421,-1.14539643036,0,True
CHEMBL104026,-8.48876538883,-26.4595430978,2003,False
CHEMBL104158,-8.29228345791,-28.0249999617,2003,False
CHEMBL1042,-14.8562860048,-54.7549461482,0,True
CHEMBL1043,-12.3391833838,24.251618481,0,True
CHEMBL104374,-11.9289440621,-27.4476277022,2003,False
CHEMBL104384,-5.39957902298,-34.417333914,2003,False
CHEMBL104484,-11.4833777508,-35.1826805501,2003,False
CHEMBL104496,-8.26058187195,-32.7166552162,2003,False
CHEMBL1046,3.15323498041,-44.6829381731,0,True
CHEMBL104692,-9.67334499939,-33.5485148392,2003,False
CHEMBL104720,-13.2219552927,-29.9561583884,2003,False
CHEMBL104753,-10.6009197052,-33.227423912,2003,False
CHEMBL104946,-15.8661635472,-28.4986642911,2003,False
CHEMBL104953,-5.30270011065,-33.5472543526,2003,False
CHEMBL104968,-13.8803838648,-25.5035165101,2003,False
CHEMBL105,-22.9745357879,-9.51029778363,0,True
CHEMBL105025,-13.9932443402,-36.0781853868,2003,False
CHEMBL105091,-14.1844984073,-32.7543655331,2003,False
CHEMBL105118,-10.3501482134,-33.1978816911,2003,False
CHEMBL105240,-4.92262759291,-30.9936902638,2003,False
CHEMBL105261,-14.8193421553,-29.04859493,2003,False
CHEMBL105327,-14.2804046806,-24.8927978245,2003,False
CHEMBL105369,-9.43436621679,-30.5328269457,2003,False
CHEMBL1054,51.9884138493,-12.6963466392,0,True
CHEMBL105478,-5.77297605567,-32.7042888475,2003,False
CHEMBL1055,53.2195241285,-5.66427646132,0,True
CHEMBL105556,-12.3746457967,-25.7544405227,2003,False
CHEMBL105722,-11.8755479831,-33.8349364718,2003,False
CHEMBL105743,-7.49152184359,-35.2779306027,2003,False
CHEMBL105850,-6.31340231431,-32.818798868,2003,False
