,x,y,year,in_drugbank
CHEMBL1000,-10.6725616147,-1.66005454704,0,True
CHEMBL1004,-15.352142605,-1.10715441481,0,True
CHEMBL1005,6.14517440016,10.2729247798,0,True
CHEMBL1006,14.0743950797,28.1321404529,0,True
CHEMBL1008,-0.792496312075,-2.49129709179,0,True
CHEMBL1009,32.9456517708,18.5466379875,0,True
CHEMBL101,-3.80279679644,19.0376882602,0,True
CHEMBL1013,-49.8088317658,-38.1078965196,0,True
CHEMBL1016,-36.4715088756,-13.8522594786,0,True
CHEMBL101686,41.5240217434,-33.0486583589,2003,False
CHEMBL101690,31.0842102246,-32.2746942893,2003,False
CHEMBL1017,-34.4286514606,-11.8153220742,0,True
CHEMBL1018,-0.543681073302,-17.766100196,0,True
CHEMBL1020,-15.0394609132,16.0075250805,0,True
CHEMBL1021,-11.9511841559,15.3039445312,0,True
CHEMBL102182,31.6551457908,-36.6621034201,2003,False
CHEMBL102250,35.4376989471,-37.6441633091,2003,False
CHEMBL102292,42.1751588569,-38.3043428145,2003,False
CHEMBL1023,-22.1099082225,-15.8748155776,0,True
CHEMBL102335,33.1801720076,-37.6826315217,2003,False
CHEMBL102344,41.523322692,-33.0510833483,2003,False
CHEMBL1024,-12.0406729558,26.6186565375,0,True
CHEMBL1025,-31.395930195,22.1261553203,0,True
CHEMBL1027,27.2205372919,17.8673859644,0,True
CHEMBL1029,3.72517212674,47.9357830862,0,True
CHEMBL102970,-25.7054521005,35.0115636546,0,True
CHEMBL103,4.10219302576,-47.1826458079,0,True
CHEMBL103058,31.5533996141,-41.2299400369,2003,False
CHEMBL103424,33.8190383187,-27.0647381561,2003,False
CHEMBL103479,34.9007887517,-35.5251267233,2003,False
CHEMBL103503,32.8822896258,-33.5014010668,2003,False
CHEMBL103550,36.5173371858,-36.8865901455,2003,False
CHEMBL1037,8.93943434081,3.73893043694,0,True
CHEMBL104,22.0691490071,-2.11952892638,0,True
CHEMBL104026,35.6611848062,-27.8195813124,2003,False
CHEMBL104158,38.3930864674,-29.0088101154,2003,False
CHEMBL1042,15.6039876708,-54.2708467524,0,True
CHEMBL1043,-25.1421635566,-30.0604085919,0,True
CHEMBL104374,36.7543467819,-31.1107158796,2003,False
CHEMBL104384,35.1293026641,-36.2827137721,2003,False
CHEMBL104484,36.2875013127,-41.0488629957,2003,False
CHEMBL104496,34.8666313751,-39.7515798364,2003,False
CHEMBL1046,21.2502234017,21.7045594204,0,True
CHEMBL104692,36.8619843033,-38.3308639535,2003,False
CHEMBL104720,39.6263923137,-31.8008578034,2003,False
CHEMBL104753,38.5095731809,-36.8842286325,2003,False
CHEMBL104946,42.2570640747,-30.4199460313,2003,False
CHEMBL104953,33.6107027284,-37.4556586407,2003,False
CHEMBL104968,36.0486283472,-32.5902133584,2003,False
CHEMBL105,1.4186140651,29.8140960114,0,True
CHEMBL105025,35.2644234964,-38.6013728336,2003,False
CHEMBL105091,36.4061466951,-36.1013035448,2003,False
CHEMBL105118,37.4961787964,-38.4327011854,2003,False
CHEMBL105240,31.8865268751,-36.9886491724,2003,False
CHEMBL105261,41.0058969742,-32.446463144,2003,False
CHEMBL105327,36.6875466391,-33.1444389056,2003,False
CHEMBL105369,37.6956870164,-34.7970336088,2003,False
CHEMBL1054,48.1180994962,-18.1181240196,0,True
CHEMBL105478,33.7134906168,-36.0598429721,2003,False
CHEMBL1055,43.6538482744,-18.595587478,0,True
CHEMBL105556,35.9602969127,-31.0561872883,2003,False
CHEMBL105722,39.7018874126,-39.3218961687,2003,False
CHEMBL105743,36.7156523442,-37.5368509285,2003,False
CHEMBL105850,32.6863188446,-35.9365879709,2003,False
CHEMBL1059,27.7623898202,19.49407664,0,True
CHEMBL105955,44.5204105017,-35.009667974,2003,False
CHEMBL105958,36.7063308721,-36.0646301865,2003,False
CHEMBL106,26.7488866074,-19.1223663273,0,True
CHEMBL1064,22.3797353976,36.79915448,0,True
CHEMBL1065,37.0054339587,-10.6936195534,0,True
CHEMBL1068,-12.1630510048,19.4452078389,0,True
CHEMBL1069,-39.1833558133,-11.9556830306,0,True
CHEMBL107,8.56813461414,37.7160564206,0,True
CHEMBL1070,11.9327945827,-23.7016216965,0,True
CHEMBL1071,25.5828115508,14.9755638407,0,True
CHEMBL1072,-29.1942870997,-8.09947140733,0,True
CHEMBL1073,-11.1583838746,-41.5787764271,0,True
CHEMBL1075,-17.3452023117,-11.5872284697,0,True
CHEMBL1077,-7.26502619757,14.866063245,0,True
CHEMBL1077896,-1.64793244133,2.22175172993,0,True
CHEMBL1078,23.0526025928,7.88700386871,0,True
CHEMBL1079,-44.9088545465,1.72540300326,0,True
CHEMBL1079604,6.46967970082,-29.3970194377,0,True
CHEMBL108,-13.1515226105,19.8133730287,0,True
CHEMBL1082,-39.9805364087,-52.2511749762,0,True
CHEMBL1082407,-36.6297118165,13.3286113288,0,True
CHEMBL1083659,-16.302778677,7.56569472933,0,True
CHEMBL1085,-14.5020634517,-15.535876534,0,True
CHEMBL1087,-2.19458989488,6.53285906944,0,True
CHEMBL10878,9.78649294597,-27.3641068951,0,True
CHEMBL1088,-16.3605060251,-19.6542856526,0,True
CHEMBL1088977,-10.7449824376,46.0699289065,0,True
CHEMBL1089,3.03043017954,-9.32355751015,0,True
CHEMBL109,14.8421743963,21.7528858136,0,True
CHEMBL1090,-6.79876848866,46.9393533943,0,True
CHEMBL1094,2.98838177133,27.3360780745,0,True
CHEMBL1094966,20.7241316573,-13.7959522765,0,True
CHEMBL1095,-5.2092135396,12.5091089659,0,True
CHEMBL1095097,6.98571698443,-54.4228876069,0,True
CHEMBL1095280,-13.363490858,48.7930855332,0,True
CHEMBL1095282,-25.3618249613,19.9014047959,0,True
CHEMBL1095777,13.1399385021,-16.5921332177,0,True
CHEMBL1096,-26.4912957436,-7.85424264927,0,True
CHEMBL1096562,22.0378400909,18.8351868685,0,True
CHEMBL1096885,15.2075202234,45.0181674362,0,True
CHEMBL1098,3.00202411982,5.69611054363,0,True
CHEMBL11,-13.132481888,-9.46170237225,0,True
CHEMBL1100,-4.69617258966,24.5922797689,0,True
CHEMBL1101,5.54988536691,3.98403333547,0,True
CHEMBL1102,-0.594410336474,14.6692155633,0,True
CHEMBL1103,-38.1343261003,20.9819814558,0,True
CHEMBL1104,1.88817932406,-18.2409584949,0,True
CHEMBL1106,-10.0932678186,-9.1038531408,0,True
CHEMBL1107,1.97832460589,-1.41412435204,0,True
CHEMBL1108,-7.10560134744,2.7581803809,0,True
CHEMBL1109,-29.3260970598,-34.354239594,0,True
CHEMBL111,14.7419986996,-3.19952892778,0,True
CHEMBL1110,-28.9999101531,2.0185861053,0,True
CHEMBL1111,11.8559166304,-3.30337899615,0,True
CHEMBL1112,13.6832653574,-3.64232028695,0,True
CHEMBL1113,-20.1538746164,18.5413296209,0,True
CHEMBL1114,-13.8456819769,38.3995927153,0,True
CHEMBL1115,-41.5788057887,-6.46791973938,0,True
CHEMBL1117,13.9979183904,46.1573385,0,True
CHEMBL1118,6.72483685552,-19.8809256412,0,True
CHEMBL112,-0.719448303264,-15.1331055079,0,True
CHEMBL1121,37.2039851079,-6.03952623693,0,True
CHEMBL1123,-13.8509942411,-27.4716466745,0,True
CHEMBL1129,-6.01788365077,41.0743566817,0,True
CHEMBL11298,32.2355837257,21.8878843798,0,True
CHEMBL113,-15.336017603,37.7014009831,0,True
CHEMBL1131,-1.97521295787,-42.2982504094,0,True
CHEMBL1136,21.3131404708,48.1983157537,0,True
CHEMBL1138,9.31401101896,-16.3884857417,0,True
CHEMBL1139,23.6150316087,29.6390211537,0,True
CHEMBL114,31.0033105903,2.12426745991,0,True
CHEMBL1144,25.1944627476,36.6326334042,0,True
CHEMBL1146,-44.9378286454,-41.2149828506,0,True
CHEMBL1148,-14.0405039656,-45.5848232945,0,True
CHEMBL1149,23.3194094993,24.4830794857,0,True
CHEMBL115,29.8957336404,0.668083030701,0,True
CHEMBL1159650,-50.3824979353,-17.0382571095,0,True
CHEMBL1159655,31.4331840295,-1.40435967191,0,True
CHEMBL116,-25.4651741651,-40.1093656154,0,True
CHEMBL1162,8.59981684887,-58.1917371978,0,True
CHEMBL1163,33.1073164578,0.0977073073005,0,True
CHEMBL1164729,-34.1597236036,-2.20511229633,0,True
CHEMBL1165,29.234056505,10.7049807252,0,True
CHEMBL1165268,3.43847210049,-39.3050285317,0,True
CHEMBL1166,33.5527639157,6.41880485938,0,True
CHEMBL1167,10.4508187936,44.7119463544,0,True
CHEMBL1168,30.1377794993,6.51175375996,0,True
CHEMBL1169,-30.7474212219,-12.5492202842,0,True
CHEMBL1170,7.81614794641,-51.3013117972,0,True
CHEMBL1171837,-24.6376963362,-20.7899887291,0,True
CHEMBL1172,-21.304815061,3.83525292198,0,True
CHEMBL1173655,-20.9791326186,-39.6701067777,0,True
CHEMBL1174,38.7951184329,2.96315087636,0,True
CHEMBL1175,8.45452912966,-8.2026534453,0,True
CHEMBL117785,16.1279154289,-25.217398499,0,True
CHEMBL1179,8.29931210924,-9.87651681949,0,True
CHEMBL118,-28.7535715835,-29.2443746943,0,True
CHEMBL1180725,3.16014996446,12.8713518846,0,True
CHEMBL1181665,-19.6284611328,-8.34636807942,2005,False
CHEMBL1182833,17.6849143832,-23.3446022926,0,True
CHEMBL1183349,27.5733896696,-19.9626852142,0,True
CHEMBL1183717,-8.91828238008,-6.80055816314,0,True
CHEMBL1185,33.3948705514,-20.300017703,0,True
CHEMBL1186579,23.5816065152,-34.3272606131,0,True
CHEMBL1186610,6.87724567072,18.32495577,0,True
CHEMBL1189432,-7.68425003133,-11.0232451097,0,True
CHEMBL1189679,2.44886985745,0.905196399797,0,True
