,x,y,year,in_drugbank
CHEMBL1000,6.86847097208,14.6038390608,0,True
CHEMBL1004,9.8701936342,8.0609853074,0,True
CHEMBL1005,-9.73367041078,23.7951298391,0,True
CHEMBL1006,34.8489221605,-31.349378982,0,True
CHEMBL100626,-28.3170095168,24.922369261,1996,False
CHEMBL100635,-30.1484316811,8.46219869225,2001,False
CHEMBL1008,16.0057336654,23.3034646765,0,True
CHEMBL1009,33.4114429071,-18.9325590674,0,True
CHEMBL101,33.7972172889,-7.84659603618,0,True
CHEMBL101008,-28.142282616,24.9206899953,1996,False
CHEMBL101076,-28.5373632488,-54.2779217736,1999,False
CHEMBL101138,24.1819177786,-16.807087088,1994,False
CHEMBL101189,-29.7926590748,26.6080803622,1996,False
CHEMBL1013,64.1605733008,2.71339767886,0,True
CHEMBL101367,-24.7989795898,20.030988581,2000,False
CHEMBL101593,-29.9700318693,-54.1844965437,1999,False
CHEMBL1016,-1.58529730588,-38.5329586869,0,True
CHEMBL1017,-1.17525633938,-37.5386705222,0,True
CHEMBL1018,-8.60925725232,1.31914565154,0,True
CHEMBL1020,-8.39611996244,7.0101531449,0,True
CHEMBL1021,-7.87447027844,7.8742397826,0,True
CHEMBL102268,-26.9330152526,18.0592557779,2000,False
CHEMBL102274,-28.9210622533,14.6018753389,2000,False
CHEMBL1023,-3.06026210286,-40.7837283101,0,True
CHEMBL102347,-31.131256418,11.5604062279,1997,False
CHEMBL1024,41.8779027907,-15.5330333784,0,True
CHEMBL1025,16.6098613189,-2.89370592645,0,True
CHEMBL102548,24.2280032922,-18.5966338445,1994,False
CHEMBL102586,25.2705053337,-16.1033875302,1994,False
CHEMBL102645,23.9412227113,-19.2306763552,1994,False
CHEMBL1027,48.0564327065,-2.84530093933,0,True
CHEMBL1029,24.6032139778,-32.6846717515,0,True
CHEMBL102970,-10.8205699259,-46.666987598,0,True
CHEMBL103,9.81882114129,-46.1003296016,0,True
CHEMBL103028,-31.0580060889,14.0937152489,2000,False
CHEMBL103205,24.0199385073,-19.4399124636,1994,False
CHEMBL103371,23.2888482372,-21.9190135237,1994,False
CHEMBL103388,24.5396772935,-18.1198685859,1994,False
CHEMBL103479,19.4933092557,-14.5394869229,2003,False
CHEMBL103549,24.8373714541,-17.5037407767,1994,False
CHEMBL1037,15.3345933743,24.2237494003,0,True
CHEMBL103854,26.1824239081,-20.1127679717,1994,False
CHEMBL104,29.7513410048,-5.29252607615,0,True
CHEMBL104088,-24.4038867217,15.9545540742,2000,False
