,x,y,year,in_drugbank
CHEMBL1000,-7.79392472357,13.6102563567,0,True
CHEMBL100086,-9.47123855079,-5.87834595515,2002,False
CHEMBL1004,-9.88950781003,7.96781783316,0,True
CHEMBL1005,-23.5487921666,32.0048162989,0,True
CHEMBL1006,-45.3716251021,20.2703118342,0,True
CHEMBL100635,-19.3511553786,-19.2995268708,2001,False
CHEMBL1008,-17.3472578541,18.889555675,0,True
CHEMBL100875,-7.87743796195,-4.33660946984,2002,False
CHEMBL1009,-22.4238651895,14.4676100093,0,True
CHEMBL101,-28.8188807948,-4.62807704585,0,True
CHEMBL101008,-8.22026168209,-24.4697840624,1996,False
CHEMBL1013,14.1757746862,-69.0138614369,0,True
CHEMBL101367,-10.8043359354,-17.6309011919,2000,False
CHEMBL1016,-9.65967485301,32.6595301121,0,True
CHEMBL101664,-47.1890585194,-6.60489605212,2011,False
CHEMBL1017,-8.08316664505,30.4617974345,0,True
CHEMBL1018,-24.4968642026,11.5826879345,0,True
CHEMBL1020,-35.2054458681,4.51425208517,0,True
CHEMBL1021,-35.6570593968,4.23872960048,0,True
CHEMBL102268,-10.697705726,-21.2999392961,2000,False
CHEMBL102274,-18.6800810417,-19.5943714408,2000,False
CHEMBL1023,-5.83723867124,27.3952886551,0,True
CHEMBL102347,-21.9883778703,-24.3929964231,1997,False
CHEMBL1024,17.0564341707,22.3147047507,0,True
CHEMBL1025,-23.6976630011,-0.353845208051,0,True
CHEMBL1027,-28.0649480571,-8.98268856768,0,True
CHEMBL1029,41.3283745692,5.25837500669,0,True
CHEMBL102970,7.19783075686,62.6773376608,0,True
CHEMBL103,62.9588015212,21.422517489,0,True
CHEMBL103028,-19.2143560215,-21.6578727192,2000,False
CHEMBL103479,-56.3357112415,-29.7475146925,2003,False
CHEMBL1037,-4.43243856017,3.91769762284,0,True
CHEMBL104,22.0369193165,0.681017573132,0,True
CHEMBL104088,-17.5839740212,-13.9198683127,2000,False
CHEMBL104102,-12.1845876462,-19.6750827468,2000,False
CHEMBL1042,60.2629595863,17.0621810877,0,True
CHEMBL1043,27.6757442295,18.2557421119,0,True
CHEMBL104308,-69.9743163402,30.8889121594,2002,False
CHEMBL104362,-8.37969756165,-19.9311214757,2000,False
CHEMBL1046,-15.176846736,3.66423002955,0,True
CHEMBL104636,-69.1844520847,32.3440082622,2002,False
CHEMBL104709,-69.045730815,31.9167217296,2002,False
CHEMBL104715,-10.3686741036,-20.7421161014,2000,False
CHEMBL104903,-71.8929506325,31.0607795681,2002,False
CHEMBL105,-21.5182073528,1.06085227947,0,True
CHEMBL105152,-15.6689798106,-14.7490697244,2000,False
CHEMBL105261,-53.8864422054,-30.9212812986,2003,False
CHEMBL105292,-12.0487793705,-19.1743223997,2000,False
CHEMBL105372,-71.7160209743,30.8099238735,2002,False
CHEMBL105381,-13.4454470151,-19.7540711901,2000,False
CHEMBL1054,-43.0858017084,59.9952042332,0,True
CHEMBL1055,-38.1565211062,59.9864956402,0,True
CHEMBL105580,-12.2875228509,-19.0752120072,2000,False
CHEMBL1059,-31.8399910387,56.347682601,0,True
CHEMBL106,18.6739024963,-14.3854826989,0,True
CHEMBL106176,-70.7425654616,30.9378009068,2002,False
CHEMBL1064,52.5920968258,13.3137114069,0,True
CHEMBL1065,-64.5547249695,-32.9428538922,2006,True
CHEMBL106794,-72.1298327778,32.0913501552,2002,False
CHEMBL1068,13.0134049791,-14.0107740959,0,True
CHEMBL1069,-10.4539489443,31.2393287338,0,True
CHEMBL106911,-71.8768177394,31.3252113334,2002,False
CHEMBL107,-30.4914536054,-22.1463430223,0,True
CHEMBL1070,-28.2610483922,-16.8905164952,0,True
CHEMBL1071,-14.7591460844,0.0186232327832,0,True
