,x,y,year,in_drugbank
CHEMBL1000,16.4001064324,-18.1129017875,0,True
CHEMBL1004,20.8485199158,-19.5834050883,0,True
CHEMBL1005,-38.5564615225,29.8396624155,0,True
CHEMBL1006,-0.67863919149,-9.49071208417,0,True
CHEMBL1008,9.80371697841,4.01858935926,0,True
CHEMBL1009,-13.5930709803,14.3067025831,0,True
CHEMBL101,-7.35810545704,-2.0726237452,0,True
CHEMBL101008,-41.0340035141,-36.2536707771,1996,False
CHEMBL1013,11.3794325066,26.7966579379,0,True
CHEMBL101367,-32.7571419504,-55.0225525148,2000,False
CHEMBL1016,-32.6538111925,3.2065559765,0,True
CHEMBL1017,-30.0472276968,4.89095847508,0,True
CHEMBL1018,-31.1350539099,-1.40181122646,0,True
CHEMBL1020,-14.3975998147,-44.7433196496,0,True
CHEMBL1021,-2.2177130571,-5.55029393399,0,True
CHEMBL102268,-31.2651583337,-56.9854358054,2000,False
CHEMBL102274,-33.516905468,-46.9073271568,2000,False
CHEMBL1023,-34.3315083461,-1.74565384169,0,True
CHEMBL102347,-34.1112069959,-40.6455091762,1997,False
CHEMBL1024,20.285484072,61.8284039677,0,True
CHEMBL1025,4.57975718354,-26.3221964059,0,True
CHEMBL1027,28.0547797129,-13.9111017347,0,True
CHEMBL1029,43.1555029389,3.77333488382,0,True
CHEMBL102970,-30.5192937892,13.5161895739,0,True
CHEMBL103,0.448777540432,69.9152900415,0,True
CHEMBL103028,-31.4057441414,-48.4344974998,2000,False
CHEMBL1037,26.1191003895,-27.2954660616,0,True
CHEMBL104,-18.9224447149,23.503296471,0,True
CHEMBL104088,-28.991031192,-48.7896908756,2000,False
CHEMBL104102,-34.8589569659,-54.1103672551,2000,False
CHEMBL1042,-1.18079982841,62.3355156622,0,True
CHEMBL1043,-27.1018356009,-19.4132206574,0,True
CHEMBL104308,72.3836135346,-36.651205303,2002,False
CHEMBL104362,-34.8177576867,-56.3841379202,2000,False
CHEMBL1046,-6.49147255885,11.6976578587,0,True
CHEMBL104636,74.2178139316,-36.7063313243,2002,False
CHEMBL104709,73.8617246395,-36.3481085865,2002,False
CHEMBL104715,-33.0014392886,-56.0882146116,2000,False
CHEMBL104903,73.3357344767,-34.8444931504,2002,False
CHEMBL105,7.70639298324,-21.5962307496,0,True
CHEMBL105152,-36.3782817296,-54.2877927169,2000,False
CHEMBL105261,-70.6226058603,5.65181926717,2003,False
CHEMBL105292,-32.3067635461,-55.5435993324,2000,False
CHEMBL105372,74.5764503241,-34.2848649349,2002,False
CHEMBL105381,-32.5851456932,-54.760652277,2000,False
CHEMBL1054,-5.09629923013,-46.7232147392,0,True
CHEMBL1055,-9.95938487109,-46.5540533204,0,True
CHEMBL105580,-34.2399993263,-56.5261560376,2000,False
CHEMBL1059,4.25540174512,45.2826669099,0,True
CHEMBL106,14.8478103458,12.8925989797,0,True
CHEMBL106176,71.3112389277,-37.5435377572,2002,False
CHEMBL1064,-0.970344157058,56.8861817858,0,True
CHEMBL1065,59.3429003378,-31.8518989502,2006,True
CHEMBL106794,75.4569725274,-37.5470353981,2002,False
CHEMBL1068,46.9224834624,-11.8434152613,0,True
CHEMBL1069,-32.6548146337,7.72557840184,0,True
CHEMBL106911,74.2948511635,-38.421753434,2002,False
CHEMBL107,31.58084281,31.9801869113,0,True
CHEMBL1070,-44.2075903197,-7.15468368893,0,True
CHEMBL1071,-10.1521264575,13.1572060952,0,True
CHEMBL1072,-36.2036528424,-7.01410518847,0,True
CHEMBL1073,-34.6042070858,42.2751221876,0,True
CHEMBL1075,-23.4570356068,-41.7762661001,0,True
CHEMBL1077,-3.28819879911,-6.48346206984,0,True
CHEMBL1077896,8.77635804497,-5.41729961957,0,True
CHEMBL1078,-7.30302097822,-37.6715364614,0,True
CHEMBL107847,75.087641064,-34.2686608319,2002,False
CHEMBL107860,74.1328923053,-35.686375804,2002,False
CHEMBL1079,36.3407725595,-13.3249460054,0,True
CHEMBL107912,75.7749194408,-35.6247784776,2002,False
CHEMBL1079604,-46.1652743619,-21.0573746013,0,True
CHEMBL108,47.3324115164,-10.6730039513,0,True
CHEMBL1080215,68.2890431972,70.0207318948,2009,False
CHEMBL1080522,67.0206778093,70.559839472,2009,False
CHEMBL1080554,68.9830023858,64.6895637411,2009,False
CHEMBL1080555,68.0197464607,63.7477644355,2009,False
CHEMBL1080671,61.6908773629,69.1378708066,2009,False
CHEMBL1080683,60.8495135753,71.0705299391,2009,False
CHEMBL1080711,61.3820859633,72.6584158615,2009,False
CHEMBL1080712,69.4447874698,64.874024434,2009,False
CHEMBL1080726,65.7811356996,67.8042159688,2009,False
CHEMBL1080727,66.6298430756,69.8432363523,2009,False
CHEMBL1080728,63.9868317955,66.3274395782,2009,False
CHEMBL1080746,68.603950247,73.8561552667,2009,False
CHEMBL1080747,70.8322576609,70.7041921384,2009,False
CHEMBL1081035,61.6762300166,73.3822182149,2009,False
CHEMBL1081036,63.5449849709,72.6501561203,2009,False
CHEMBL1081303,65.1657254251,69.7791496113,2009,False
CHEMBL1081468,71.6423457674,68.4678319578,2009,False
CHEMBL1081644,71.0488507719,65.3693740421,2009,False
