,x,y,year,in_drugbank
CHEMBL1000,-9.63103204792,1.70602097602,0,True
CHEMBL1004,-9.21440331417,-27.2741163524,0,True
CHEMBL1005,16.3131137907,-31.0818330495,0,True
CHEMBL1006,-4.07584670904,18.8941353981,0,True
CHEMBL1008,4.26048315511,-23.7550514706,0,True
CHEMBL1009,24.0219292155,26.1035504108,0,True
CHEMBL101,3.00298146664,24.1441762002,0,True
CHEMBL101138,27.1791440379,9.44246188071,1994,False
CHEMBL1013,-52.5172243455,10.5385850182,0,True
CHEMBL1016,-4.05753860587,38.0203027554,0,True
CHEMBL1017,-5.63460601011,37.5662216534,0,True
CHEMBL1018,0.941268828025,-15.2927663988,0,True
CHEMBL1020,24.1173761815,-1.20531276321,0,True
CHEMBL1021,24.6370773531,-7.32812723808,0,True
CHEMBL1023,-1.76798043497,-2.50066586246,0,True
CHEMBL1024,-18.2197877498,27.0423370073,0,True
CHEMBL1025,28.6487522378,-31.5078954932,0,True
CHEMBL102548,31.5175045457,13.1119555811,1994,False
CHEMBL102586,29.6866436191,13.3841068363,1994,False
CHEMBL102645,32.8013773521,12.1762584508,1994,False
CHEMBL1027,36.889163718,1.60308164738,0,True
CHEMBL1029,-36.1451587859,11.199586463,0,True
CHEMBL102970,45.6292120261,-28.7030831251,0,True
CHEMBL103,-18.806865531,-53.712788222,0,True
CHEMBL103205,32.7023591678,13.8199204556,1994,False
CHEMBL103371,29.7868873871,12.0743665533,1994,False
CHEMBL103388,33.6670247346,11.8741370725,1994,False
CHEMBL103549,30.6466226076,12.9786561924,1994,False
CHEMBL1037,5.97032535819,-36.1291019649,0,True
CHEMBL103854,31.2522736058,13.2102555114,1994,False
CHEMBL104,-6.21204404911,7.36071195112,0,True
CHEMBL1042,-10.051675469,-54.5591969161,0,True
CHEMBL1043,44.0572165672,-12.7980018565,0,True
CHEMBL1046,-21.2019443331,13.5376185708,0,True
CHEMBL105,32.5711542755,-31.3492578871,0,True
CHEMBL1054,3.66075770997,41.4046865797,0,True
CHEMBL1055,1.14088942021,40.6507088023,0,True
CHEMBL1059,36.7739115255,3.99291016432,0,True
CHEMBL106,2.78066246543,13.5733966784,0,True
CHEMBL1064,-36.9425210745,-10.9674388289,0,True
