,x,y,year,in_drugbank
CHEMBL1000,-12.7062462922,23.4214517651,0,True
CHEMBL1004,-4.70659293926,18.264519981,0,True
CHEMBL1005,-11.3684494011,-20.2515764489,0,True
CHEMBL1006,29.137930675,-33.5656295901,0,True
CHEMBL1008,4.07579818476,-29.409303611,0,True
CHEMBL1009,29.8197981713,-16.6304181281,0,True
CHEMBL101,8.24628951322,-38.3254100198,0,True
CHEMBL1013,-14.5969091987,-51.9056243639,0,True
CHEMBL1016,3.22263885605,-1.40287443654,0,True
CHEMBL1017,1.62545216847,-2.22959783361,0,True
CHEMBL1018,17.7332922416,-20.7689251185,0,True
CHEMBL1020,1.7964541789,3.63301823874,0,True
CHEMBL1021,-2.52383098228,8.22759594858,0,True
CHEMBL1023,14.7238701914,11.7316727755,0,True
CHEMBL1024,12.5502053578,47.4854244989,0,True
CHEMBL1025,-23.6286688694,-32.2640535119,0,True
CHEMBL1027,-18.4744302671,-12.8741059003,0,True
CHEMBL1029,38.739187368,37.8435378001,0,True
CHEMBL102970,-40.1743991078,-25.6561780565,0,True
CHEMBL103,-56.4974805138,8.31197830828,0,True
CHEMBL1037,24.2399064621,-5.54064845765,0,True
CHEMBL104,-8.88783664052,35.776978733,0,True
CHEMBL1042,-51.3741567843,15.9359283324,0,True
CHEMBL1043,-32.2557539539,31.180544407,0,True
CHEMBL1046,2.10616777573,28.8596598036,0,True
CHEMBL105,-25.4016986858,-29.0370434102,0,True
CHEMBL1054,15.2603282529,28.1644582434,0,True
CHEMBL1055,11.341850995,28.7474275698,0,True
CHEMBL1059,-20.1166066139,-12.0283640144,0,True
CHEMBL106,19.6714200417,14.6780650662,0,True
CHEMBL1064,-45.0107838343,2.76118878179,0,True
CHEMBL1065,50.3921323997,-17.3393727673,0,True
CHEMBL1068,41.0069789513,8.0184297232,0,True
CHEMBL1069,2.64811097563,-4.93155277678,0,True
CHEMBL107,28.0886630712,33.6321155293,0,True
CHEMBL1070,7.08549292432,-0.505045706065,0,True
CHEMBL1071,-0.325920814304,-7.54207772314,0,True
CHEMBL1072,11.4656193161,19.3695443912,0,True
CHEMBL1073,1.63661452893,25.0862908342,0,True
CHEMBL1075,-21.4819884024,3.51586763378,0,True
CHEMBL1077,-0.3101397559,6.74578810692,0,True
CHEMBL1077896,-3.31190428066,-24.4041121555,0,True
CHEMBL1078,10.1060433501,33.4661400137,0,True
CHEMBL1079,-30.0384451309,38.765689045,0,True
CHEMBL1079604,15.8746041868,-5.50354141046,0,True
CHEMBL108,40.3364373151,5.23410948981,0,True
CHEMBL1082,-9.36654347399,-49.6331249108,0,True
CHEMBL1082407,15.7747692141,19.0401206914,0,True
CHEMBL1083659,-11.2092347443,25.689304415,0,True
CHEMBL1085,-15.8710454831,8.83021020864,0,True
CHEMBL1087,-5.47240413875,-19.9406746826,0,True
CHEMBL10878,5.2276048431,2.11216038891,0,True
CHEMBL1088,-17.8764165962,7.42785141223,0,True
CHEMBL1088977,46.4497017301,29.5562101066,0,True
CHEMBL1089,-2.16420342105,-18.075758611,0,True
CHEMBL109,-25.2540897314,-21.7623430726,0,True
CHEMBL1090,45.4551373381,26.940447156,0,True
CHEMBL1094,-26.1777771782,-28.3966070524,0,True
CHEMBL1094966,19.7567168765,-29.9001424039,0,True
CHEMBL1095,-2.26295721714,-35.561649878,0,True
CHEMBL1095097,-59.4307851113,11.2201067166,0,True
CHEMBL1095280,47.6836926161,28.0518608563,0,True
CHEMBL1095282,-16.9018176521,40.0495122782,0,True
CHEMBL1095777,12.1680327406,-24.9597215244,0,True
CHEMBL1096,12.4969329774,9.11972218117,0,True
CHEMBL1096562,-30.3621274729,-24.2326141189,0,True
CHEMBL1096885,27.7570021585,43.7130194271,0,True
CHEMBL1098,-1.66140992919,-27.9370377227,0,True
CHEMBL11,-8.47189519699,7.20896441981,0,True
CHEMBL1100,14.4814472613,-50.8466721651,0,True
CHEMBL1101,-8.94923723003,-8.52074070977,0,True
CHEMBL1102,0.504797392217,-32.7762670727,0,True
CHEMBL1103,-32.8893720346,-40.0372281655,0,True
CHEMBL1104,17.4096788178,-22.6023888852,0,True
CHEMBL1106,-6.69099105487,12.9742624403,0,True
CHEMBL1107,-12.274784591,17.0885017826,0,True
CHEMBL1108,-16.6341433214,19.2612969054,0,True
CHEMBL1109,-34.2033378306,29.2462351362,0,True
CHEMBL111,-12.9479378191,24.7318412811,0,True
CHEMBL1110,34.3160256737,2.72354419336,0,True
CHEMBL1111,-2.72274881276,-10.5358778738,0,True
CHEMBL1112,-5.93023897267,13.4216845043,0,True
CHEMBL1113,-20.4539721121,30.9215456497,0,True
CHEMBL1114,40.4224077279,18.4763083021,0,True
CHEMBL1115,21.8029511158,-22.7924300464,0,True
CHEMBL1117,26.0180214181,44.1649913583,0,True
CHEMBL1118,-8.12264733495,-6.33361969444,0,True
CHEMBL112,16.8895540371,-17.9427164954,0,True
CHEMBL1121,44.1530218228,-23.9841864292,0,True
CHEMBL1123,-16.1497230101,-4.35005935879,0,True
CHEMBL1129,37.8476470113,26.2416676572,0,True
CHEMBL11298,33.8713903484,-13.2872532762,0,True
CHEMBL113,39.8197088947,17.8223276929,0,True
CHEMBL1131,-23.9074172792,-35.4586398735,0,True
CHEMBL1136,25.4688211454,46.6940000113,0,True
CHEMBL1138,11.3570043058,-20.2545105677,0,True
CHEMBL1139,-40.4928036615,-0.649384958205,0,True
CHEMBL114,53.0319085282,-25.5981060592,0,True
CHEMBL1144,-45.7782938995,-0.211760581843,0,True
CHEMBL1146,-13.8549819566,-57.2717044778,0,True
CHEMBL1148,1.2071526763,21.5523317657,0,True
CHEMBL1149,6.16969765044,32.965778273,0,True
CHEMBL115,54.518658689,-24.9548716852,0,True
CHEMBL1159650,-60.5436056317,-3.9595429504,0,True
CHEMBL1159655,53.803956621,-25.6601669013,0,True
CHEMBL116,14.4688969311,38.6715882424,0,True
CHEMBL1162,-58.0855530745,15.3234323811,0,True
CHEMBL1163,52.2940415363,-27.5760297088,0,True
CHEMBL1164729,26.1243346404,8.91443176834,0,True
CHEMBL1165,4.60124653917,-47.3881046816,0,True
CHEMBL1165268,22.8461007079,27.0457487999,0,True
CHEMBL1166,33.866427177,-29.9883661628,0,True
CHEMBL1167,27.5705343688,39.2445963726,0,True
CHEMBL1168,6.59552023034,-46.6090847093,0,True
CHEMBL1169,14.2024087566,6.28722685939,0,True
CHEMBL1170,-53.7231487536,6.22215378973,0,True
CHEMBL1171837,4.67734259331,14.5322612218,0,True
CHEMBL1172,-5.83804106511,25.6342797371,0,True
CHEMBL1173655,-32.8577773024,16.2751721859,0,True
CHEMBL1174,44.3640234501,-26.5745850363,0,True
CHEMBL1175,12.6617706195,-17.2504691931,0,True
CHEMBL117785,-29.9531898244,-7.50696806467,0,True
CHEMBL1179,0.862341071369,-19.9239141105,0,True
CHEMBL118,14.5618426082,22.974873104,0,True
CHEMBL1180725,-11.713490005,-28.4025745476,0,True
CHEMBL1182833,-30.7716558076,-11.546330319,0,True
CHEMBL1183349,24.5805671396,15.5503059678,0,True
CHEMBL1183717,-16.4514964505,2.41229379761,0,True
CHEMBL1185,43.8851406495,-12.5826832443,0,True
CHEMBL1186579,-28.4580825287,-2.55920459805,0,True
CHEMBL1186610,-13.2023362239,-31.1235141203,0,True
CHEMBL1189432,-7.1925957179,6.68836671963,0,True
CHEMBL1189679,-5.34272311437,-16.8671341249,0,True
CHEMBL119,-27.6552993623,7.45476826376,0,True
CHEMBL1190,-21.0776921826,-29.7438785792,0,True
CHEMBL1191,-33.9339329449,32.5416988424,0,True
CHEMBL1193,-2.74924846499,18.6970799362,0,True
CHEMBL1194,-2.37591161809,-26.2676023175,0,True
CHEMBL1194287,-4.2167740936,14.4234853458,0,True
CHEMBL119443,50.6989235558,-18.6484985016,0,True
CHEMBL1194666,-24.6348644161,40.8011568275,0,True
CHEMBL1195,-17.0122938941,-2.52499062211,0,True
CHEMBL1196,-16.8363644991,-2.2318631559,0,True
CHEMBL1197,-12.8744498637,-3.85139745111,0,True
CHEMBL1199080,-17.7293795417,-23.2370360063,0,True
CHEMBL12,-18.601083088,40.6550272837,0,True
CHEMBL1200356,-5.95631640729,-51.8430093799,0,True
CHEMBL1200368,8.84495933876,7.52427681744,0,True
CHEMBL1200370,-11.8341462365,-2.30023712993,0,True
CHEMBL1200374,-52.3995838002,4.07480117191,0,True
CHEMBL1200386,-60.0085945362,-1.09001610329,0,True
CHEMBL1200394,-24.7730384154,-20.8521540521,0,True
CHEMBL1200412,-55.6569195152,11.1198583573,0,True
CHEMBL1200436,-50.4381256788,5.53376958098,0,True
CHEMBL1200438,-9.11591449306,37.6966654108,0,True
CHEMBL1200453,-23.5705176077,-22.0514011229,0,True
CHEMBL1200455,26.7812167554,25.1328514105,0,True
CHEMBL1200468,-28.3148213399,-17.8418636079,0,True
CHEMBL1200472,-18.4589827942,40.3871701954,0,True
CHEMBL1200490,47.2977899202,-36.1250476786,0,True
CHEMBL1200500,-62.367203778,-3.77804191644,0,True
CHEMBL1200507,25.4152990936,30.9491727707,0,True
CHEMBL1200515,-36.4162815653,-13.2705372497,0,True
CHEMBL1200522,10.257043334,0.104646144404,0,True
CHEMBL1200558,39.3464240891,-29.2541880592,0,True
CHEMBL1200572,9.76543738805,21.5721203013,0,True
CHEMBL1200585,-49.2627006963,5.50285285997,0,True
CHEMBL1200596,-28.2041079869,32.7517981511,0,True
CHEMBL1200600,-62.4138982183,-0.0340189228679,0,True
CHEMBL1200604,-7.57136975956,-28.3984866549,0,True
CHEMBL1200617,-60.7591494177,-0.810521319006,0,True
CHEMBL1200622,-52.9298029829,15.3423742255,0,True
CHEMBL1200647,22.7541309024,42.45762534,0,True
CHEMBL1200649,41.7516362604,-37.7987272238,0,True
CHEMBL1200656,20.5465816176,42.9911888447,0,True
CHEMBL1200680,-19.21711097,-32.6667654368,0,True
CHEMBL1200686,-48.7217712342,-6.56412711255,0,True
CHEMBL1200689,25.5925634436,-21.4289384389,0,True
CHEMBL1200694,-46.0667935615,-26.3935319241,0,True
CHEMBL1200709,-5.02009953759,-23.3371593762,0,True
CHEMBL1200714,-11.8743067468,28.9367460133,0,True
CHEMBL1200732,-54.9601103658,-2.68339077645,0,True
CHEMBL1200733,-46.9069034356,-23.2500903814,0,True
CHEMBL1200761,11.6925795485,3.5410387758,0,True
CHEMBL1200790,10.402753715,-40.0794294169,0,True
CHEMBL1200799,-39.1187906398,-0.280629223422,0,True
CHEMBL1200802,18.525152995,-41.6364070367,0,True
CHEMBL1200807,-58.1163079831,15.2831198861,0,True
CHEMBL1200810,-52.2324047201,15.9459952765,0,True
CHEMBL1200845,-54.3218075082,2.76723577284,0,True
CHEMBL1200853,-60.0221352067,7.199697272,0,True
CHEMBL1200862,12.9319292934,-30.0575169614,0,True
CHEMBL1200889,33.0309285788,32.0457615442,0,True
CHEMBL1200907,-49.8709434637,11.7599569582,0,True
CHEMBL1200934,-58.130024293,15.3308529712,0,True
CHEMBL1200937,-43.9607500623,-8.81703860283,0,True
CHEMBL1200946,-56.7440276924,11.7925687048,0,True
CHEMBL1200959,-11.9230481101,9.55646490357,0,True
CHEMBL1200963,-37.9559697626,-0.78980098124,0,True
CHEMBL1200969,-56.4934330598,19.0772760617,0,True
CHEMBL1200971,-15.1888394334,-52.9158808236,0,True
CHEMBL1200978,-20.5547340199,6.32120071856,0,True
CHEMBL1201,-9.58432859048,7.05437100686,0,True
CHEMBL1201012,-54.7587401199,-0.130640243587,0,True
CHEMBL1201039,15.774578311,32.2639547613,0,True
CHEMBL1201046,-14.2373616687,-57.2941043335,0,True
CHEMBL1201056,-32.9671310487,30.4617649599,0,True
CHEMBL1201073,3.65979830488,35.9730361053,0,True
CHEMBL1201087,46.5107359714,-17.1313088081,0,True
CHEMBL1201109,-57.6505846731,0.221882950934,0,True
CHEMBL1201112,41.960871717,29.7263185728,0,True
CHEMBL1201116,-8.57015925588,-51.5534312081,0,True
CHEMBL1201117,11.1010559829,-9.31098370691,0,True
CHEMBL1201129,38.8734140167,30.9677354156,0,True
CHEMBL1201131,-22.8658136564,-23.6222915922,0,True
CHEMBL1201134,-43.1135350326,-3.63956410539,0,True
CHEMBL1201139,-59.544586491,7.24004004321,0,True
CHEMBL1201151,-37.5697520578,11.4204598565,0,True
CHEMBL1201165,-37.7998752292,12.4518569103,0,True
CHEMBL1201168,-3.60098389436,-20.4535034565,0,True
CHEMBL1201173,-57.1638530459,8.48451920535,0,True
