,x,y,year,in_drugbank
CHEMBL1000,-19.3427421872,21.2338487981,0,True
CHEMBL1004,-21.3254071892,13.395837523,0,True
CHEMBL1005,-22.7801503187,-4.57217350865,0,True
CHEMBL1006,0.0837377765506,-35.81544417,0,True
CHEMBL1008,2.33411147355,-18.9908242107,0,True
CHEMBL1009,8.09573148729,-28.8750352832,0,True
CHEMBL101,-14.6550579712,-20.301729567,0,True
CHEMBL1013,-11.0675475386,-48.55934731,0,True
CHEMBL1016,33.6143691301,-20.1951020836,0,True
CHEMBL1017,31.738309082,-18.7934740839,0,True
CHEMBL1018,23.0066353435,-7.01087174714,0,True
CHEMBL1020,0.326534791974,7.50865191198,0,True
CHEMBL1021,-0.61527832964,12.7005891699,0,True
CHEMBL1023,11.4434662783,22.7144674165,0,True
CHEMBL1024,47.7719018008,-12.4098891023,0,True
CHEMBL1025,-27.7108298608,-23.0555619391,0,True
CHEMBL1027,-30.7635438108,-13.9803382868,0,True
CHEMBL1029,41.4893856002,26.2865236688,0,True
CHEMBL102970,17.6790340725,-16.1459185039,0,True
CHEMBL103,-54.4676466991,-27.6117298662,0,True
CHEMBL1037,-22.9941021166,0.16357167978,0,True
CHEMBL104,-16.9961837088,27.6177563688,0,True
CHEMBL1042,-40.7443124184,-23.4924167372,0,True
CHEMBL1043,-24.2889370787,46.4162482464,0,True
CHEMBL1046,-35.6024774835,-11.744060293,0,True
CHEMBL105,-25.3125708822,-21.9118371577,0,True
CHEMBL1054,-7.17656849481,54.0013059185,0,True
CHEMBL1055,-9.29550477316,45.1385517066,0,True
CHEMBL1059,-32.7055615153,-13.4146234733,0,True
CHEMBL106,7.04871107423,2.15080663576,0,True
CHEMBL1064,-37.4931732655,-24.9671309769,0,True
CHEMBL1065,33.8627695992,-30.829273212,0,True
CHEMBL1068,-2.19767966415,-0.97267222936,0,True
CHEMBL1069,36.8470127462,-18.4121227457,0,True
CHEMBL107,38.4889202436,15.7718966967,0,True
CHEMBL1070,12.43782073,6.43497357629,0,True
CHEMBL1071,-31.0812541696,-9.03088219742,0,True
CHEMBL1072,-5.79249728421,41.8435466758,0,True
CHEMBL1073,13.8686652797,36.8616386231,0,True
CHEMBL1075,-28.5152009092,4.88889755122,0,True
CHEMBL1077,-0.402097602928,12.3732483137,0,True
CHEMBL1077896,-7.12677394886,-10.9677057413,0,True
CHEMBL1078,-39.8323038219,1.54435424387,0,True
CHEMBL1079,-31.4269696093,31.2499729895,0,True
CHEMBL1079604,27.7699654876,1.59327609243,0,True
CHEMBL108,-2.74242112344,-0.513403827621,0,True
CHEMBL1082,-17.5913157134,-46.9344916131,0,True
CHEMBL1082407,12.3928074953,43.1082631153,0,True
CHEMBL1083659,-16.6452090944,22.3279838367,0,True
CHEMBL1085,-12.7389043549,16.2511548774,0,True
CHEMBL1087,-7.83304733624,-11.6475682579,0,True
CHEMBL10878,12.1405814323,6.38843960616,0,True
CHEMBL1088,-10.8016878253,12.3093618769,0,True
CHEMBL1088977,53.7424896046,14.5183548211,0,True
CHEMBL1089,-1.79916610218,-7.11329575441,0,True
CHEMBL109,-6.44424212994,-24.7596316548,0,True
CHEMBL1090,52.4994149734,15.981790217,0,True
CHEMBL1094,-24.2675602588,-20.0505696896,0,True
CHEMBL1094966,28.5136811169,-11.5001951147,0,True
CHEMBL1095,-9.92679881276,-17.8766766208,0,True
CHEMBL1095097,-54.9522377616,-27.9540298746,0,True
CHEMBL1095280,57.8671298118,14.913578639,0,True
CHEMBL1095282,-22.0777927356,32.4538474248,0,True
CHEMBL1095777,13.3806860866,-11.091987306,0,True
CHEMBL1096,11.2812215391,15.4486194412,0,True
CHEMBL1096562,-37.9273433192,-2.43365760299,0,True
CHEMBL1096885,35.3582621434,38.5730365571,0,True
CHEMBL1098,-9.29055049422,-11.5112712686,0,True
CHEMBL11,-14.3299688348,10.0677809591,0,True
CHEMBL1100,-17.0071866103,-29.5520898143,0,True
CHEMBL1101,-17.9046771713,3.75492656038,0,True
CHEMBL1102,-10.3852577066,-17.1952963153,0,True
CHEMBL1103,0.378516160641,-43.8673273198,0,True
CHEMBL1104,21.9029027333,-13.4933136186,0,True
CHEMBL1106,-8.37956124136,19.7638252191,0,True
CHEMBL1107,-13.2121314627,5.51554209787,0,True
CHEMBL1108,-26.0308737206,13.6940263749,0,True
CHEMBL1109,-30.3073218372,42.7100146823,0,True
CHEMBL111,-4.98864455239,35.0267180291,0,True
CHEMBL1110,17.0891828546,-23.257845514,0,True
CHEMBL1111,-9.15011554171,2.05603082354,0,True
CHEMBL1112,-4.15475204807,23.5219976434,0,True
CHEMBL1113,-11.8469197264,22.2381072263,0,True
CHEMBL1114,48.3578214094,2.92719138545,0,True
CHEMBL1115,20.8817412378,-17.4072609528,0,True
CHEMBL1117,34.4057373293,37.3506041093,0,True
CHEMBL1118,10.4051412012,1.0594155948,0,True
CHEMBL112,25.5210652685,-2.48625083091,0,True
CHEMBL1121,25.182395269,-36.9719019525,0,True
CHEMBL1123,-36.9940723519,19.1146573768,0,True
CHEMBL1129,49.6258865496,6.41256026558,0,True
CHEMBL11298,5.86767111491,-33.2485114743,0,True
CHEMBL113,47.5458912483,-0.485639237517,0,True
CHEMBL1131,31.2418545455,19.48567556,0,True
CHEMBL1136,34.7727171982,46.1718533923,0,True
CHEMBL1138,12.2609737203,-6.23393370077,0,True
CHEMBL1139,-42.6198140406,-16.349676124,0,True
CHEMBL114,17.832316889,-40.6839433641,0,True
CHEMBL1144,-35.9709866766,-22.7149227279,0,True
CHEMBL1146,-1.32936201182,-49.0242747127,0,True
CHEMBL1148,12.7423762816,35.8665949448,0,True
CHEMBL1149,-37.6716614774,-7.30972593216,0,True
CHEMBL115,14.928645315,-41.7067905452,0,True
CHEMBL1159650,-46.2170978123,-38.724986467,0,True
CHEMBL1159655,12.632732935,-41.4656155504,0,True
CHEMBL116,-22.0588835192,51.6582794562,0,True
CHEMBL1162,-46.4059963114,-27.4720194245,0,True
CHEMBL1163,18.0545890363,-42.5310864954,0,True
CHEMBL1164729,3.14988478661,27.0688227122,0,True
CHEMBL1165,-21.014677598,-38.9396051315,0,True
CHEMBL1165268,34.2584367558,23.6435950979,0,True
CHEMBL1166,-19.7323569676,-39.0159827053,0,True
CHEMBL1167,44.3187632545,29.9050231198,0,True
CHEMBL1168,-21.6065321543,-34.56028895,0,True
CHEMBL1169,8.74292169025,19.9030193899,0,True
CHEMBL1170,-50.6508534857,-27.0363476641,0,True
CHEMBL1171837,7.40669465004,24.7071811549,0,True
CHEMBL1172,-10.3494140465,39.0372454982,0,True
CHEMBL1173655,11.0801076705,49.1828444805,0,True
CHEMBL1174,30.2188510865,-40.3952305701,0,True
CHEMBL1175,7.97760887708,-1.90773606835,0,True
CHEMBL117785,17.8987739982,7.20309380249,0,True
CHEMBL1179,7.35721315184,-9.17876072609,0,True
CHEMBL118,-5.56968764868,47.3610833892,0,True
CHEMBL1180725,-19.6730316507,-10.561317717,0,True
CHEMBL1182833,21.5106898581,0.767443709958,0,True
CHEMBL1183349,6.49920655677,3.08652797938,0,True
CHEMBL1183717,-25.9624030032,7.55989154283,0,True
CHEMBL1185,29.2564380726,-28.5797947384,0,True
CHEMBL1186579,32.2805954295,31.2124686522,0,True
CHEMBL1186610,-18.915659076,-18.3224223545,0,True
CHEMBL1189432,-7.5628876411,7.88812809098,0,True
CHEMBL1189679,-8.83654306014,-6.68364563029,0,True
CHEMBL119,19.3775664204,9.09574940996,0,True
CHEMBL1190,-26.3740645116,-17.6151433946,0,True
CHEMBL1191,-30.3819009558,44.5829999836,0,True
CHEMBL1193,-21.2332424754,14.4559966021,0,True
CHEMBL1194,-9.98528308928,-12.3860452624,0,True
CHEMBL1194287,-8.72717322764,20.1379530239,0,True
CHEMBL119443,33.6110630123,-32.663424979,0,True
CHEMBL1194666,-21.0392617945,28.2978025046,0,True
CHEMBL1195,-34.0641168757,20.1137179727,0,True
CHEMBL1196,-31.3601825988,19.9445114777,0,True
CHEMBL1197,-7.2095207942,3.64086163584,0,True
CHEMBL1199080,-22.9130025804,-9.71954846947,0,True
CHEMBL12,-21.8601005922,35.3771322343,0,True
CHEMBL1200356,-18.2452185746,-44.9173220379,0,True
CHEMBL1200368,13.2333679206,20.3598350724,0,True
CHEMBL1200370,-6.57852188738,3.40193526516,0,True
CHEMBL1200374,-49.8386166872,-31.1667850233,0,True
CHEMBL1200386,-50.2992015595,-34.0160791608,0,True
CHEMBL1200394,-7.13656533664,-24.0439935725,0,True
CHEMBL1200412,-48.2776886534,-26.9472425524,0,True
CHEMBL1200436,-55.8761747794,-24.6987772563,0,True
CHEMBL1200438,-16.5244416524,30.1772217662,0,True
CHEMBL1200453,-4.40438450448,-24.484847753,0,True
CHEMBL1200455,37.7603899975,23.1418284723,0,True
CHEMBL1200468,-30.4091955938,-4.13227952003,0,True
CHEMBL1200472,-22.9173491884,34.9547496548,0,True
CHEMBL1200490,31.5506744196,-49.9563519784,0,True
CHEMBL1200500,-46.0899153636,-39.9759111939,0,True
CHEMBL1200507,38.9343896566,21.2210203282,0,True
CHEMBL1200515,19.8706640948,-31.6260772373,0,True
CHEMBL1200522,10.9201347846,9.98412232704,0,True
CHEMBL1200558,25.0845861807,-45.0880711525,0,True
CHEMBL1200572,29.6957610218,-7.80567140717,0,True
CHEMBL1200585,-55.351631514,-22.4949188288,0,True
CHEMBL1200596,3.7815577622,26.8393167802,0,True
CHEMBL1200600,-51.1458120226,-41.2865562031,0,True
CHEMBL1200604,-11.8054357183,-13.0696905785,0,True
CHEMBL1200617,-47.0294243395,-37.9818460939,0,True
CHEMBL1200622,-45.7826900545,-23.3172264297,0,True
CHEMBL1200647,30.5826106819,47.0559767691,0,True
CHEMBL1200649,27.9985305265,-48.4931909654,0,True
CHEMBL1200656,28.9073749643,45.9147766323,0,True
CHEMBL1200680,-5.46837766825,-30.420650355,0,True
CHEMBL1200686,-34.1756664784,-27.4812742091,0,True
CHEMBL1200689,28.7166947951,-16.3477549437,0,True
CHEMBL1200694,-43.89628061,13.9513444865,0,True
CHEMBL1200709,-6.94225025714,-12.7572814535,0,True
CHEMBL1200714,-24.7213195789,18.3570782369,0,True
CHEMBL1200732,-50.9027538152,-38.5586665061,0,True
CHEMBL1200733,-48.9869330959,12.7827851686,0,True
CHEMBL1200761,14.6043548431,14.1512604292,0,True
CHEMBL1200790,-13.2712697431,-21.8677563222,0,True
CHEMBL1200799,-44.2632333553,-14.1479597078,0,True
CHEMBL1200802,-13.3404717069,-27.7318279449,0,True
CHEMBL1200807,-47.9366523582,-28.911268752,0,True
CHEMBL1200810,-43.9350711538,-24.2366909597,0,True
CHEMBL1200845,-55.413833491,-33.6758308615,0,True
CHEMBL1200853,-56.6630025364,-26.0018176457,0,True
CHEMBL1200862,19.8513065908,-13.1467238762,0,True
CHEMBL1200889,43.2334255215,21.4102090426,0,True
CHEMBL1200907,-52.214771007,-22.7393796859,0,True
CHEMBL1200934,-49.1645170716,-28.5991205894,0,True
CHEMBL1200937,-30.49005769,-29.3400649331,0,True
CHEMBL1200946,-48.3237216803,-24.6323433644,0,True
CHEMBL1200959,-14.0836762206,13.9231646597,0,True
CHEMBL1200963,-42.4408713845,-14.3515538616,0,True
CHEMBL1200969,-56.2760063794,-15.1769293595,0,True
CHEMBL1200971,-10.129920006,-51.2160832882,0,True
CHEMBL1200978,-34.219197673,8.9150602875,0,True
CHEMBL1201,-9.58244676548,10.4288886835,0,True
CHEMBL1201012,-54.1900466985,-35.478046846,0,True
CHEMBL1201039,-15.1113504303,47.1111248662,0,True
CHEMBL1201046,-7.64667420869,-51.8602232296,0,True
CHEMBL1201056,-27.9196292715,43.3543751013,0,True
CHEMBL1201073,-40.3409838037,-5.87689365972,0,True
CHEMBL1201087,27.0858221649,-31.519634797,0,True
CHEMBL1201109,-49.283877351,-38.9062242231,0,True
CHEMBL1201112,50.4369587923,14.3830224676,0,True
CHEMBL1201116,-16.9048457188,-41.5788039087,0,True
CHEMBL1201117,22.5594117819,6.39766557462,0,True
CHEMBL1201129,48.0707157698,11.8998460648,0,True
CHEMBL1201131,-3.28600666456,-25.7125013978,0,True
CHEMBL1201134,-39.4849183026,-17.8724952542,0,True
CHEMBL1201139,-56.7464708692,-27.2528221275,0,True
CHEMBL1201151,25.5794511542,25.8195726153,0,True
CHEMBL1201165,22.7991191716,26.4062284388,0,True
CHEMBL1201168,1.77161518059,-3.056678643,0,True
CHEMBL1201173,-53.1962154339,-26.9386782031,0,True
CHEMBL1201182,-32.7780349795,-28.3975450002,0,True
CHEMBL1201185,26.2485631489,-40.8183471562,0,True
CHEMBL1201187,-15.779447931,-8.84655104138,0,True
CHEMBL1201191,-21.1687125983,21.9900868184,0,True
CHEMBL1201192,-3.96476258553,-15.6311555465,0,True
CHEMBL1201193,-5.56837492665,-10.6445236477,0,True
CHEMBL1201194,45.3822413753,25.2418438802,0,True
CHEMBL1201195,-5.66936658795,-53.6954165032,0,True
CHEMBL1201196,-14.970481935,28.7629158068,0,True
CHEMBL1201197,-49.926664771,23.4396739217,0,True
CHEMBL1201199,26.6033015956,-41.2317976634,0,True
CHEMBL1201201,5.44781126256,-8.68055834735,0,True
CHEMBL1201202,49.9194493529,27.9313004552,0,True
CHEMBL1201204,-5.44316791654,-49.6285981998,0,True
CHEMBL1201210,-8.38936315752,14.0838719034,0,True
CHEMBL1201212,14.9594961176,5.6433644852,0,True
CHEMBL1201216,-7.62274970956,20.2757918045,0,True
