,x,y,year,in_drugbank
CHEMBL1000,-36.0075895442,19.4872417687,0,True
CHEMBL1004,5.51767852699,-0.817704836883,0,True
CHEMBL1005,66.1860307224,20.9628796021,0,True
CHEMBL1006,57.0041625383,2.27976552957,0,True
CHEMBL1008,34.8851753025,-48.9603017569,0,True
CHEMBL1009,30.9914132954,9.39469317631,0,True
CHEMBL101,-22.4566961616,40.4864891202,0,True
CHEMBL1013,-41.1063860162,69.097665776,0,True
CHEMBL1016,-64.1545151556,-2.62324260217,0,True
CHEMBL1017,-64.115879995,-0.332918268128,0,True
CHEMBL1018,1.62028098751,18.7518939261,0,True
CHEMBL1020,-7.72075481686,66.0120117006,0,True
CHEMBL1021,-2.99205439745,59.7124748567,0,True
CHEMBL1023,-10.1195734931,20.7854087733,0,True
CHEMBL1024,-5.483958017,-52.0830430746,0,True
CHEMBL1025,-47.2085053614,1.81784923877,0,True
CHEMBL1027,48.5546067304,1.68505117271,0,True
CHEMBL1029,-15.9132265113,-42.5521942859,0,True
CHEMBL102970,8.72071495768,15.3734259312,0,True
CHEMBL103,56.519954711,-33.214222722,0,True
CHEMBL103479,10.1482347057,-22.5493921156,2003,False
CHEMBL1037,52.7430016819,33.7139230362,0,True
CHEMBL104,-47.986046756,31.8287397277,0,True
CHEMBL1042,53.928631989,-24.6124403666,0,True
CHEMBL1043,13.3505304581,-44.2590649769,0,True
CHEMBL1046,44.1202287514,4.98975219185,0,True
CHEMBL105,-54.7426428362,0.141652100986,0,True
CHEMBL1054,-81.4891184729,37.4574901757,0,True
CHEMBL1055,-77.6164075841,35.0456540414,0,True
CHEMBL1059,47.3360172753,1.70578753469,0,True
CHEMBL106,-37.2747332757,4.90956701823,0,True
CHEMBL1064,50.0992377338,-16.9650205825,0,True
CHEMBL1065,17.753496402,-33.8363468579,2000,True
CHEMBL1068,-21.7391956074,20.7722235348,0,True
CHEMBL1069,-60.2014073878,-4.62039852327,0,True
CHEMBL107,3.66860923787,-15.1508539597,0,True
CHEMBL1070,12.2694346931,-11.9623267297,0,True
CHEMBL1071,25.8459827265,-7.05307451227,0,True
CHEMBL1072,-0.559535218837,13.5916808495,0,True
CHEMBL1073,9.36650250508,32.5821880855,0,True
CHEMBL1075,53.1438689483,23.9850558357,0,True
CHEMBL1077,-3.60573257035,65.0141833634,0,True
CHEMBL1077896,57.1091578758,25.0505232018,0,True
CHEMBL1078,46.3868735224,-41.8301120862,0,True
CHEMBL1079,-61.8018908515,-47.0317052476,0,True
CHEMBL1079604,-58.9042882421,9.08541971738,0,True
CHEMBL108,-23.8241852359,22.4175907761,0,True
CHEMBL1082,-32.8734442789,72.3832140217,0,True
CHEMBL1082407,-54.9347855207,60.8704898977,0,True
CHEMBL1083659,22.5035540793,26.5761505067,0,True
CHEMBL1085,-3.33753200149,81.5990688387,0,True
CHEMBL1086626,81.8818364105,-63.8812230304,2009,False
CHEMBL1086754,79.5802041915,-64.5484212871,2009,False
CHEMBL1086756,81.2038397053,-63.0357629156,2009,False
CHEMBL1087,60.3372053599,23.6603252702,0,True
CHEMBL10878,8.01041266172,-9.16650667201,0,True
CHEMBL1088,-7.91292380757,84.4720172371,0,True
CHEMBL1088313,79.8020133467,-64.4155661897,2009,False
CHEMBL1088314,82.966870113,-63.4205356316,2009,False
CHEMBL1088874,-61.0641898699,57.4043606689,2009,False
