,x,y,year,in_drugbank
CHEMBL1000,-3.52503530257,7.39067076194,0,True
CHEMBL1004,0.448901283821,6.52219521688,0,True
CHEMBL1005,21.9859011178,-9.60423484857,0,True
CHEMBL1006,6.926277455,-3.40063232954,0,True
CHEMBL1008,-9.71128540153,35.1004599147,0,True
CHEMBL1009,11.2265852069,-8.83300267329,0,True
CHEMBL101,16.919307696,-6.82970363559,0,True
CHEMBL1013,2.5048761661,-33.047279064,0,True
CHEMBL1016,-24.8161708148,3.98609969773,0,True
CHEMBL1017,-24.5545782695,4.96973554819,0,True
CHEMBL1018,10.5298665573,-2.00378938578,0,True
CHEMBL1020,-4.4140301309,0.607792517664,0,True
CHEMBL1021,-3.27053607614,0.744161410522,0,True
CHEMBL1023,5.53579536071,-5.29229173747,0,True
CHEMBL1024,16.0644813217,-4.53707717311,0,True
CHEMBL1025,2.22146613917,-3.34038219304,0,True
CHEMBL1027,12.6373689976,-19.7051540151,0,True
CHEMBL1029,20.5868120357,4.65585394205,0,True
CHEMBL102970,13.5798101181,0.289956621065,0,True
CHEMBL103,16.2330569555,-34.1231406864,0,True
CHEMBL1037,12.2359988018,6.56694866709,0,True
CHEMBL104,-17.6205664583,-6.52238956875,0,True
CHEMBL1042,10.8532088161,-30.9836155086,0,True
CHEMBL1043,-26.3572812006,-11.3417784419,0,True
CHEMBL1046,14.0225350766,-18.0063726885,0,True
CHEMBL105,3.12057978474,-4.8505068208,0,True
CHEMBL1054,-11.881949829,-8.32455538356,0,True
CHEMBL1055,-11.546446599,-7.08267746709,0,True
CHEMBL1059,12.6612018201,-19.1202497078,0,True
CHEMBL106,8.93593629691,17.2583008225,0,True
CHEMBL1064,3.55808372012,-29.0840971067,0,True
CHEMBL1065,-17.5970407468,-1.96941391767,2000,True
CHEMBL1068,15.1269836066,4.14457949722,0,True
CHEMBL1069,-26.3114151762,4.42274069312,0,True
CHEMBL107,-6.59098103688,-21.4580940233,0,True
CHEMBL1070,5.22197162036,11.9755193325,0,True
CHEMBL1071,13.7488308854,-13.0271307211,0,True
CHEMBL1072,-2.99871430378,-3.39861956443,0,True
CHEMBL1073,-10.3506628936,-4.22097751363,0,True
CHEMBL1075,-8.68480735472,-19.5482041521,0,True
CHEMBL1077,-5.78436242146,1.50272692138,0,True
CHEMBL1077896,3.04686872992,-19.5952768386,0,True
CHEMBL1078,-8.9860232658,-11.1567180331,0,True
CHEMBL1079,-30.0519473429,-16.2426824411,0,True
CHEMBL1079604,-1.74655029978,12.5452778548,0,True
CHEMBL108,17.5197457239,5.05367350798,0,True
CHEMBL1082,10.3885002255,-23.2926498069,0,True
CHEMBL1082407,6.91167662283,-7.57611078754,0,True
CHEMBL1083659,-7.94828042593,6.72058489372,0,True
CHEMBL1085,0.805999455869,20.2237681915,0,True
CHEMBL1086626,18.9121353766,-8.22959442059,2009,False
CHEMBL1086754,18.9120652174,-8.22628105854,2009,False
CHEMBL1086756,18.9121044267,-8.22105853026,2009,False
CHEMBL1087,2.17929918006,-20.4757914206,0,True
CHEMBL10878,4.39459873424,11.5661538188,0,True
CHEMBL1088,-0.102509881965,21.744146766,0,True
CHEMBL1088313,18.9141083292,-8.22136834028,2009,False
CHEMBL1088314,18.9218323913,-8.24233480495,2009,False
CHEMBL1088977,25.8638333312,5.05554987205,0,True
CHEMBL1089,6.60195388265,6.35437048482,0,True
CHEMBL109,8.13540278176,-8.53513865442,0,True
CHEMBL1090,24.7821244512,1.92263997502,0,True
CHEMBL1091933,-2.82387032148,15.743025045,2010,False
CHEMBL1094,2.81712633495,-5.19100052263,0,True
CHEMBL1094908,-2.68039782072,14.8574139726,2010,False
CHEMBL1094966,8.1490374418,0.155899657796,0,True
CHEMBL1095,-4.00504187389,-12.3061993135,0,True
CHEMBL1095097,14.6305177621,-33.595064873,0,True
CHEMBL1095280,25.8994016189,3.07403284915,0,True
CHEMBL1095282,7.12307268127,28.038642019,0,True
