,x,y,year,in_drugbank
CHEMBL1000,-10.4784028778,10.6963607483,2003,True
CHEMBL100045,-16.1912695741,41.3215123096,1999,False
CHEMBL100052,12.5842816224,-5.68567520583,1999,False
CHEMBL100057,30.7471505041,-10.0000115214,2002,False
CHEMBL100086,-34.6522008214,26.8742433538,2002,False
CHEMBL100088,34.5403150032,32.6303148629,1999,False
CHEMBL100124,30.8105724468,-9.00497160444,2002,False
CHEMBL100125,-10.0477238351,9.75471332493,1990,False
CHEMBL100138,33.602139161,-23.8647042949,2001,False
CHEMBL100147,12.4119678174,-6.20892295844,1999,False
CHEMBL100149,-36.7199270038,25.8159572443,2002,False
CHEMBL100163,12.5821926855,-9.2767188189,1999,False
CHEMBL100198,39.4714496656,18.1745151381,2001,False
CHEMBL100199,35.3802751175,31.6006823903,1999,False
CHEMBL1002,17.0516787971,-10.3295973858,2011,False
CHEMBL100203,-16.620112616,26.1567880228,2003,False
CHEMBL100253,40.7290987052,-7.91763417855,1999,False
CHEMBL10027,9.7014855505,-17.28644259,1997,False
CHEMBL100276,19.9713601651,14.17856392,1990,False
CHEMBL100317,35.4832190307,31.7457811808,1999,False
CHEMBL100351,22.9221282633,16.2931212242,2002,False
CHEMBL100383,39.7838668665,18.6742540085,2001,False
CHEMBL1004,-9.93023586048,26.8651116752,0,True
CHEMBL100406,-24.8240655499,37.2577040436,1992,False
CHEMBL100414,29.6098491868,-9.06413237791,2002,False
CHEMBL100434,19.4921653629,-16.6239568709,2011,False
CHEMBL100442,-2.26250641782,-14.0672271779,1990,False
CHEMBL100458,30.0957054871,-12.77486438,2002,False
CHEMBL100461,29.9167771684,-3.2208562997,1999,False
CHEMBL10048,3.03909626233,-24.0643790873,1993,False
CHEMBL1005,18.8476470374,21.8854099894,0,True
CHEMBL10052,11.0002837665,-18.2982809043,1997,False
CHEMBL100572,-18.360318764,1.20630634869,1991,False
CHEMBL100589,22.8848278432,16.2425985975,2002,False
CHEMBL1006,-23.1442794336,-16.5378749289,0,True
CHEMBL100626,-15.26577124,-20.8692743298,1996,False
