,x,y,year,in_drugbank
CHEMBL1000,4.11883230888,4.91008362514,0,True
CHEMBL100029,10.8877792984,-5.23573437336,1993,False
CHEMBL100086,8.53183666511,20.4929760157,2002,False
CHEMBL100088,13.2435141448,-25.2903546428,1999,False
CHEMBL100103,10.840754231,-5.26664996479,1993,False
CHEMBL100143,10.9371756185,-5.21442988334,1993,False
CHEMBL100149,8.55525115989,20.5075477472,2002,False
CHEMBL100199,13.4713895453,-25.8576653383,1999,False
CHEMBL100256,10.7050872273,-5.29703163033,1993,False
CHEMBL100313,13.3203499407,-25.8645485662,1999,False
CHEMBL100317,12.6802388367,-25.8854343083,1999,False
CHEMBL100377,10.6233457826,-5.25535101435,1993,False
CHEMBL1004,5.90912106457,-0.127710936749,0,True
CHEMBL10048,-10.3964588599,-19.4267820243,1993,False
CHEMBL1005,-7.95589041508,4.82506114342,0,True
CHEMBL100521,-21.9646966049,12.0338681072,1999,False
CHEMBL1006,6.41451266871,0.965852216732,0,True
CHEMBL100626,10.6302818884,-0.0637225308927,1996,False
CHEMBL100635,7.77944121827,-2.57140274312,2001,False
CHEMBL1008,-7.80921186093,6.31785549847,0,True
CHEMBL10085,13.3287934447,-12.508799617,1994,False
CHEMBL100875,8.54883716472,20.5061665976,2002,False
CHEMBL1009,-0.0225913516128,5.2682679799,0,True
CHEMBL100928,8.55760741383,20.5125511884,2002,False
CHEMBL101,5.59763897634,-1.07390129014,0,True
CHEMBL101008,11.9776979419,0.269372805054,1996,False
CHEMBL10105,13.3607062737,-12.0105977937,1994,False
CHEMBL101076,11.2350362352,6.31160900693,1999,False
CHEMBL101138,-14.4857922361,11.055984253,1994,False
CHEMBL101189,11.0851701575,0.378059341171,1996,False
CHEMBL1013,15.3172591485,14.0849977361,0,True
CHEMBL101367,14.8246923518,0.31747499646,2000,False
CHEMBL101480,5.49994042185,-0.888674447171,1992,False
CHEMBL101483,-17.6461069573,5.29019280388,1992,False
CHEMBL101535,-17.5650205878,5.48700263194,1992,False
CHEMBL101593,11.2662349681,6.30133829975,1999,False
CHEMBL1016,-15.4688771932,0.378083346137,0,True
CHEMBL101664,-14.691217423,-11.8271200374,2011,False
CHEMBL101686,10.7889975451,19.5143285249,2003,False
CHEMBL101690,-2.63299513192,3.507506805,2003,False
CHEMBL1017,-15.4532412351,0.343566998306,0,True
CHEMBL1018,1.05856544666,1.09451458063,0,True
CHEMBL101933,8.55748496157,20.5123319103,2002,False
CHEMBL10194,-10.0070465121,6.93862531865,1991,False
CHEMBL1020,4.80749463697,3.04813019878,0,True
CHEMBL10207,-11.4249001724,-19.0594987078,1993,False
CHEMBL1021,5.05349787356,2.84210390081,0,True
CHEMBL102175,-17.5933730893,5.41779175544,1992,False
CHEMBL102182,11.3970089029,19.5114119868,2003,False
CHEMBL102250,10.9878806055,19.6606629609,2003,False
CHEMBL102268,14.00064436,2.13121763092,2000,False
CHEMBL102274,8.11015061225,-3.6859732196,2000,False
CHEMBL102288,5.497875915,-0.877671082865,1992,False
CHEMBL102292,10.2717953864,19.5367444328,2003,False
CHEMBL1023,-1.73622248433,0.707459147114,0,True
CHEMBL102335,10.145844192,19.7024036879,2003,False
CHEMBL102344,10.7890878586,19.5136983669,2003,False
CHEMBL102347,8.98448042653,-1.22999214263,1997,False
CHEMBL1024,7.74968516378,-5.03432600047,0,True
CHEMBL1025,3.79646705574,-1.71802988085,0,True
CHEMBL102548,-13.8897065512,10.8671213714,1994,False
CHEMBL102586,-13.8982226027,10.6919761678,1994,False
CHEMBL102645,-13.8959489409,10.8782313717,1994,False
CHEMBL1027,14.370048318,7.79993097857,0,True
CHEMBL10270,-8.32804032261,-21.947721655,1993,False
CHEMBL10289,-10.4327622861,-19.432923633,1993,False
CHEMBL1029,0.452235587106,-10.2357116046,0,True
CHEMBL102970,2.98361987059,0.236209227279,0,True
CHEMBL103,-2.99213806731,-10.0993557673,0,True
CHEMBL103028,7.25600906686,-2.15979997031,2000,False
CHEMBL103058,-13.2684992177,-12.0338439801,2003,False
CHEMBL103205,-13.898491792,10.8130370832,1994,False
CHEMBL10327,14.8552937227,-12.6751682346,1994,False
CHEMBL103371,-13.8394910246,10.9133335191,1994,False
CHEMBL103388,-13.9386563726,10.7999244462,1994,False
CHEMBL103424,-5.84787644801,11.3806066391,2003,False
CHEMBL103479,10.7569009395,19.9637073139,2003,False
CHEMBL103503,11.1596126584,19.3929175562,2003,False
