,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,-1.53142364485,0.780128658092,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100086,-11.2470726461,15.2155364561,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 700.0, median EC50: N/A, median AC50: N/A"
CHEMBL1004,-3.23864281903,-1.59020704017,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1005,3.43776624628,18.9477865586,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100521,14.317481462,-2.4916363128,True,False,1999.0,"year: 1999, median Ki: 6309.57, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1006,-8.73116659632,-13.1165194087,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1008,-21.0482723886,23.1619619093,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100875,-7.11622588943,18.3773573899,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 13000.0, median EC50: N/A, median AC50: N/A"
CHEMBL1009,-7.97461199264,-18.9887872416,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101,-12.2997668944,-1.48509195491,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101138,6.85195602315,-22.7385133366,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 19.95, median EC50: N/A, median AC50: N/A"
CHEMBL1013,29.42166247,-16.12056709,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1016,-9.1077948469,-9.45194063194,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101686,31.9976261902,21.1472746537,True,False,2003.0,"year: 2003, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101690,21.3072437442,20.8444363831,True,False,2003.0,"year: 2003, median Ki: 430.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1017,-8.65851350733,-9.06433669238,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1018,-23.5247478476,13.5434859449,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1020,-2.69885343933,-8.28060374547,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1021,-4.36430658292,-4.57941339594,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102250,33.5359922428,20.0474367585,True,False,2003.0,"year: 2003, median Ki: 1100.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102292,33.0478970886,21.3182617624,True,False,2003.0,"year: 2003, median Ki: 40.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1023,16.990479792,14.6452073515,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1024,-21.5762473606,14.968881803,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1025,-13.8297082134,-6.4563722906,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102548,2.29523832619,-21.7102202279,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL102586,1.27780006007,-21.9473590552,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL102645,3.59811556434,-21.8160329675,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 199.53, median EC50: N/A, median AC50: N/A"
CHEMBL1027,-9.98964370313,-12.0491830838,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1029,13.1409232329,-25.3934558731,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102970,-20.0663340555,13.8637070868,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103,-4.69240761826,-34.6427067424,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103205,3.01185131898,-21.5331915133,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 63.1, median EC50: N/A, median AC50: N/A"
CHEMBL103371,3.6452434045,-21.4614644995,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 39.81, median EC50: N/A, median AC50: N/A"
CHEMBL103388,2.30600438187,-22.447592041,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 19.95, median EC50: N/A, median AC50: N/A"
CHEMBL103424,18.5065673614,23.5068142045,True,False,2003.0,"year: 2003, median Ki: 150.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,34.2001177894,20.321200769,True,False,2003.0,"year: 2003, median Ki: 730.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103503,31.4238332143,19.4326019047,True,False,2003.0,"year: 2003, median Ki: 53.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103549,2.87080332493,-20.5738355487,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 39.81, median EC50: N/A, median AC50: N/A"
CHEMBL103550,34.314211451,19.2429447651,True,False,2003.0,"year: 2003, median Ki: 690.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1037,-7.03437568538,-3.3962783747,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103854,2.24994053333,-23.2933203061,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 316.23, median EC50: N/A, median AC50: N/A"
CHEMBL104,0.389622825417,-3.82282151519,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104026,31.134000375,20.028385273,True,False,2003.0,"year: 2003, median Ki: 39.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104158,31.9977955169,19.4365530076,True,False,2003.0,"year: 2003, median Ki: 470.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1042,-5.31937559695,-28.702112262,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1043,21.1690959355,-8.76347798063,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104374,34.2821526875,20.9187971863,True,False,2003.0,"year: 2003, median Ki: 23.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104484,34.5575854587,20.4013730299,True,False,2003.0,"year: 2003, median Ki: 380.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104496,34.2644555361,20.1431563686,True,False,2003.0,"year: 2003, median Ki: 83.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1046,-12.557942563,-15.5101267354,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104692,34.6690859749,20.5456782578,True,False,2003.0,"year: 2003, median Ki: 340.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104720,32.0754676147,21.0793960807,True,False,2003.0,"year: 2003, median Ki: 1800.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104753,33.5551829581,20.0819340288,True,False,2003.0,"year: 2003, median Ki: 810.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105,-16.5691227889,-6.57713806316,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105025,34.6573858691,19.8628707241,True,False,2003.0,"year: 2003, median Ki: 440.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105091,33.3944636606,20.0188582166,True,False,2003.0,"year: 2003, median Ki: 930.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105118,34.4964177912,21.9163854051,True,False,2003.0,"year: 2003, median Ki: 330.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,32.1321518756,20.9959889188,True,False,2003.0,"year: 2003, median Ki: 730.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105327,33.7678491978,22.413443792,True,False,2003.0,"year: 2003, median Ki: 380.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105369,33.0683387973,21.3581818534,True,False,2003.0,"year: 2003, median Ki: 3.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1054,17.0581342424,-13.3685760342,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1055,15.5114082388,-13.2567888257,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105556,34.2495850961,24.5341752449,True,False,2003.0,"year: 2003, median Ki: 8.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105722,34.3017424638,20.4478980968,True,False,2003.0,"year: 2003, median Ki: 820.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105743,30.3791968536,14.3434579995,True,False,2003.0,"year: 2003, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1059,-12.3793048743,-19.4832492968,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105958,34.178036355,19.88078662,True,False,2003.0,"year: 2003, median Ki: 420.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL106,3.03048504878,13.2914213963,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1064,-0.360901853479,-28.8361928953,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1065,-23.9337175719,-4.81102145852,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1068,-10.8301556633,3.88683996374,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
