,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL103479,-8.35612344822,-18.9667790784,True,False,2003.0,"year: 2003, median Ki: 660.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,-28.0322789227,-6.40883961695,True,False,2003.0,"year: 2003, median Ki: 770.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL137781,-11.1065088356,7.75129864834,True,False,2002.0,"year: 2002, median Ki: 200.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL138989,-29.8534167194,-28.3511411649,True,False,2002.0,"year: 2002, median Ki: 140.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL22744,11.7386990665,17.562464544,True,False,2008.0,"year: 2008, median Ki: N/A, median IC50: 99.0, median EC50: N/A, median AC50: N/A"
CHEMBL2391541,-10.6360328492,-43.4262205944,True,False,2013.0,"year: 2013, median Ki: 414.94, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL263881,21.9363900916,-17.8033820842,True,False,2002.0,"year: 2002, median Ki: 93.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL267615,-14.4054931786,29.9110215756,True,False,2000.0,"year: 2000, median Ki: 520.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL282971,10.1561455585,-35.8265947069,True,False,2002.0,"year: 2002, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL29410,15.0047680239,42.2730020873,True,False,2002.0,"year: 2002, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL343755,32.0977664332,2.91675783049,True,False,2002.0,"year: 2002, median Ki: 280.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL39,5.37451470854,-4.22285503978,True,False,1990.0,"year: 1990, median Ki: 10.72, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL432713,-34.3913873808,15.7816570145,True,False,2001.0,"year: 2001, median Ki: 6.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
