,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,37.8846810649,4.11009780166,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1004,34.7261170052,6.47408874519,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1005,11.6418582681,-8.55426802649,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1006,18.3206425576,-36.7039520224,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1008,31.7991418179,33.3594215185,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1009,-13.7221481891,-13.8684409294,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101,-3.37805612935,29.0638189712,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1013,-8.17603984346,45.279189373,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1016,14.6019738818,30.3143505018,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101686,-16.696054602,-28.1030805029,True,False,2003.0,"year: 2003, median Ki: 20.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101690,-3.35853999688,-30.6655482703,True,False,2003.0,"year: 2003, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1017,15.1798075458,30.8560113308,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1018,6.47660094014,-6.16553913619,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1020,5.95399001981,13.6602345467,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1021,9.29900228926,16.450372151,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102182,-5.98812515158,-30.1524934906,True,False,2003.0,"year: 2003, median Ki: 75.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102250,-13.0287055452,-34.7351819844,True,False,2003.0,"year: 2003, median Ki: 4.6, median IC50: N/A, median EC50: 11.0, median AC50: N/A"
CHEMBL102292,-15.4913855185,-31.0089437914,True,False,2003.0,"year: 2003, median Ki: 3.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1023,18.6913329351,21.0174653098,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102335,-8.2754346995,-31.6125222036,True,False,2003.0,"year: 2003, median Ki: 9.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102344,-17.0310619634,-27.481430917,True,False,2003.0,"year: 2003, median Ki: 13.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1024,8.55030023259,48.1593700895,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1025,-30.1575437239,-9.40282400262,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1027,-5.08469957629,-41.7337434662,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1029,-47.183999277,-28.2404511073,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102970,16.7037275499,53.7845065597,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103,-25.4444989342,-55.9321646493,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103058,-8.98015978963,-41.2471242082,True,False,2003.0,"year: 2003, median Ki: 21.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103424,-9.31604240314,-25.8559617994,True,False,2003.0,"year: 2003, median Ki: 9.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,-6.2624958274,-33.3831926659,True,False,2003.0,"year: 2003, median Ki: 7.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103503,-7.34850011459,-28.5196498918,True,False,2003.0,"year: 2003, median Ki: 13.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103550,-8.83688897865,-28.476047915,True,False,2003.0,"year: 2003, median Ki: 11.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1037,19.1436837618,-23.2750623409,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104,46.4902930077,-1.90100899435,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104026,-10.1315834175,-26.6724568815,True,False,2003.0,"year: 2003, median Ki: 210.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104158,-9.67040994539,-28.1720908564,True,False,2003.0,"year: 2003, median Ki: 220.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1042,-14.5801546957,-53.0601210524,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1043,-11.6730484238,22.2333744859,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104374,-13.8968887803,-25.9449397745,True,False,2003.0,"year: 2003, median Ki: 23.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104384,-9.16977479179,-32.047527263,True,False,2003.0,"year: 2003, median Ki: 19.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104484,-9.91496678349,-31.6870570679,True,False,2003.0,"year: 2003, median Ki: 7.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104496,-11.7734218538,-34.6016601332,True,False,2003.0,"year: 2003, median Ki: 4.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1046,1.39494403442,-43.2180221976,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104692,-10.6036872771,-35.9510132093,True,False,2003.0,"year: 2003, median Ki: 7.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104720,-14.3658903247,-28.9895860307,True,False,2003.0,"year: 2003, median Ki: 9.8, median IC50: N/A, median EC50: 34.0, median AC50: N/A"
CHEMBL104753,-11.2614496741,-34.6579129139,True,False,2003.0,"year: 2003, median Ki: 7.4, median IC50: N/A, median EC50: 9.4, median AC50: N/A"
CHEMBL104946,-16.8664053611,-31.5802322631,True,False,2003.0,"year: 2003, median Ki: 35.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104953,-7.69965546805,-32.0486084201,True,False,2003.0,"year: 2003, median Ki: 170.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104968,-14.7423035833,-24.4244647834,True,False,2003.0,"year: 2003, median Ki: 27.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105,-24.9345559847,-6.1666152519,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105025,-10.6408646851,-33.1741656622,True,False,2003.0,"year: 2003, median Ki: 12.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105091,-11.2721377829,-32.7153793388,True,False,2003.0,"year: 2003, median Ki: 13.0, median IC50: N/A, median EC50: 11.0, median AC50: N/A"
CHEMBL105118,-10.2080358982,-37.4997634209,True,False,2003.0,"year: 2003, median Ki: 42.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105240,-8.96343270991,-31.2517905883,True,False,2003.0,"year: 2003, median Ki: 30.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,-15.6054295712,-30.4675757648,True,False,2003.0,"year: 2003, median Ki: 5.5, median IC50: N/A, median EC50: 32.0, median AC50: N/A"
CHEMBL105327,-16.9581797823,-22.2592580111,True,False,2003.0,"year: 2003, median Ki: 19.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105369,-12.9927477709,-29.4822867325,True,False,2003.0,"year: 2003, median Ki: 11.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1054,52.6229035814,-12.8820820629,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105478,-6.55888226279,-32.0874045344,True,False,2003.0,"year: 2003, median Ki: 18.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1055,48.6208551503,-10.4838132693,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105556,-12.2086179411,-26.1003838488,True,False,2003.0,"year: 2003, median Ki: 4.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105722,-12.4831372495,-33.2096532693,True,False,2003.0,"year: 2003, median Ki: 6.3, median IC50: N/A, median EC50: 25.0, median AC50: N/A"
CHEMBL105743,-11.5035283239,-34.745436137,True,False,2003.0,"year: 2003, median Ki: 7.3, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105850,-6.60847801967,-32.284342322,True,False,2003.0,"year: 2003, median Ki: 14.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1059,-4.26363114398,-43.1298030249,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105955,-16.3928515776,-28.9722973515,True,False,2003.0,"year: 2003, median Ki: 6.9, median IC50: N/A, median EC50: 13.0, median AC50: N/A"
CHEMBL105958,-13.5832641244,-32.0222982129,True,False,2003.0,"year: 2003, median Ki: 8.4, median IC50: N/A, median EC50: 11.0, median AC50: N/A"
CHEMBL106,5.65801175092,-22.3061762824,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1064,-22.2917870638,-39.9210490015,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1065,-37.5241239075,14.1455182586,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
