,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100626,-18.6580673165,29.5685914778,True,False,1996.0,"year: 1996, median Ki: 2300.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100635,-18.6981066198,22.8973426715,True,False,2001.0,"year: 2001, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101008,-20.0862876831,33.9485517732,True,False,1996.0,"year: 1996, median Ki: 12.76, median IC50: 0.3, median EC50: 13.0, median AC50: N/A"
CHEMBL101076,8.87478462068,46.0102489434,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 25.3, median EC50: N/A, median AC50: N/A"
CHEMBL101138,-28.7364685484,49.562086569,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 5011.87, median EC50: N/A, median AC50: N/A"
CHEMBL101189,-19.1274975201,30.5272548926,True,False,1996.0,"year: 1996, median Ki: 34.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101367,-17.9951927861,40.6250342371,True,False,2000.0,"year: 2000, median Ki: 78.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101593,7.70962136062,47.285612453,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 32.9, median EC50: N/A, median AC50: N/A"
CHEMBL102268,-15.4755987288,42.572036877,True,False,2000.0,"year: 2000, median Ki: 4.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102274,-16.4809508868,23.272955495,True,False,2000.0,"year: 2000, median Ki: 150.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102347,-16.8930223204,28.1461909319,True,False,1997.0,"year: 1997, median Ki: 2500.0, median IC50: N/A, median EC50: 3000.0, median AC50: N/A"
CHEMBL102548,-22.8369596786,47.798988055,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL102586,-25.3989369213,45.4557456532,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL102645,-27.1636343649,47.9717982523,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL103028,-16.8250994733,23.1321886513,True,False,2000.0,"year: 2000, median Ki: 37.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103205,-27.9475491209,45.6525150402,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL103371,-25.4361892385,46.1389476435,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 2511.89, median EC50: N/A, median AC50: N/A"
CHEMBL103388,-25.0862063032,47.353975055,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 7943.28, median EC50: N/A, median AC50: N/A"
CHEMBL103479,-20.8526851245,49.0414225884,True,False,2003.0,"year: 2003, median Ki: 4800.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103549,-27.2421275963,50.8632367093,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 5011.87, median EC50: N/A, median AC50: N/A"
CHEMBL103854,-26.3224682382,45.3602953062,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL104088,-16.1208642258,19.6177312645,True,False,2000.0,"year: 2000, median Ki: 60.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104102,-14.9577130752,43.2993895922,True,False,2000.0,"year: 2000, median Ki: 28.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104308,-7.48219093913,49.4548083619,True,False,2002.0,"year: 2002, median Ki: 22.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104362,-14.948465829,38.5684615247,True,False,2000.0,"year: 2000, median Ki: 210.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104636,-8.38507789966,50.1477470134,True,False,2002.0,"year: 2002, median Ki: 18.3, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104709,-8.73383608964,50.4425570246,True,False,2002.0,"year: 2002, median Ki: 4.3, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104715,-15.3615383531,41.8548891669,True,False,2000.0,"year: 2000, median Ki: 95.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104903,-7.36435247566,50.1294976549,True,False,2002.0,"year: 2002, median Ki: 12.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105152,-16.826908902,42.9372480268,True,False,2000.0,"year: 2000, median Ki: 17.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,-18.7352646495,55.57380719,True,False,2003.0,"year: 2003, median Ki: 3400.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105292,-15.6570276145,41.2321990562,True,False,2000.0,"year: 2000, median Ki: 4.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105372,-6.79166717326,50.3480852544,True,False,2002.0,"year: 2002, median Ki: 11.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105381,-17.9974635886,41.8023074278,True,False,2000.0,"year: 2000, median Ki: 8.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105580,-15.9942007466,43.6919949317,True,False,2000.0,"year: 2000, median Ki: 12.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10602,-17.7547374632,4.75208973734,True,False,2009.0,"year: 2009, median Ki: 7356.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL106176,-8.48766668015,49.9166794817,True,False,2002.0,"year: 2002, median Ki: 11.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1065,50.0239742108,-57.0982675829,True,True,1994.0,"year: 1994, median Ki: 1.8, median IC50: 13.0, median EC50: N/A, median AC50: N/A"
CHEMBL106794,-7.18005454021,48.910077145,True,False,2002.0,"year: 2002, median Ki: 47.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL106911,-6.95792034269,48.9833427065,True,False,2002.0,"year: 2002, median Ki: 61.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1076586,-57.515780208,0.919840463981,True,False,2009.0,"year: 2009, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10780,-16.8581498825,14.8324579638,True,False,2001.0,"year: 2001, median Ki: 4610.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL107847,-5.74699292363,47.6786758501,True,False,2002.0,"year: 2002, median Ki: 60.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL107860,-7.39791233734,48.4054998341,True,False,2002.0,"year: 2002, median Ki: 44.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL107912,-5.86264734298,48.3035729613,True,False,2002.0,"year: 2002, median Ki: 93.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079460,-38.6518311595,32.2037048274,True,False,2009.0,"year: 2009, median Ki: 0.81, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080155,-58.7801896536,0.403829759279,True,False,2009.0,"year: 2009, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080215,-0.148445181301,-72.3754546682,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: 245.0, median EC50: N/A, median AC50: N/A"
CHEMBL1080389,-58.8705858446,2.07278368001,True,False,2009.0,"year: 2009, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
