,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,11.1258539275,9.5265181622,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1004,12.3283483546,7.05186437293,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1005,-8.77245210396,19.9170391648,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1006,41.3350311039,-35.1868266416,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100626,-29.1041473618,24.0887673428,True,False,1996.0,"year: 1996, median Ki: 2300.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100635,-28.8854674588,12.9327758108,True,False,2001.0,"year: 2001, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1008,18.3200152792,23.0486715189,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1009,34.7424944357,-30.5586634661,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101,27.2594109736,-5.62363142496,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101008,-29.0089674468,25.2021915652,True,False,1996.0,"year: 1996, median Ki: 12.76, median IC50: 0.3, median EC50: 13.0, median AC50: N/A"
CHEMBL101076,-20.8216904381,-41.1104078833,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 25.3, median EC50: N/A, median AC50: N/A"
CHEMBL101138,22.317524681,-22.2118148372,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 5011.87, median EC50: N/A, median AC50: N/A"
CHEMBL101189,-29.4401956708,25.3459919649,True,False,1996.0,"year: 1996, median Ki: 34.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1013,58.6436440526,4.30849513823,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101367,-24.9935593683,19.2890145676,True,False,2000.0,"year: 2000, median Ki: 78.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101593,-23.8580180621,-41.4871228708,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 32.9, median EC50: N/A, median AC50: N/A"
CHEMBL1016,-5.10717690044,-34.607095059,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1017,-4.04390651548,-35.0351354707,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1018,-6.43806674264,0.688050506711,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1020,-7.31295362915,6.49665510708,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1021,-4.96902595235,5.97876214051,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102268,-26.9249824603,19.5639232171,True,False,2000.0,"year: 2000, median Ki: 4.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102274,-29.1585851206,13.8508326618,True,False,2000.0,"year: 2000, median Ki: 150.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1023,-7.28294729911,-41.9242422373,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102347,-31.2723864473,9.14220867564,True,False,1997.0,"year: 1997, median Ki: 2500.0, median IC50: N/A, median EC50: 3000.0, median AC50: N/A"
