,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL101008,2.92609673025,-12.1229540209,True,False,1996.0,"year: 1996, median Ki: 1.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102347,7.41536464077,12.454496767,True,False,1997.0,"year: 1997, median Ki: 417.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,0.703125318813,-2.48956818157,True,False,2003.0,"year: 2003, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,0.681478772291,-2.48723237119,True,False,2003.0,"year: 2003, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1065,-5.68875782643,0.0808355204144,True,True,2013.0,"year: 2013, median Ki: 7.59, median IC50: 0.56, median EC50: N/A, median AC50: N/A"
CHEMBL1067,-0.222997749098,-18.1555905901,True,False,2010.0,"year: 2010, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078745,-7.12071246531,7.62470251615,True,False,2009.0,"year: 2009, median Ki: 94.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078896,-7.18256375225,7.62880515583,True,False,2009.0,"year: 2009, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079180,-7.27354794686,7.85740875222,True,False,2009.0,"year: 2009, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082723,-6.2445636962,-5.33045327837,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL1082761,-12.9219252999,-15.4037179634,True,False,2010.0,"year: 2010, median Ki: 169.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082763,-12.9178167039,-15.4453033833,True,False,2010.0,"year: 2010, median Ki: 153.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083075,-12.914341565,-15.4456540773,True,False,2010.0,"year: 2010, median Ki: 188.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083654,-12.9186115417,-15.444431267,True,False,2010.0,"year: 2010, median Ki: 464.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
