,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,6.01108771123,-6.84991442708,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1004,-5.02166034096,-2.77082134803,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1005,-32.7246073461,-3.55858475226,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1006,-16.3886286293,-24.597327098,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1008,15.4222782802,27.2477214272,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1009,-25.1968562997,-18.1964363109,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101,-37.7809634593,9.40396223133,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1013,48.5484423206,26.8700760071,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1016,-24.0875667038,-3.07334478592,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1017,-23.0937671446,-4.41653623168,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1018,-2.74784722349,22.9326733585,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1020,-22.6695598384,20.5745065226,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1021,-27.3287335226,18.381478112,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1023,16.829345614,12.7253871037,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1024,-62.1070326269,8.73200695206,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1025,-17.6154232138,9.01494589106,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1027,-27.0075313396,-30.6642985515,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1029,-15.9957376518,-44.6044068526,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102970,-9.41144262793,28.3611629087,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103,-5.79166381813,-73.4865806617,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,-0.959720308915,53.9965242804,True,False,2003.0,"year: 2003, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1037,-26.4767944,-4.01986939341,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104,2.0913601653,-14.4929676596,False,True,0.0,"year: N/A, median Ki: 5824.0, median IC50: 12543.0, median EC50: N/A, median AC50: N/A"
CHEMBL1042,-12.1228132295,-67.0256897094,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1043,35.9967323673,-10.5721405289,True,True,2013.0,"year: 2013, median Ki: 183.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1046,-19.6640585549,-25.5831947194,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105,-20.1987883525,12.798526442,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,-5.17509555064,59.4722120477,True,False,2003.0,"year: 2003, median Ki: 1120.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1054,26.2101630955,21.7228039719,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1055,25.4608511108,17.4054716927,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1059,-25.4129585277,-31.1819145493,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL106,32.6044876423,-22.4945261846,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1064,-11.8221649216,-61.6876896781,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1065,-69.2018403994,-44.4550493094,False,True,0.0,"year: N/A, median Ki: 75.0, median IC50: 162.0, median EC50: N/A, median AC50: N/A"
CHEMBL1068,-50.0729002181,22.8351487063,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1069,-24.7048822538,-5.77822483337,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL107,-2.44251985786,-21.5906912375,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1070,-6.63288830372,-8.50565062357,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1071,-23.2195678452,-32.0681688545,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1072,14.5221438882,18.3913670618,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1073,-22.7645345794,29.8560200467,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1075,-35.1803840899,21.2541889201,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1076583,22.2586932665,-25.5051960286,True,False,2009.0,"year: 2009, median Ki: 13.0, median IC50: N/A, median EC50: 82.0, median AC50: N/A"
CHEMBL1076665,23.1181644008,-24.5040700008,True,False,2009.0,"year: 2009, median Ki: 5.0, median IC50: N/A, median EC50: 60.0, median AC50: N/A"
CHEMBL1076684,18.2572159051,-25.064930915,True,False,2009.0,"year: 2009, median Ki: 3.5, median IC50: N/A, median EC50: 398.0, median AC50: N/A"
CHEMBL1076687,20.6567049858,-28.9260062921,True,False,2009.0,"year: 2009, median Ki: 15.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1077,-27.658299903,16.4911622084,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1077896,-32.8526112911,6.95628999569,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078,5.33071964407,-34.9576044508,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078207,-8.73338512938,75.3017593927,True,False,2009.0,"year: 2009, median Ki: 125.89, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078208,-8.2800957969,76.7218838136,True,False,2009.0,"year: 2009, median Ki: 199.53, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078491,-8.26267085342,77.2210224322,True,False,2009.0,"year: 2009, median Ki: 15.85, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078492,-9.72693351487,77.1720129137,True,False,2009.0,"year: 2009, median Ki: 158.49, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078595,-7.145785629,76.3804158109,True,False,2009.0,"year: 2009, median Ki: 630.96, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079,55.9142854338,4.98015906871,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079311,-8.03346323196,76.9036284673,True,False,2009.0,"year: 2009, median Ki: 6.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079604,7.6954244997,30.5007893727,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079976,18.8554520023,-23.5729180481,True,False,2009.0,"year: 2009, median Ki: 7.1, median IC50: 107.0, median EC50: N/A, median AC50: N/A"
CHEMBL1079977,22.3095665075,-24.3859327359,True,False,2009.0,"year: 2009, median Ki: 5.6, median IC50: N/A, median EC50: 592.0, median AC50: N/A"
CHEMBL1079978,18.1300976063,-21.3285750708,True,False,2009.0,"year: 2009, median Ki: 113.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL108,-44.1733527257,17.4701932793,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080316,16.7282337075,-31.468970185,True,False,2009.0,"year: 2009, median Ki: 4.7, median IC50: N/A, median EC50: 68.0, median AC50: N/A"
CHEMBL1080331,20.2379519054,-28.2801155014,True,False,2009.0,"year: 2009, median Ki: 18.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080380,20.9352774438,-22.3258758051,True,False,2009.0,"year: 2009, median Ki: 23.3, median IC50: 107.0, median EC50: N/A, median AC50: N/A"
CHEMBL1080381,17.5487523544,-22.0403432589,True,False,2009.0,"year: 2009, median Ki: 6.0, median IC50: 60.0, median EC50: N/A, median AC50: N/A"
CHEMBL1080574,22.6957648908,-25.4383271889,True,False,2009.0,"year: 2009, median Ki: 91.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080694,19.452256947,-28.613565453,True,False,2009.0,"year: 2009, median Ki: 72.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080729,20.9706328507,-25.4006473272,True,False,2009.0,"year: 2009, median Ki: 1.5, median IC50: 82.0, median EC50: N/A, median AC50: N/A"
CHEMBL1080741,19.1121040524,-21.3896465153,True,False,2009.0,"year: 2009, median Ki: 122.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080899,23.0997406374,-21.4313415406,True,False,2009.0,"year: 2009, median Ki: 2.8, median IC50: 76.0, median EC50: N/A, median AC50: N/A"
CHEMBL1081074,20.2334155127,-19.5350262701,True,False,2009.0,"year: 2009, median Ki: 49.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1081094,18.1856804102,-24.7234057311,True,False,2009.0,"year: 2009, median Ki: 7.3, median IC50: N/A, median EC50: 31.0, median AC50: N/A"
CHEMBL1081095,20.0891521169,-26.4295967284,True,False,2009.0,"year: 2009, median Ki: 6.0, median IC50: N/A, median EC50: 56.0, median AC50: N/A"
CHEMBL1081110,16.9350143789,-26.186276455,True,False,2009.0,"year: 2009, median Ki: 10.7, median IC50: N/A, median EC50: 73.0, median AC50: N/A"
CHEMBL1081120,20.7764195728,-22.6419819103,True,False,2009.0,"year: 2009, median Ki: 21.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1081792,18.2900033301,-25.7710482796,True,False,2009.0,"year: 2009, median Ki: 68.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1081793,19.1263264545,-26.1577318934,True,False,2009.0,"year: 2009, median Ki: 16.0, median IC50: N/A, median EC50: 203.0, median AC50: N/A"
CHEMBL1081794,19.4861457421,-26.1766054795,True,False,2009.0,"year: 2009, median Ki: 4.0, median IC50: 18.0, median EC50: N/A, median AC50: N/A"
CHEMBL1082,48.8103775514,20.4207463016,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082198,18.9301588183,-28.2287702082,True,False,2009.0,"year: 2009, median Ki: 9.6, median IC50: N/A, median EC50: 38.0, median AC50: N/A"
