,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100003,28.2713419923,-2.182585449,True,False,1996,year: 1996
CHEMBL100029,-9.31575565217,-12.7068406125,True,False,1993,year: 1993
CHEMBL100045,-14.4997725599,-12.7569798284,True,False,1999,year: 1999
CHEMBL100065,-6.68113857162,-19.9558616428,True,False,2004,year: 2004
CHEMBL100069,23.0687159181,19.8751606067,True,False,2004,year: 2004
CHEMBL100071,28.3286344606,-0.505358484406,True,False,1996,year: 1996
CHEMBL100077,-17.0805885631,25.0969049244,True,False,2000,year: 2000
CHEMBL100088,1.81086154615,3.97905158359,True,False,1999,year: 1999
CHEMBL10009,-11.9989531106,4.81847054377,True,False,2000,year: 2000
CHEMBL100111,6.4172704603,-7.15716766237,True,False,1990,year: 1990
CHEMBL100121,-2.72088261141,-3.87050749877,True,False,2004,year: 2004
CHEMBL100125,5.74077442091,6.61981190304,True,False,1990,year: 1990
CHEMBL100128,-15.502901423,-7.12012626589,True,False,1990,year: 1990
CHEMBL100138,-19.6876122658,15.5178421288,True,False,2001,year: 2001
CHEMBL100141,-0.142940071306,24.5679345055,True,False,1996,year: 1996
CHEMBL100143,-9.23505571982,-12.7052033895,True,False,1993,year: 1993
CHEMBL100149,-11.090354075,-4.40656435694,True,False,2002,year: 2002
CHEMBL100162,-8.7130986762,26.1963809405,True,False,2003,year: 2003
CHEMBL100195,-9.87520263902,21.9737411934,True,False,1996,year: 1996
CHEMBL10020,-30.1789973809,13.9776792869,True,False,1999,year: 1999
CHEMBL100203,11.3882994788,-0.259441883453,True,False,2003,year: 2003
CHEMBL100226,-17.0888445904,25.094046403,True,False,2000,year: 2000
CHEMBL10024,-12.4981008517,-24.1889392507,True,False,2003,year: 2003
CHEMBL100256,-9.34220437517,-12.7146370521,True,False,1993,year: 1993
CHEMBL10027,-13.6670009635,-0.80870304005,True,False,1997,year: 1997
CHEMBL100276,19.289846639,5.95552306925,True,False,1990,year: 1990
CHEMBL100298,-7.75462209082,2.45930213951,True,False,2002,year: 2002
CHEMBL100313,2.00403446855,6.66800937478,True,False,1999,year: 1999
CHEMBL100346,1.71013957506,-23.4103919597,True,False,1994,year: 1994
CHEMBL100348,18.5913189132,17.011909656,True,False,2002,year: 2002
CHEMBL100377,-9.65530326117,-12.8553417889,True,False,1993,year: 1993
CHEMBL100383,-17.6644985193,-16.3673989475,True,False,2001,year: 2001
CHEMBL10039,-29.6135003004,14.1890229785,True,False,1999,year: 1999
CHEMBL100414,-0.998273809154,-16.029507843,True,False,2002,year: 2002
CHEMBL100426,-9.89533574996,21.994175396,True,False,1998,year: 1998
CHEMBL100429,18.1912579584,3.12513083902,True,False,1997,year: 1997
CHEMBL10044,-12.5008688571,-24.196018479,True,False,2003,year: 2003
CHEMBL100440,1.60372954605,-23.4167867518,True,False,1994,year: 1994
CHEMBL100458,-9.0686623828,-25.2640351488,True,False,2002,year: 2002
CHEMBL100459,-17.0782166322,25.0958605729,True,False,2000,year: 2000
CHEMBL100461,0.164188082615,-4.53563108386,True,False,1999,year: 1999
CHEMBL100480,10.8448900685,-15.7198461773,True,False,2001,year: 2001
CHEMBL100574,11.0592907279,7.51000849517,True,False,2004,year: 2004
CHEMBL100589,-19.8915667512,16.6614277748,True,False,2002,year: 2002
CHEMBL100596,16.2080476387,-17.9227746947,True,False,2002,year: 2002
CHEMBL100597,5.31627196721,27.1790725771,True,False,1993,year: 1993
CHEMBL100609,11.5265188463,-30.889485044,True,False,1990,year: 1990
CHEMBL100626,-6.9782702874,-1.13419928129,True,False,1996,year: 1996
CHEMBL100635,-6.47968223058,-4.36325247815,True,False,2001,year: 2001
CHEMBL100656,18.1916838892,3.12465140762,True,False,1997,year: 1997
CHEMBL100724,1.05271554142,-16.0364401338,True,False,2002,year: 2002
CHEMBL10074,5.42811550785,6.97783177753,True,False,2003,year: 2003
CHEMBL100774,-14.9755406871,2.17631622126,True,False,1990,year: 1990
CHEMBL100832,1.56175114477,-23.5498586841,True,False,1994,year: 1994
CHEMBL10085,10.5168188838,5.32220546713,True,False,1994,year: 1994
CHEMBL100862,18.1947545231,3.1124231078,True,False,1997,year: 1997
CHEMBL100894,3.37965537623,27.176226635,True,False,1993,year: 1993
CHEMBL100909,1.86852294249,-23.3917280643,True,False,1994,year: 1994
CHEMBL100928,-11.101156433,-5.09231073685,True,False,2002,year: 2002
CHEMBL100938,11.0463531953,7.49864608534,True,False,2004,year: 2004
CHEMBL100940,31.5443775095,-13.4016843521,True,False,1991,year: 1991
CHEMBL100954,-30.7978285852,2.66490544153,True,False,1999,year: 1999
CHEMBL100971,3.38300653137,27.1806849381,True,False,1993,year: 1993
CHEMBL10099,-12.0305659127,4.93792183916,True,False,2000,year: 2000
CHEMBL100992,18.5914875675,17.0046210026,True,False,2002,year: 2002
CHEMBL101008,-7.31725390711,0.200602011217,True,False,1996,year: 1996
CHEMBL10102,-14.3363258111,0.0942618573546,True,False,1997,year: 1997
