,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100052,-10.979996922,-8.98597147792,True,False,1999,year: 1999
CHEMBL100057,7.42221189624,29.1996850633,True,False,2002,year: 2002
CHEMBL100086,-4.86646178307,13.9304518574,True,False,2002,year: 2002
CHEMBL100088,-11.1705919871,8.97798117636,True,False,1999,year: 1999
CHEMBL10009,-10.9799435649,-7.10199410442,True,False,2000,year: 2000
CHEMBL100104,-9.69023998305,-6.55867595515,True,False,1998,year: 1998
CHEMBL100111,-9.06803264372,13.2023040407,True,False,1990,year: 1990
CHEMBL100119,-23.6804018621,19.1245844151,True,False,1995,year: 1995
CHEMBL100124,7.4179673104,29.183444468,True,False,2002,year: 2002
CHEMBL100125,-5.54403496687,-7.6983713431,True,False,1990,year: 1990
CHEMBL100147,-1.75213792923,6.05318789466,True,False,1999,year: 1999
CHEMBL100163,-1.78708764906,6.03156840585,True,False,1999,year: 1999
CHEMBL100190,-14.62896083,12.4468911626,True,False,1993,year: 1993
CHEMBL100198,13.6963874409,26.7309404617,True,False,2001,year: 2001
CHEMBL100199,-11.175531972,8.96573508679,True,False,1999,year: 1999
CHEMBL1002,-19.7182590928,14.9821077161,True,False,2011,year: 2011
CHEMBL10020,-17.8943297203,8.53472211927,True,False,1999,year: 1999
CHEMBL100234,-8.74011867831,16.1687380247,True,False,1997,year: 1997
CHEMBL100276,0.703925862238,1.80989389536,True,False,1990,year: 1990
CHEMBL100297,-4.36873048641,-12.3016831985,True,False,2002,year: 2002
CHEMBL100336,6.33225071112,19.7591733466,True,False,2002,year: 2002
CHEMBL100340,-14.5310874795,12.0403669294,True,False,1993,year: 1993
CHEMBL100346,-28.7283954815,12.8592472498,True,False,1994,year: 1994
CHEMBL100351,1.26257704223,13.7867360596,True,False,2002,year: 2002
CHEMBL100358,-23.6825681932,-2.80992902951,True,False,2000,year: 2000
CHEMBL100383,13.6298004879,26.7293361176,True,False,2001,year: 2001
CHEMBL100402,26.3735711108,-9.57835982794,True,False,2004,year: 2004
CHEMBL100406,9.72493669939,0.434962770505,True,False,1992,year: 1992
CHEMBL100414,7.13540486748,28.6002294042,True,False,2002,year: 2002
CHEMBL100429,-3.15755562929,0.568289140527,True,False,1997,year: 1997
CHEMBL10043,-11.0544060223,-7.12424294136,True,False,2000,year: 2000
CHEMBL100434,3.29999270153,-7.63661062986,True,False,2011,year: 2011
CHEMBL10045,-8.58506662577,-12.7337399672,True,False,2003,year: 2003
CHEMBL100453,-11.1858509545,-22.8648751845,True,False,1995,year: 1995
CHEMBL100458,7.37874210187,29.0233276961,True,False,2002,year: 2002
CHEMBL10048,7.60588820955,6.06436862553,True,False,1993,year: 1993
CHEMBL100480,-21.2254263737,11.5857909833,True,False,2001,year: 2001
CHEMBL100493,-14.9248342776,12.4690375846,True,False,1993,year: 1993
CHEMBL10052,8.49857483227,-7.44363810422,True,False,1997,year: 1997
CHEMBL100547,-14.4710955928,11.8553163254,True,False,1993,year: 1993
CHEMBL100572,-10.2529539871,-8.94569772586,True,False,1991,year: 1991
CHEMBL100574,-8.05170180675,12.4385024393,True,False,2004,year: 2004
CHEMBL100589,1.27028452832,13.8170515783,True,False,2002,year: 2002
CHEMBL100597,-15.0854100064,11.7774203749,True,False,1993,year: 1993
CHEMBL100598,-11.1729030935,-22.8961326095,True,False,1995,year: 1995
CHEMBL100641,-16.2127657965,12.3843132383,True,False,1993,year: 1993
CHEMBL100642,-15.392816642,12.2493875597,True,False,1993,year: 1993
CHEMBL10066,8.4942522095,-7.88886993206,True,False,1997,year: 1997
CHEMBL10067,8.44616528401,-6.81002966333,True,False,1997,year: 1997
CHEMBL10068,8.4485394778,-7.85180130049,True,False,1997,year: 1997
CHEMBL1007,3.20668726353,-26.1936667408,True,False,1989,year: 1989
CHEMBL100774,-3.25901346537,-8.55326002838,True,False,1990,year: 1990
CHEMBL100853,-14.8557083278,13.2570631299,True,False,1993,year: 1993
CHEMBL10086,-0.953218802809,17.0103109184,True,False,1989,year: 1989
CHEMBL100862,-3.1403018845,0.590964466739,True,False,1997,year: 1997
CHEMBL100875,-4.87069410268,13.9346627277,True,False,2002,year: 2002
CHEMBL100878,-11.0245711244,-9.01741917635,True,False,1999,year: 1999
CHEMBL100879,5.2141703633,2.09832104808,True,False,2004,year: 2004
CHEMBL100893,26.3322498803,-9.16695610157,True,False,2004,year: 2004
CHEMBL100894,-14.6093687578,11.9901731218,True,False,1993,year: 1993
CHEMBL100928,-4.87839377288,13.9353404947,True,False,2002,year: 2002
