,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,-12.3606153493,11.9518268794,True,True,2003,year: 2003
CHEMBL100029,-19.2080144626,26.8712580014,True,False,1993,year: 1993
CHEMBL100045,-16.7921477324,35.536620112,True,False,1999,year: 1999
CHEMBL100052,-4.36522774692,-2.67014955601,True,False,1999,year: 1999
CHEMBL100057,-29.329047764,-2.36937061962,True,False,2002,year: 2002
CHEMBL100064,-3.69674941276,-3.83510802315,True,False,1990,year: 1990
CHEMBL100086,8.77452877108,-22.794370019,True,False,2002,year: 2002
CHEMBL100088,-11.3010949682,33.3900408703,True,False,1999,year: 1999
CHEMBL100103,-18.5584551161,26.3614848612,True,False,1993,year: 1993
CHEMBL100124,-30.2087801278,-6.08180399337,True,False,2002,year: 2002
CHEMBL100125,-5.30776744027,-3.37974658827,True,False,1990,year: 1990
CHEMBL100128,-9.07826500136,4.74792334728,True,False,1990,year: 1990
CHEMBL100138,13.3573314222,17.4531857123,True,False,2001,year: 2001
CHEMBL100143,-19.2867542481,26.4766830138,True,False,1993,year: 1993
CHEMBL100147,-10.3273816448,-15.3706884371,True,False,1999,year: 1999
CHEMBL100149,10.5593218133,-25.6612742531,True,False,2002,year: 2002
CHEMBL100163,-10.5450104828,-15.3987220826,True,False,1999,year: 1999
CHEMBL100169,-1.36148350387,-2.38560471248,True,False,1990,year: 1990
CHEMBL100170,9.45621593412,-21.703942074,True,False,1990,year: 1990
CHEMBL100198,37.8483959589,-1.56646893391,True,False,2001,year: 2001
CHEMBL100199,-8.35167503016,33.71572598,True,False,1999,year: 1999
CHEMBL1002,25.2746258086,-21.8962331518,True,False,2011,year: 2011
CHEMBL100203,9.18599848201,25.7201257688,True,False,2003,year: 2003
CHEMBL100253,-25.5607593727,-27.6348364713,True,False,1999,year: 1999
CHEMBL100256,-19.4023001861,26.5294787651,True,False,1993,year: 1993
CHEMBL10027,-13.2412382745,-12.7701469609,True,False,1997,year: 1997
CHEMBL100276,-2.78643990023,-2.93451765832,True,False,1990,year: 1990
CHEMBL100313,-11.4559248615,33.4426135423,True,False,1999,year: 1999
CHEMBL100317,-8.51393226267,27.9398915977,True,False,1999,year: 1999
CHEMBL100351,-4.98061422302,24.4466577136,True,False,2002,year: 2002
CHEMBL100377,-19.3138440991,26.5028404447,True,False,1993,year: 1993
CHEMBL100383,37.9003755498,-2.43370697016,True,False,2001,year: 2001
CHEMBL100406,-25.5053104618,-6.06853773055,True,False,1992,year: 1992
CHEMBL100414,-28.6092444402,-5.14048847211,True,False,2002,year: 2002
CHEMBL100434,11.1510310289,-29.8044354288,True,False,2011,year: 2011
CHEMBL100442,6.58254717617,-21.6153878743,True,False,1990,year: 1990
CHEMBL100458,-29.6467067858,-6.59166515567,True,False,2002,year: 2002
CHEMBL100461,7.66934549209,1.78058293244,True,False,1999,year: 1999
CHEMBL10048,-4.90482891245,-15.1327611444,True,False,1993,year: 1993
CHEMBL100486,-27.1332921798,13.0741628808,True,False,1992,year: 1992
CHEMBL100487,-27.0346073141,13.0839487582,True,False,1992,year: 1992
CHEMBL10052,-24.4319566728,-33.1736161056,True,False,1997,year: 1997
CHEMBL100521,-13.2761338652,24.5535974011,True,False,1999,year: 1999
CHEMBL100572,-0.295734505575,-18.2636377193,True,False,1991,year: 1991
CHEMBL100589,-3.79338104464,24.0812799275,True,False,2002,year: 2002
CHEMBL100624,-4.74155716285,12.6550972656,True,False,1990,year: 1990
CHEMBL100626,-23.8651764817,-1.03928945494,True,False,1996,year: 1996
CHEMBL100635,-25.1048219584,-0.0790778369231,True,False,2001,year: 2001
CHEMBL10066,-23.6722696185,-32.7054054435,True,False,1997,year: 1997
CHEMBL10067,-12.5262695335,-13.1646677032,True,False,1997,year: 1997
CHEMBL10068,-23.7676227768,-32.651666191,True,False,1997,year: 1997
CHEMBL100695,-7.82538408636,16.2209771227,True,False,1990,year: 1990
CHEMBL100724,-28.6636605416,-5.86649196607,True,False,2002,year: 2002
CHEMBL100774,-31.8645504926,-5.55385177776,True,False,1990,year: 1990
CHEMBL10085,8.50186352365,15.6570661159,True,False,1994,year: 1994
CHEMBL100858,-7.84441691117,16.2509916649,True,False,1990,year: 1990
CHEMBL10086,-6.20067073791,-22.8877729984,True,False,1989,year: 1989
CHEMBL100865,1.26169933311,-22.2433691849,True,False,1990,year: 1990
CHEMBL100875,8.26883626784,-20.8409733433,True,False,2002,year: 2002
CHEMBL100878,-4.44940164948,-5.6766023971,True,False,1999,year: 1999
CHEMBL100879,27.5415990024,19.5113949357,True,False,2004,year: 2004
CHEMBL100928,8.39405404539,-21.4974652577,True,False,2002,year: 2002
CHEMBL100931,-27.127031787,13.0816140113,True,False,1992,year: 1992
CHEMBL100952,1.47732470461,14.3114278829,True,False,1999,year: 1999
CHEMBL10097,-7.78918969691,-22.849756991,True,False,1989,year: 1989
CHEMBL100970,-29.8564152695,-6.60700634871,True,False,2002,year: 2002
CHEMBL101008,4.43773311401,-12.2817279473,True,False,1996,year: 1996
CHEMBL10102,-24.5432980656,-32.6015894653,True,False,1997,year: 1997
CHEMBL101029,7.76981362321,-21.5206793362,True,False,1990,year: 1990
CHEMBL101032,5.30826973081,12.57846139,True,False,1999,year: 1999
CHEMBL101036,-24.4486699642,1.05015694354,True,False,2008,year: 2008
CHEMBL10105,12.6255516625,17.331224523,True,False,1994,year: 1994
CHEMBL101054,-22.2480991106,-30.3384105299,True,False,1992,year: 1992
CHEMBL101055,-30.9111359178,-3.7385713747,True,False,1990,year: 1990
