,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,0.637336225697,-1.09073958228,True,True,2003,year: 2003
CHEMBL100029,10.1900447216,1.20398137476,True,False,1993,year: 1993
CHEMBL100045,8.942168671,-0.726591382729,True,False,1999,year: 1999
CHEMBL100052,2.58575842016,-5.42836099749,True,False,1999,year: 1999
CHEMBL100057,2.74330271837,-3.27207981483,True,False,2002,year: 2002
CHEMBL100064,3.40843373219,-0.367419881956,True,False,1990,year: 1990
CHEMBL100086,-10.0896608138,5.39576569578,True,False,2002,year: 2002
CHEMBL100088,0.0134524425046,13.5233840499,True,False,1999,year: 1999
CHEMBL100103,10.217123149,1.16951119075,True,False,1993,year: 1993
CHEMBL100124,2.76750195055,-3.24218634824,True,False,2002,year: 2002
CHEMBL100125,-2.61607698939,-5.06517058012,True,False,1990,year: 1990
CHEMBL100128,4.33997297352,0.0980270395653,True,False,1990,year: 1990
CHEMBL100138,-0.718517039966,-11.3939706587,True,False,2001,year: 2001
CHEMBL100143,10.1930232957,1.21514571862,True,False,1993,year: 1993
CHEMBL100147,2.74184472031,4.99325840161,True,False,1999,year: 1999
CHEMBL100149,-10.0910926822,5.40320497515,True,False,2002,year: 2002
CHEMBL100163,2.74037909641,5.03460612578,True,False,1999,year: 1999
CHEMBL100169,3.40175020903,-0.373671030695,True,False,1990,year: 1990
CHEMBL100170,3.41875730969,-0.0730931754353,True,False,1990,year: 1990
CHEMBL100198,0.975313282493,-14.9547965951,True,False,2001,year: 2001
CHEMBL100199,0.0136856152383,13.5270901059,True,False,1999,year: 1999
CHEMBL1002,-13.390181501,7.22303738105,True,False,2011,year: 2011
CHEMBL100203,-2.10296673732,-5.94974437922,True,False,2003,year: 2003
CHEMBL100253,12.1308077174,-10.2132360419,True,False,1999,year: 1999
CHEMBL100256,10.2449624745,1.13781199403,True,False,1993,year: 1993
CHEMBL10027,-0.62699367911,1.16118218477,True,False,1997,year: 1997
CHEMBL100276,3.34278876028,-0.54504759119,True,False,1990,year: 1990
CHEMBL100313,0.0151897893735,13.5272106708,True,False,1999,year: 1999
CHEMBL100317,0.0131067463303,13.5277117661,True,False,1999,year: 1999
CHEMBL100351,0.782298153283,-7.09335137947,True,False,2002,year: 2002
CHEMBL100377,10.2295480556,1.15375542005,True,False,1993,year: 1993
CHEMBL100383,0.974062583192,-14.957354665,True,False,2001,year: 2001
CHEMBL1004,9.53148434587,-4.3312757103,False,True,0,year: 0
CHEMBL100406,-9.44333060411,-0.279794874313,True,False,1992,year: 1992
CHEMBL100414,2.84405409385,-3.04331122294,True,False,2002,year: 2002
CHEMBL100434,11.5724913413,-4.38155302799,True,False,2011,year: 2011
CHEMBL100442,3.38108719592,0.141328283639,True,False,1990,year: 1990
CHEMBL100458,2.78700765883,-3.20153052942,True,False,2002,year: 2002
CHEMBL100461,5.6622411935,0.633264474145,True,False,1999,year: 1999
CHEMBL10048,-2.96889895737,-3.99351795983,True,False,1993,year: 1993
CHEMBL100486,-9.30778017806,2.60893559829,True,False,1992,year: 1992
CHEMBL100487,-9.30135183865,2.57377166818,True,False,1992,year: 1992
CHEMBL1005,2.14911188798,-3.3027128113,False,True,0,year: 0
CHEMBL10052,-3.54472250313,11.6896863618,True,False,1997,year: 1997
