,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,14.929501083,8.9562299358,True,True,2003,year: 2003
CHEMBL100045,-23.7550019342,48.9306859474,True,False,1999,year: 1999
CHEMBL100052,4.82685818846,-20.5332672462,True,False,1999,year: 1999
CHEMBL100057,-11.3641606406,-31.4336032736,True,False,2002,year: 2002
CHEMBL100086,-12.6666712536,44.7244937283,True,False,2002,year: 2002
CHEMBL100088,39.7331026233,-1.72757659405,True,False,1999,year: 1999
CHEMBL100124,-10.3442097287,-30.4975194127,True,False,2002,year: 2002
CHEMBL100125,15.4884394608,-18.4311611268,True,False,1990,year: 1990
CHEMBL100138,1.61869113053,-43.9936258906,True,False,2001,year: 2001
CHEMBL100147,6.18626531794,-31.5638410361,True,False,1999,year: 1999
CHEMBL100149,-12.0856010635,45.4653934666,True,False,2002,year: 2002
CHEMBL100163,2.59419169202,-31.321507747,True,False,1999,year: 1999
CHEMBL100198,-18.6603442784,-44.7499906318,True,False,2001,year: 2001
CHEMBL100199,45.1757000899,-6.44713141662,True,False,1999,year: 1999
CHEMBL1002,-19.8019861842,22.4252608097,True,False,2011,year: 2011
CHEMBL100203,-21.6707050476,3.03610490022,True,False,2003,year: 2003
CHEMBL100253,44.9791118718,-10.3128779089,True,False,1999,year: 1999
CHEMBL10027,0.283031562867,-20.1780745819,True,False,1997,year: 1997
CHEMBL100276,25.1970251964,-19.0557544036,True,False,1990,year: 1990
CHEMBL100317,36.8481662362,-3.95760900845,True,False,1999,year: 1999
CHEMBL100351,1.29739381538,-40.0533524465,True,False,2002,year: 2002
CHEMBL100383,-17.240670158,-44.4996714064,True,False,2001,year: 2001
CHEMBL100406,-32.1812346034,-13.0065479529,True,False,1992,year: 1992
CHEMBL100414,-9.1248867519,-29.0971643833,True,False,2002,year: 2002
CHEMBL100434,9.31100397917,34.6808804776,True,False,2011,year: 2011
CHEMBL100442,-22.3057326264,3.28489902766,True,False,1990,year: 1990
CHEMBL100458,-8.40214108354,-30.8643099943,True,False,2002,year: 2002
CHEMBL100461,-18.4948336427,-32.9552435235,True,False,1999,year: 1999
CHEMBL10048,-1.29839390797,-23.9888946589,True,False,1993,year: 1993
CHEMBL10052,-8.28146179138,-39.8315099896,True,False,1997,year: 1997
CHEMBL100572,11.4151597048,-31.4641146851,True,False,1991,year: 1991
CHEMBL100589,-0.282486970695,-41.7935103509,True,False,2002,year: 2002
CHEMBL100626,-7.06939052434,7.91303715383,True,False,1996,year: 1996
CHEMBL100635,-3.79446829483,2.45546265782,True,False,2008,year: 2008
CHEMBL10066,-8.61713720876,-39.4645967625,True,False,1997,year: 1997
CHEMBL10067,0.787431741672,-22.9258305263,True,False,1997,year: 1997
CHEMBL10068,-8.91438508468,-38.9282457092,True,False,1997,year: 1997
CHEMBL100724,-10.683613339,-29.0551698448,True,False,2002,year: 2002
CHEMBL100774,9.86537792251,22.6666503149,True,False,1990,year: 1990
CHEMBL10085,-39.5064165744,17.7967474312,True,False,1994,year: 1994
CHEMBL100858,15.6126183361,-15.9190079936,True,False,1990,year: 1990
CHEMBL10086,-7.68957628123,33.7941027778,True,False,1989,year: 1989
CHEMBL100875,-11.6878547726,46.3875263088,True,False,2002,year: 2002
CHEMBL100878,-15.6249796563,-4.13976657054,True,False,1999,year: 1999
CHEMBL100879,-38.8178338442,3.23480352618,True,False,2004,year: 2004
CHEMBL100928,-12.8478858413,45.5271859551,True,False,2002,year: 2002
CHEMBL100952,-17.4727591713,2.08523128589,True,False,1999,year: 1999
CHEMBL10097,-8.25565215357,33.0090295247,True,False,1989,year: 1989
CHEMBL100970,-12.9725379882,-31.5303517537,True,False,2002,year: 2002
CHEMBL101008,-6.29097795,7.81086508565,True,False,1996,year: 1996
CHEMBL10102,-10.4485667327,-39.4276976272,True,False,1997,year: 1997
CHEMBL101032,-17.499804363,2.41632428856,True,False,1999,year: 1999
CHEMBL10105,-29.4756571039,-4.63926894446,True,False,1994,year: 1994
CHEMBL101054,41.9381622926,-7.79671417413,True,False,1992,year: 1992
CHEMBL101055,8.72691142612,20.9120632118,True,False,1990,year: 1990
CHEMBL101056,4.87548438347,23.3441233574,True,False,1990,year: 1990
CHEMBL101076,6.92312224342,-23.6381020305,True,False,1999,year: 1999
CHEMBL101088,25.3611731812,-19.2108370386,True,False,1990,year: 1990
CHEMBL101132,-9.45509916113,-29.5704248338,True,False,2002,year: 2002
CHEMBL101133,25.1589619558,-19.0282915224,True,False,1990,year: 1990
CHEMBL101138,-28.4587575796,11.836769961,True,False,1994,year: 1994
CHEMBL10115,-8.0447131315,-38.6831302132,True,False,1997,year: 1997
CHEMBL101189,-5.82150214224,9.88867800565,True,False,1996,year: 1996
CHEMBL101217,-22.2142743357,1.60391100544,True,False,1990,year: 1990
CHEMBL101285,-18.5961127319,-32.3390111429,True,False,1999,year: 1999
CHEMBL101322,-18.3261582534,-1.80100150716,True,False,1992,year: 1992
CHEMBL101340,26.6213550638,1.75866585888,True,False,1984,year: 1984
