,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,4.11883230888,4.91008362514,False,True,0,year: 0
CHEMBL100029,10.8877792984,-5.23573437336,True,False,1993,year: 1993
CHEMBL100086,8.53183666511,20.4929760157,True,False,2002,year: 2002
CHEMBL100088,13.2435141448,-25.2903546428,True,False,1999,year: 1999
CHEMBL100103,10.840754231,-5.26664996479,True,False,1993,year: 1993
CHEMBL100143,10.9371756185,-5.21442988334,True,False,1993,year: 1993
CHEMBL100149,8.55525115989,20.5075477472,True,False,2002,year: 2002
CHEMBL100199,13.4713895453,-25.8576653383,True,False,1999,year: 1999
CHEMBL100256,10.7050872273,-5.29703163033,True,False,1993,year: 1993
CHEMBL100313,13.3203499407,-25.8645485662,True,False,1999,year: 1999
CHEMBL100317,12.6802388367,-25.8854343083,True,False,1999,year: 1999
CHEMBL100377,10.6233457826,-5.25535101435,True,False,1993,year: 1993
CHEMBL1004,5.90912106457,-0.127710936749,False,True,0,year: 0
CHEMBL10048,-10.3964588599,-19.4267820243,True,False,1993,year: 1993
CHEMBL1005,-7.95589041508,4.82506114342,False,True,0,year: 0
CHEMBL100521,-21.9646966049,12.0338681072,True,False,1999,year: 1999
CHEMBL1006,6.41451266871,0.965852216732,False,True,0,year: 0
CHEMBL100626,10.6302818884,-0.0637225308927,True,False,1996,year: 1996
CHEMBL100635,7.77944121827,-2.57140274312,True,False,2001,year: 2001
CHEMBL1008,-7.80921186093,6.31785549847,False,True,0,year: 0
CHEMBL10085,13.3287934447,-12.508799617,True,False,1994,year: 1994
CHEMBL100875,8.54883716472,20.5061665976,True,False,2002,year: 2002
CHEMBL1009,-0.0225913516128,5.2682679799,False,True,0,year: 0
CHEMBL100928,8.55760741383,20.5125511884,True,False,2002,year: 2002
CHEMBL101,5.59763897634,-1.07390129014,False,True,0,year: 0
CHEMBL101008,11.9776979419,0.269372805054,True,False,1996,year: 1996
CHEMBL10105,13.3607062737,-12.0105977937,True,False,1994,year: 1994
CHEMBL101076,11.2350362352,6.31160900693,True,False,1999,year: 1999
CHEMBL101138,-14.4857922361,11.055984253,True,False,1994,year: 1994
CHEMBL101189,11.0851701575,0.378059341171,True,False,1996,year: 1996
CHEMBL1013,15.3172591485,14.0849977361,False,True,0,year: 0
CHEMBL101367,14.8246923518,0.31747499646,True,False,2000,year: 2000
CHEMBL101480,5.49994042185,-0.888674447171,True,False,1992,year: 1992
CHEMBL101483,-17.6461069573,5.29019280388,True,False,1992,year: 1992
CHEMBL101535,-17.5650205878,5.48700263194,True,False,1992,year: 1992
CHEMBL101593,11.2662349681,6.30133829975,True,False,1999,year: 1999
CHEMBL1016,-15.4688771932,0.378083346137,False,True,0,year: 0
CHEMBL101664,-14.691217423,-11.8271200374,True,False,2011,year: 2011
CHEMBL101686,10.7889975451,19.5143285249,True,False,2003,year: 2003
CHEMBL101690,-2.63299513192,3.507506805,True,False,2003,year: 2003
CHEMBL1017,-15.4532412351,0.343566998306,False,True,0,year: 0
CHEMBL1018,1.05856544666,1.09451458063,False,True,0,year: 0
CHEMBL101933,8.55748496157,20.5123319103,True,False,2002,year: 2002
CHEMBL10194,-10.0070465121,6.93862531865,True,False,1991,year: 1991
CHEMBL1020,4.80749463697,3.04813019878,False,True,0,year: 0
CHEMBL10207,-11.4249001724,-19.0594987078,True,False,1993,year: 1993
CHEMBL1021,5.05349787356,2.84210390081,False,True,0,year: 0
CHEMBL102175,-17.5933730893,5.41779175544,True,False,1992,year: 1992
CHEMBL102182,11.3970089029,19.5114119868,True,False,2003,year: 2003
CHEMBL102250,10.9878806055,19.6606629609,True,False,2003,year: 2003
CHEMBL102268,14.00064436,2.13121763092,True,False,2000,year: 2000
CHEMBL102274,8.11015061225,-3.6859732196,True,False,2000,year: 2000
CHEMBL102288,5.497875915,-0.877671082865,True,False,1992,year: 1992
