,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100086,-11.2702163747,9.30881813995,True,False,2002,year: 2002
CHEMBL100088,-15.6010893219,-0.409641429085,True,False,1999,year: 1999
CHEMBL100149,-15.8114352532,12.2857531729,True,False,2002,year: 2002
CHEMBL100199,-21.4016932815,-4.12703431103,True,False,1999,year: 1999
CHEMBL100317,-29.0190477849,-3.91893409266,True,False,1999,year: 1999
CHEMBL10048,15.8548751996,-13.730806627,True,False,1993,year: 1993
CHEMBL100626,9.47813861047,-19.7639544728,True,False,1996,year: 1996
CHEMBL10085,-0.873408914594,-17.9772597009,True,False,1994,year: 1994
CHEMBL100875,-12.440635698,8.95670153387,True,False,2002,year: 2002
CHEMBL100928,-13.0044801761,8.80035556524,True,False,2002,year: 2002
CHEMBL101008,10.3748966672,-20.3711418262,True,False,1996,year: 1996
CHEMBL10105,-21.6165152681,-0.900126404144,True,False,1994,year: 1994
CHEMBL101076,-17.7669029832,10.3759954598,True,False,1999,year: 1999
CHEMBL101138,7.33280307522,12.44856698,True,False,1994,year: 1994
CHEMBL101189,9.69685348429,-20.1601727956,True,False,1996,year: 1996
CHEMBL101367,11.9010546988,-20.2116851412,True,False,2000,year: 2000
CHEMBL101480,15.8893217554,-12.9530300244,True,False,1992,year: 1992
CHEMBL101483,21.1594466555,-15.2408598021,True,False,1992,year: 1992
CHEMBL101535,21.0988494062,-15.2686755846,True,False,1992,year: 1992
CHEMBL101593,-17.7500115979,10.8339690846,True,False,1999,year: 1999
CHEMBL101686,-2.28570122949,16.4757977753,True,False,2003,year: 2003
CHEMBL101690,0.81413682706,13.5359389621,True,False,2003,year: 2003
CHEMBL101933,-12.3860321247,9.83775043796,True,False,2002,year: 2002
CHEMBL10207,15.0053057312,-13.5975591584,True,False,1993,year: 1993
CHEMBL102175,21.1108142427,-15.2653926377,True,False,1992,year: 1992
CHEMBL102182,0.964961818816,15.7383844897,True,False,2003,year: 2003
CHEMBL102250,0.949705223295,15.6415347588,True,False,2003,year: 2003
CHEMBL102268,11.9605144037,-19.9729049479,True,False,2000,year: 2000
CHEMBL102274,8.8795331248,-17.7412386919,True,False,2000,year: 2000
CHEMBL102288,15.9425683993,-12.9873270639,True,False,1992,year: 1992
CHEMBL102292,0.997730030513,16.3170972811,True,False,2003,year: 2003
CHEMBL102335,1.18465996281,15.6660900425,True,False,2003,year: 2003
CHEMBL102344,2.82050368417,16.2104645709,True,False,2003,year: 2003
CHEMBL102347,8.88194688345,-16.5829917599,True,False,1997,year: 1997
CHEMBL102548,8.05158548976,11.8388192355,True,False,1994,year: 1994
CHEMBL102586,8.20249027563,13.0335182146,True,False,1994,year: 1994
CHEMBL102645,8.23470271638,12.1012406118,True,False,1994,year: 1994
CHEMBL10270,18.4123769753,-13.7609137239,True,False,1993,year: 1993
CHEMBL10289,15.7693426252,-13.5777420373,True,False,1993,year: 1993
CHEMBL103028,8.94882314905,-17.6639469739,True,False,2000,year: 2000
CHEMBL103058,-8.1503189857,-18.8236438539,True,False,2003,year: 2003
CHEMBL103205,8.71319068684,12.4874143951,True,False,1994,year: 1994
CHEMBL10327,-4.96638133268,-17.834658543,True,False,1994,year: 1994
CHEMBL103371,8.18289372292,11.023194458,True,False,1994,year: 1994
CHEMBL103388,8.23337811157,12.368100709,True,False,1994,year: 1994
CHEMBL103424,1.30825304231,11.8811186122,True,False,2003,year: 2003
CHEMBL103479,2.14499646542,18.6908995333,True,False,2003,year: 2003
CHEMBL103503,1.00661366721,15.021304262,True,False,2003,year: 2003
CHEMBL103549,7.96824237422,12.2473365016,True,False,1994,year: 1994
CHEMBL10355,-3.07288192163,2.98571252842,True,False,1991,year: 1991
CHEMBL103550,-3.02691933688,16.8910170776,True,False,2003,year: 2003
CHEMBL10366,1.1846399319,2.95457510622,True,False,1991,year: 1991
CHEMBL103772,10.2236824185,-5.74858399541,True,False,1997,year: 1997
CHEMBL103854,8.09029209757,13.1589890698,True,False,1994,year: 1994
CHEMBL103983,21.3310639735,-15.1269438665,True,False,1992,year: 1992
CHEMBL104026,1.42791315889,15.4158548209,True,False,2003,year: 2003
CHEMBL10408,18.433699287,-13.8447364811,True,False,1993,year: 1993
CHEMBL104088,8.48353859014,-18.0085204534,True,False,2000,year: 2000
CHEMBL104102,14.6047192745,-20.0874503318,True,False,2000,year: 2000
CHEMBL104144,-7.96325317245,-19.3940246298,True,False,2002,year: 2002
CHEMBL104158,0.903582063311,15.6220101332,True,False,2003,year: 2003
CHEMBL10417,-1.48706299896,-18.6836691304,True,False,1994,year: 1994
CHEMBL104204,19.5208475197,12.5151469493,True,False,1997,year: 1997
CHEMBL104229,-5.6123287352,-18.9746896638,True,False,2002,year: 2002
CHEMBL1043,-9.01583744354,-12.55638463,True,True,2013,year: 2013
CHEMBL104308,-9.32431311716,9.5998100179,True,False,2002,year: 2002
CHEMBL104362,12.1946927519,-19.9290242632,True,False,2000,year: 2000
CHEMBL104374,0.684082602642,16.6017104605,True,False,2003,year: 2003
CHEMBL104384,1.44862213726,16.3381924407,True,False,2003,year: 2003
CHEMBL104484,1.89912463022,15.5631807893,True,False,2003,year: 2003
CHEMBL104496,1.12140360725,16.0412774351,True,False,2003,year: 2003
CHEMBL104515,-5.42649341001,-2.61011044682,True,False,1997,year: 1997
CHEMBL104578,17.1777075094,13.7621278394,True,False,1997,year: 1997
CHEMBL104591,2.99759751716,2.23837854913,True,False,1997,year: 1997
CHEMBL104593,18.640235274,13.4909192601,True,False,1997,year: 1997
CHEMBL104636,-9.31737096331,9.59894973105,True,False,2002,year: 2002
CHEMBL104692,2.39867239786,15.5440919782,True,False,2003,year: 2003
CHEMBL104709,-9.32909775373,9.59983777103,True,False,2002,year: 2002
CHEMBL104715,12.0688305309,-19.6672001244,True,False,2000,year: 2000
CHEMBL104720,-0.960585882323,16.2944086826,True,False,2003,year: 2003
CHEMBL104753,0.949773289253,15.641571999,True,False,2003,year: 2003
CHEMBL104805,-4.48854373089,-4.01106355498,True,False,1997,year: 1997
CHEMBL104903,-9.334715935,9.60136509553,True,False,2002,year: 2002
CHEMBL104946,1.44232450373,16.6802796164,True,False,2003,year: 2003
CHEMBL104953,-0.134616839793,15.6974487968,True,False,2003,year: 2003
CHEMBL104968,1.94939238903,16.6591081951,True,False,2003,year: 2003
CHEMBL105025,0.494647969227,15.7918403068,True,False,2003,year: 2003
CHEMBL105091,0.991238053705,16.0878016184,True,False,2003,year: 2003
CHEMBL105118,0.202334617239,16.0380603468,True,False,2003,year: 2003
CHEMBL105152,17.802489882,-21.6304902332,True,False,2000,year: 2000
CHEMBL105204,-6.03907632576,-19.2892462472,True,False,2002,year: 2002
CHEMBL105240,0.755627517038,15.6710031969,True,False,2003,year: 2003
CHEMBL105261,0.436703831338,16.6549812684,True,False,2003,year: 2003
CHEMBL105292,12.0331002015,-20.1307847661,True,False,2000,year: 2000
CHEMBL105327,-2.50286745557,16.3206260419,True,False,2003,year: 2003
CHEMBL105345,-6.0722233526,-2.29464735667,True,False,1997,year: 1997
CHEMBL105369,0.952523601554,16.0214007632,True,False,2003,year: 2003
CHEMBL105372,-9.33061847816,9.59847398876,True,False,2002,year: 2002
