,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,-2.27563867705,-1.60060835428,False,True,0,year: 0
CHEMBL100086,-5.35879373635,-2.20857467652,True,False,2002,year: 2002
CHEMBL100088,-27.6618943394,2.75189072435,True,False,1999,year: 1999
CHEMBL100149,-5.41487798167,1.98151568527,True,False,2002,year: 2002
CHEMBL100199,-27.7333354657,2.73095895478,True,False,1999,year: 1999
CHEMBL100317,-27.6980182959,2.72321278427,True,False,1999,year: 1999
CHEMBL1004,-2.81244353492,-2.70761119235,False,True,0,year: 0
CHEMBL10048,16.376115083,9.5373420513,True,False,1993,year: 1993
CHEMBL1005,-1.55914688516,-3.68309255475,False,True,0,year: 0
CHEMBL1006,-6.37226636065,-4.79633205338,False,True,0,year: 0
CHEMBL100626,-12.2902940381,-17.356984645,True,False,1996,year: 1996
CHEMBL1008,3.59492743171,-0.480345155608,False,True,0,year: 0
CHEMBL10085,20.0546017281,-13.9337426465,True,False,1994,year: 1994
CHEMBL100875,-5.35117393451,4.88988817371,True,False,2002,year: 2002
CHEMBL1009,-9.1736527763,-4.80520306856,False,True,0,year: 0
CHEMBL100928,-5.39251257489,0.0980401869068,True,False,2002,year: 2002
CHEMBL101,0.0539680354721,-6.36994679033,False,True,0,year: 0
CHEMBL101008,-13.0106138309,-18.0772902954,True,False,1996,year: 1996
CHEMBL10105,18.389795966,-13.3921272185,True,False,1994,year: 1994
CHEMBL101076,-10.9648009004,7.75656184544,True,False,1999,year: 1999
CHEMBL101138,-21.6916518095,-7.24240351109,True,False,1994,year: 1994
CHEMBL101189,-12.7056699418,-17.3954558749,True,False,1996,year: 1996
CHEMBL1013,-19.7558179508,10.7609517104,False,True,0,year: 0
CHEMBL101367,-13.4694848235,-19.2245988739,True,False,2000,year: 2000
CHEMBL101480,-1.52055428777,0.776362391709,True,False,1992,year: 1992
CHEMBL101483,-0.768208851605,2.82871321746,True,False,1992,year: 1992
CHEMBL101535,-0.927548553085,2.74306784092,True,False,1992,year: 1992
CHEMBL101593,-10.9576512402,7.99574706868,True,False,1999,year: 1999
CHEMBL1016,17.5608769306,-1.19464046299,False,True,0,year: 0
CHEMBL101686,-5.23721999684,-8.43532702508,True,False,2003,year: 2003
CHEMBL101690,-7.45542472035,-1.32955011547,True,False,2003,year: 2003
CHEMBL1017,17.5739998964,-1.22179850709,False,True,0,year: 0
CHEMBL1018,-7.7701266957,-5.79944807888,False,True,0,year: 0
CHEMBL101933,-5.3928700763,-0.250159980472,True,False,2002,year: 2002
CHEMBL1020,-10.788784566,3.30935489572,False,True,0,year: 0
CHEMBL10207,17.4367018041,8.58791661515,True,False,1993,year: 1993
CHEMBL1021,-10.7596364428,3.19750034162,False,True,0,year: 0
CHEMBL102175,-0.886379161799,2.17434743859,True,False,1992,year: 1992
CHEMBL102182,-5.84687036344,-8.059734313,True,False,2003,year: 2003
CHEMBL102250,-5.25306666926,-8.87528664579,True,False,2003,year: 2003
CHEMBL102268,-13.8443221652,-19.6105855282,True,False,2000,year: 2000
CHEMBL102274,-10.5271625902,-17.2498429909,True,False,2000,year: 2000
CHEMBL102288,-1.50634092442,0.81450373987,True,False,1992,year: 1992
CHEMBL102292,-5.31988444658,-8.84073137605,True,False,2003,year: 2003
CHEMBL1023,-4.15794668169,-0.896268377748,False,True,0,year: 0
CHEMBL102335,-5.65238675998,-8.03121187379,True,False,2003,year: 2003
CHEMBL102344,-5.23722097601,-8.43532330751,True,False,2003,year: 2003
CHEMBL102347,-9.87768696025,-17.5206478271,True,False,1997,year: 1997
CHEMBL1024,-0.779905300789,1.49181336185,False,True,0,year: 0
CHEMBL1025,-4.84099484709,-2.9848364596,False,True,0,year: 0
CHEMBL102548,-21.7572596032,-6.51611318244,True,False,1994,year: 1994
CHEMBL102586,-21.9542434327,-6.29881609094,True,False,1994,year: 1994
CHEMBL102645,-21.7443324002,-6.5618516404,True,False,1994,year: 1994
CHEMBL1027,-15.7184590658,-17.7427332544,False,True,0,year: 0
CHEMBL10270,-17.0526345232,0.245646502158,True,False,1993,year: 1993
CHEMBL10289,16.4803885149,9.01597069978,True,False,1993,year: 1993
CHEMBL1029,-13.0841062031,12.0837701579,False,True,0,year: 0
CHEMBL102970,8.93354415709,-15.2434760894,False,True,0,year: 0
