,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100086,42.3129742988,-28.9255776558,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 2.2, median EC50: N/A, median AC50: N/A"
CHEMBL100149,42.3509947614,-27.3032608533,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 27.0, median EC50: N/A, median AC50: N/A"
CHEMBL10048,13.878408443,36.1920684097,True,False,1993.0,"year: 1993, median Ki: 4.9, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100626,22.5949042562,-27.2046269943,True,False,1996.0,"year: 1996, median Ki: 5.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10085,35.4367369027,-31.9072839287,True,False,1994.0,"year: 1994, median Ki: 1.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100875,42.7054042975,-24.3297543258,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 20.0, median EC50: N/A, median AC50: N/A"
CHEMBL100928,42.3092611828,-31.8001463656,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 34.0, median EC50: N/A, median AC50: N/A"
CHEMBL101008,23.473280856,-28.8436184978,True,False,1996.0,"year: 1996, median Ki: 4.3, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10105,32.8997372803,-34.4285670857,True,False,1994.0,"year: 1994, median Ki: 1.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101189,25.6819788744,-26.8459802356,True,False,1996.0,"year: 1996, median Ki: 0.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101483,13.7922652845,-15.2755702358,True,False,1992.0,"year: 1992, median Ki: 22.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101535,13.117061132,-15.3820470115,True,False,1992.0,"year: 1992, median Ki: 0.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101690,-35.9854003723,-40.9145246332,True,False,2003.0,"year: 2003, median Ki: 22.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101933,42.4173175798,-31.3382912365,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 21.0, median EC50: N/A, median AC50: N/A"
CHEMBL10194,-3.83788711322,11.2572326939,True,False,1991.0,"year: 1991, median Ki: N/A, median IC50: 20000.0, median EC50: N/A, median AC50: N/A"
CHEMBL10207,12.3997877971,35.0008912807,True,False,1993.0,"year: 1993, median Ki: 338.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102175,12.4902110091,-15.6882584747,True,False,1992.0,"year: 1992, median Ki: 3.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102250,-34.5380957762,-44.5127642201,True,False,2003.0,"year: 2003, median Ki: 840.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102347,23.3161225308,-25.5271451835,True,False,1997.0,"year: 1997, median Ki: 6200.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10270,16.2833298902,35.5226854021,True,False,1993.0,"year: 1993, median Ki: 0.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10289,14.5675608744,32.2066549831,True,False,1993.0,"year: 1993, median Ki: 469.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10327,36.669641372,-29.5578334459,True,False,1994.0,"year: 1994, median Ki: 6.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103424,-37.4575636218,-42.6890339368,True,False,2003.0,"year: 2003, median Ki: 68.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,-35.1297817487,-43.8135149014,True,False,2003.0,"year: 2003, median Ki: 56.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103503,-35.3309505301,-43.1899229501,True,False,2003.0,"year: 2003, median Ki: 17.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10355,21.1815439293,7.49605483595,True,False,1991.0,"year: 1991, median Ki: N/A, median IC50: 30.0, median EC50: N/A, median AC50: N/A"
CHEMBL103550,-34.6046896808,-43.8197194889,True,False,2003.0,"year: 2003, median Ki: 135.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10366,19.4872040216,6.79216190809,True,False,1991.0,"year: 1991, median Ki: N/A, median IC50: 110.0, median EC50: N/A, median AC50: N/A"
CHEMBL103772,17.0572095647,-19.244271667,True,False,1997.0,"year: 1997, median Ki: 181.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103983,14.3700507399,-15.9152836397,True,False,1992.0,"year: 1992, median Ki: 1.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104026,-36.9746365879,-43.2362671935,True,False,2003.0,"year: 2003, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10408,14.2796597562,33.0147655129,True,False,1993.0,"year: 1993, median Ki: 54.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104144,-1.85347131267,-43.6359790895,True,False,2002.0,"year: 2002, median Ki: 78.3, median IC50: 168.5, median EC50: N/A, median AC50: N/A"
CHEMBL104158,-35.912580818,-44.0650017586,True,False,2003.0,"year: 2003, median Ki: 780.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL10417,36.2656623838,-29.605582461,True,False,1994.0,"year: 1994, median Ki: 560.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104204,-13.3572965253,-31.6458538723,True,False,1997.0,"year: 1997, median Ki: 18.98, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104229,-4.88499446949,-42.9447398625,True,False,2002.0,"year: 2002, median Ki: 10.9, median IC50: 25.45, median EC50: N/A, median AC50: N/A"
