,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100086,-11.789385923,3.28311066224,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 100000.0, median EC50: N/A, median AC50: N/A"
CHEMBL10085,2.46739004326,6.63488676555,True,False,1994.0,"year: 1994, median Ki: 2880.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100875,-11.8125822693,3.26584291682,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
CHEMBL101686,17.0774487708,7.81618602879,True,False,2003.0,"year: 2003, median Ki: 32.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101690,12.2933364573,12.6374355856,True,False,2003.0,"year: 2003, median Ki: 240.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102250,18.1178947083,7.98781747268,True,False,2003.0,"year: 2003, median Ki: 930.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103424,14.9073754483,10.7059928597,True,False,2003.0,"year: 2003, median Ki: 390.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,17.7282298829,8.3114165338,True,False,2003.0,"year: 2003, median Ki: 1200.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103503,16.1504284654,9.33072826053,True,False,2003.0,"year: 2003, median Ki: 80.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103550,18.1731423101,8.35202125119,True,False,2003.0,"year: 2003, median Ki: 1600.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104158,16.7360840373,8.65768527233,True,False,2003.0,"year: 2003, median Ki: 2900.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104374,16.6234037824,6.90078425328,True,False,2003.0,"year: 2003, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104484,18.1242641939,8.34206356584,True,False,2003.0,"year: 2003, median Ki: 310.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104692,18.2012741788,8.40807881147,True,False,2003.0,"year: 2003, median Ki: 270.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
