,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100086,1.98770681741,-0.19599890583,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 700.0, median EC50: N/A, median AC50: N/A"
CHEMBL100521,-0.636741900171,13.8100557309,True,False,1999.0,"year: 1999, median Ki: 6309.57, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100875,1.98767189071,-0.20857621221,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 13000.0, median EC50: N/A, median AC50: N/A"
CHEMBL101138,5.4696844275,-4.62584464338,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 19.95, median EC50: N/A, median AC50: N/A"
CHEMBL101686,8.20689024683,19.9552198481,True,False,2003.0,"year: 2003, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101690,12.2651340999,15.9630280895,True,False,2003.0,"year: 2003, median Ki: 430.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102250,8.98039328774,20.7358090848,True,False,2003.0,"year: 2003, median Ki: 1100.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102292,8.27550389918,20.1986432049,True,False,2003.0,"year: 2003, median Ki: 40.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102548,3.8653680084,-6.69014872544,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL102586,4.47774772642,-4.2928386612,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL102645,5.90123973649,-4.84658751362,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 199.53, median EC50: N/A, median AC50: N/A"
CHEMBL103205,2.7095704426,-5.13592276588,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 63.1, median EC50: N/A, median AC50: N/A"
CHEMBL103371,5.03654122039,-3.8328703409,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 39.81, median EC50: N/A, median AC50: N/A"
CHEMBL103388,5.7082812532,-4.5343464244,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 19.95, median EC50: N/A, median AC50: N/A"
CHEMBL103424,8.78167182933,16.6845109666,True,False,2003.0,"year: 2003, median Ki: 150.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,9.11357054013,20.3360785092,True,False,2003.0,"year: 2003, median Ki: 730.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103503,9.69332047892,18.2493577131,True,False,2003.0,"year: 2003, median Ki: 53.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103549,5.83369326594,-6.12651400523,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 39.81, median EC50: N/A, median AC50: N/A"
CHEMBL103550,9.29810439611,20.7076153652,True,False,2003.0,"year: 2003, median Ki: 690.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103854,5.30969713139,-4.39743225627,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 316.23, median EC50: N/A, median AC50: N/A"
CHEMBL104026,9.43735865824,18.1866355609,True,False,2003.0,"year: 2003, median Ki: 39.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104158,9.23408532361,19.1259517334,True,False,2003.0,"year: 2003, median Ki: 470.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104374,7.36522109414,19.2887108738,True,False,2003.0,"year: 2003, median Ki: 23.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104484,9.20900693469,20.5523469791,True,False,2003.0,"year: 2003, median Ki: 380.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104496,8.38423906178,21.2633813552,True,False,2003.0,"year: 2003, median Ki: 83.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104692,9.34249342788,20.9394258786,True,False,2003.0,"year: 2003, median Ki: 340.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104720,8.08417014938,20.4287794485,True,False,2003.0,"year: 2003, median Ki: 1800.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104753,8.97757764259,20.7384079591,True,False,2003.0,"year: 2003, median Ki: 810.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105025,8.63042892902,21.1821457173,True,False,2003.0,"year: 2003, median Ki: 440.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105091,8.54605274099,21.0282089447,True,False,2003.0,"year: 2003, median Ki: 930.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105118,9.43932223331,21.0601339435,True,False,2003.0,"year: 2003, median Ki: 330.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,8.25813333993,20.1934197313,True,False,2003.0,"year: 2003, median Ki: 730.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105327,7.69499172437,19.9722528474,True,False,2003.0,"year: 2003, median Ki: 380.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105369,8.68744319778,19.9655122122,True,False,2003.0,"year: 2003, median Ki: 3.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105556,7.3139476368,19.2573225969,True,False,2003.0,"year: 2003, median Ki: 8.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105722,8.57373610791,21.0837646571,True,False,2003.0,"year: 2003, median Ki: 820.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105743,8.96078452853,20.7703628367,True,False,2003.0,"year: 2003, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105958,8.97586470793,20.6566755262,True,False,2003.0,"year: 2003, median Ki: 420.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL107511,11.6449281617,-5.1232945009,True,False,1999.0,"year: 1999, median Ki: 3.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL108337,-0.392794766633,-10.6007888186,True,False,1996.0,"year: 1996, median Ki: 1190.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084132,-3.91160782511,-1.70108491834,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: N/A, median EC50: 3162.28, median AC50: N/A"
CHEMBL1085672,-3.91844003976,-1.68447291055,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: N/A, median EC50: 501.19, median AC50: N/A"
CHEMBL108818,-0.541121257448,-10.9093483826,True,False,1996.0,"year: 1996, median Ki: 1098.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL109360,7.55888022897,-3.39471670692,True,False,1996.0,"year: 1996, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL109839,12.8727935807,-3.13528429043,True,False,1996.0,"year: 1996, median Ki: 69.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL110317,12.2929775001,-5.67569135134,True,False,1996.0,"year: 1996, median Ki: 9.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL110318,13.5090197119,-3.27275238774,True,False,1996.0,"year: 1996, median Ki: 55.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111000,7.57025102729,-3.42627892756,True,False,1996.0,"year: 1996, median Ki: 31.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111107,-0.541152872364,-10.9094312411,True,False,1996.0,"year: 1996, median Ki: 2350.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111150,13.1267733218,-3.16517804983,True,False,1996.0,"year: 1996, median Ki: 16.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111184,1.53188923252,1.63360890528,True,False,2002.0,"year: 2002, median Ki: 1470.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111283,13.1641352452,-3.1592094999,True,False,1996.0,"year: 1996, median Ki: 42.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111284,12.870664958,-3.13455484155,True,False,1996.0,"year: 1996, median Ki: 42.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111376,12.8803656276,-3.17011806515,True,False,1996.0,"year: 1996, median Ki: 1.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111899,-16.7468551063,-17.8129231957,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.2, median EC50: N/A, median AC50: N/A"
CHEMBL112507,-16.0930801537,-16.5996261893,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 0.1, median EC50: N/A, median AC50: N/A"
CHEMBL112558,-17.2008238491,-16.2717823977,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 3.2, median EC50: N/A, median AC50: N/A"
CHEMBL113238,1.53184416889,1.63360107985,True,False,2002.0,"year: 2002, median Ki: 80.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113831,-17.2872876826,-16.591313252,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 7.3, median EC50: N/A, median AC50: N/A"
CHEMBL113868,-15.2875452094,0.519103633996,True,False,2003.0,"year: 2003, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113893,-14.6764010466,0.974967894481,True,False,2003.0,"year: 2003, median Ki: 0.45, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113950,-15.3269792147,0.450315008764,True,False,2003.0,"year: 2003, median Ki: 0.38, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113994,-14.5518281571,1.19046771687,True,False,2003.0,"year: 2003, median Ki: 0.46, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114012,6.90420194304,7.10249360594,True,False,2000.0,"year: 2000, median Ki: 1995.26, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114303,-16.6036171161,-17.6021720986,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.3, median EC50: N/A, median AC50: N/A"
CHEMBL114571,-14.6713324533,1.09799418486,True,False,2003.0,"year: 2003, median Ki: 0.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114780,-14.6799505013,1.12593219815,True,False,2003.0,"year: 2003, median Ki: 0.38, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114877,-16.5406999485,-17.5471581508,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.2, median EC50: N/A, median AC50: N/A"
CHEMBL115352,-16.705094139,-17.6346095169,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.8, median EC50: N/A, median AC50: N/A"
CHEMBL115415,4.34445592152,-6.79143209561,True,False,2003.0,"year: 2003, median Ki: 8.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL115496,-17.4945450845,-16.6405964479,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 21.0, median EC50: N/A, median AC50: N/A"
CHEMBL115663,-15.3441145763,0.452770282238,True,False,2003.0,"year: 2003, median Ki: 0.56, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL115750,-13.0105623763,-14.6864252633,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.8, median EC50: 1.5, median AC50: N/A"
CHEMBL115941,-14.1647950005,0.176524886445,True,False,2003.0,"year: 2003, median Ki: 0.76, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1159649,2.1759769535,23.3592562226,True,False,2003.0,"year: 2003, median Ki: 25.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL115989,-16.7413978135,-17.7615984257,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.35, median EC50: N/A, median AC50: N/A"
CHEMBL116031,-13.7617694506,-15.5950637821,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.55, median EC50: 1.45, median AC50: N/A"
CHEMBL116092,-13.5755528836,-12.2693441059,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 3.1, median EC50: 2.3, median AC50: N/A"
CHEMBL116153,-12.8669763962,-14.7148933305,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.7, median EC50: 0.6, median AC50: N/A"
CHEMBL116161,-16.4543330403,-16.9386660273,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 0.65, median EC50: N/A, median AC50: N/A"
CHEMBL116314,16.863412791,-4.13912644756,True,False,1995.0,"year: 1995, median Ki: 1.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116448,6.37489542556,7.54206927414,True,False,2000.0,"year: 2000, median Ki: 501.19, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116876,-14.1972418307,0.16048639185,True,False,2003.0,"year: 2003, median Ki: 0.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1169435,2.17597716902,23.3592562041,True,False,2003.0,"year: 2003, median Ki: 15.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117046,-18.5177335544,-12.0669680631,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 4.7, median EC50: 7.8, median AC50: N/A"
CHEMBL117157,16.9824900075,-2.71678108434,True,False,1995.0,"year: 1995, median Ki: 1.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117249,-14.0332351699,-13.151160215,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 34.0, median EC50: 53.5, median AC50: N/A"
CHEMBL117397,-15.2646880166,0.429160822513,True,False,2003.0,"year: 2003, median Ki: 0.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117579,-15.1604871116,-7.14261058741,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.7, median EC50: 1.55, median AC50: N/A"
CHEMBL117633,-14.6090573827,-14.4488513883,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 1.4, median EC50: 1.3, median AC50: N/A"
CHEMBL118012,-21.0920259657,-9.43520730183,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 1.3, median EC50: 1.75, median AC50: N/A"
CHEMBL1181665,-5.63830069025,-8.4946282821,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181680,-5.61154010217,-8.49111065551,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181770,-5.62508609585,-8.4894713682,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL118360,18.0341689808,12.1971109434,True,False,1997.0,"year: 1997, median Ki: 1200.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1185,6.60261073401,-0.637802066923,True,True,1995.0,"year: 1995, median Ki: 0.92, median IC50: 2.82, median EC50: N/A, median AC50: N/A"
CHEMBL118563,17.1024694861,-2.93761173513,True,False,1995.0,"year: 1995, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1188501,-0.53745257778,-0.669990745276,True,False,2013.0,"year: 2013, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL119264,18.4527886791,11.9028339623,True,False,1997.0,"year: 1997, median Ki: 700.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
