,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100086,17.7173263809,-2.96568922842,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 700.0, median EC50: N/A, median AC50: N/A"
CHEMBL101138,-5.45689978046,19.4651719136,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 19.95, median EC50: N/A, median AC50: N/A"
CHEMBL101686,19.2441215416,12.3327457282,True,False,2003.0,"year: 2003, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101690,16.9674443869,8.41964905518,True,False,2003.0,"year: 2003, median Ki: 430.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102292,19.1980478187,12.7371213673,True,False,2003.0,"year: 2003, median Ki: 40.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102548,-7.7321487615,18.1954635538,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL102586,-6.87928943261,20.7000065586,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL102645,-6.60694853489,18.406486589,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 199.53, median EC50: N/A, median AC50: N/A"
CHEMBL103205,-3.81746762918,22.1538910672,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 63.1, median EC50: N/A, median AC50: N/A"
CHEMBL103371,-6.92630412379,19.1046859099,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 39.81, median EC50: N/A, median AC50: N/A"
CHEMBL103388,-6.56837347259,19.6123475803,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 19.95, median EC50: N/A, median AC50: N/A"
CHEMBL103424,18.6574798672,9.84609726839,True,False,2003.0,"year: 2003, median Ki: 150.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,18.3885334067,13.2355634052,True,False,2003.0,"year: 2003, median Ki: 730.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103503,17.5897764149,10.7944606748,True,False,2003.0,"year: 2003, median Ki: 53.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103549,-5.78914940688,19.0076816914,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 39.81, median EC50: N/A, median AC50: N/A"
CHEMBL103550,18.1761700379,13.6279124673,True,False,2003.0,"year: 2003, median Ki: 690.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103854,-7.02140922235,20.6536043768,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 316.23, median EC50: N/A, median AC50: N/A"
CHEMBL104026,17.8811809452,10.9115280109,True,False,2003.0,"year: 2003, median Ki: 39.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104158,18.5578806249,11.7930396743,True,False,2003.0,"year: 2003, median Ki: 470.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104374,20.6989347419,12.2381433888,True,False,2003.0,"year: 2003, median Ki: 23.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104484,18.229216127,13.3642378233,True,False,2003.0,"year: 2003, median Ki: 380.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104496,19.4026372262,14.1437136105,True,False,2003.0,"year: 2003, median Ki: 83.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104692,18.2018911619,14.0021029345,True,False,2003.0,"year: 2003, median Ki: 340.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104753,18.6085687969,13.5150084073,True,False,2003.0,"year: 2003, median Ki: 810.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105025,19.0658736417,14.0757458588,True,False,2003.0,"year: 2003, median Ki: 440.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105091,19.2575074713,13.8031932297,True,False,2003.0,"year: 2003, median Ki: 930.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105118,18.1065785867,14.1236030373,True,False,2003.0,"year: 2003, median Ki: 330.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,19.2444807211,12.7034633753,True,False,2003.0,"year: 2003, median Ki: 730.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105327,20.1227688112,12.8137579714,True,False,2003.0,"year: 2003, median Ki: 380.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105369,18.6608963383,12.6708982168,True,False,2003.0,"year: 2003, median Ki: 3.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105556,20.8062294322,12.2573097524,True,False,2003.0,"year: 2003, median Ki: 8.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105722,19.1407871559,13.8829920249,True,False,2003.0,"year: 2003, median Ki: 820.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105743,18.6278053444,13.6258195036,True,False,2003.0,"year: 2003, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105958,18.5897702618,13.4719214879,True,False,2003.0,"year: 2003, median Ki: 420.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL107511,-5.04168669849,7.70094027522,True,False,1999.0,"year: 1999, median Ki: 3.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085672,4.35795325544,-2.92760911226,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: N/A, median EC50: 501.19, median AC50: N/A"
CHEMBL109360,-6.67306773229,12.9661872009,True,False,1996.0,"year: 1996, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL109839,-5.09122972269,5.48692243695,True,False,1996.0,"year: 1996, median Ki: 69.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL110317,-3.96346321874,7.82273929209,True,False,1996.0,"year: 1996, median Ki: 9.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL110318,-4.18220457433,4.78119170205,True,False,1996.0,"year: 1996, median Ki: 55.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111000,-6.71383882343,12.9680066635,True,False,1996.0,"year: 1996, median Ki: 31.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111150,-4.39658292264,5.14230771853,True,False,1996.0,"year: 1996, median Ki: 16.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111283,-4.39932075065,5.13965136157,True,False,1996.0,"year: 1996, median Ki: 42.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111284,-4.74059973667,5.46210688594,True,False,1996.0,"year: 1996, median Ki: 42.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111376,-4.66413107773,5.50201332983,True,False,1996.0,"year: 1996, median Ki: 1.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111899,-13.7245766231,-7.13919473925,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.2, median EC50: N/A, median AC50: N/A"
CHEMBL112507,-12.4215854056,-6.62341116461,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 0.1, median EC50: N/A, median AC50: N/A"
CHEMBL112558,-11.5237486235,-6.68015474043,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 3.2, median EC50: N/A, median AC50: N/A"
CHEMBL113238,20.4456660289,-1.63780255428,True,False,2002.0,"year: 2002, median Ki: 80.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113831,-11.6319205147,-7.12196309577,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 7.3, median EC50: N/A, median AC50: N/A"
CHEMBL113868,-4.312695113,-5.808158251,True,False,2003.0,"year: 2003, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113893,-3.42785985368,-5.56449958553,True,False,2003.0,"year: 2003, median Ki: 0.45, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113950,-4.44956436521,-5.74510502781,True,False,2003.0,"year: 2003, median Ki: 0.38, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113994,-3.05431087844,-5.26485701707,True,False,2003.0,"year: 2003, median Ki: 0.46, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114303,-13.2583241616,-7.12377606498,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.3, median EC50: N/A, median AC50: N/A"
CHEMBL114571,-3.23137170982,-5.55668286335,True,False,2003.0,"year: 2003, median Ki: 0.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114780,-3.20249707688,-5.58240917216,True,False,2003.0,"year: 2003, median Ki: 0.38, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114877,-13.2544180162,-7.06936816415,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.2, median EC50: N/A, median AC50: N/A"
CHEMBL115352,-13.3192702049,-7.27496336873,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.8, median EC50: N/A, median AC50: N/A"
CHEMBL115415,-4.74301081563,14.0337808091,True,False,2003.0,"year: 2003, median Ki: 8.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL115496,-11.4389654958,-7.34256248029,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 21.0, median EC50: N/A, median AC50: N/A"
CHEMBL115663,-4.45825082848,-5.77484063784,True,False,2003.0,"year: 2003, median Ki: 0.56, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL115750,-18.2187021261,6.40957830347,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.8, median EC50: 1.5, median AC50: N/A"
CHEMBL115941,-4.13857575001,-4.38496757348,True,False,2003.0,"year: 2003, median Ki: 0.76, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1159649,7.38240775575,-26.5343534184,True,False,2003.0,"year: 2003, median Ki: 25.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL115989,-13.6549288121,-7.13665471197,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1.35, median EC50: N/A, median AC50: N/A"
CHEMBL116031,-17.4059243035,5.32688346404,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.55, median EC50: 1.45, median AC50: N/A"
CHEMBL116092,-14.8994487622,5.72831207882,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 3.1, median EC50: 2.3, median AC50: N/A"
CHEMBL116153,-18.2035909301,6.1206760927,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.7, median EC50: 0.6, median AC50: N/A"
CHEMBL116161,-12.492390358,-7.59272775089,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 0.65, median EC50: N/A, median AC50: N/A"
CHEMBL116314,-0.934061446019,2.81133389439,True,False,1995.0,"year: 1995, median Ki: 1.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116448,3.5953325849,3.72769810122,True,False,2000.0,"year: 2000, median Ki: 501.19, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116876,-4.16503772314,-4.42156163145,True,False,2003.0,"year: 2003, median Ki: 0.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1169435,7.38240959296,-26.5343541975,True,False,2003.0,"year: 2003, median Ki: 15.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117046,-16.8568526764,1.6600387701,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 4.7, median EC50: 7.8, median AC50: N/A"
CHEMBL117157,-0.15997834881,2.22885982677,True,False,1995.0,"year: 1995, median Ki: 1.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117249,-15.276504904,6.46351026241,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 34.0, median EC50: 53.5, median AC50: N/A"
CHEMBL117397,-4.42864178161,-5.67839092263,True,False,2003.0,"year: 2003, median Ki: 0.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117579,-17.9340325266,-2.96085378756,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.7, median EC50: 1.55, median AC50: N/A"
CHEMBL117633,-15.935574962,5.62397980167,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 1.4, median EC50: 1.3, median AC50: N/A"
CHEMBL118012,-11.74172065,4.10891284091,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 1.3, median EC50: 1.75, median AC50: N/A"
CHEMBL1181680,-2.46867008757,17.0157359393,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181770,-2.45713466314,17.0176695573,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1185,15.367254104,3.03213722731,True,True,1995.0,"year: 1995, median Ki: 0.92, median IC50: 2.82, median EC50: N/A, median AC50: N/A"
CHEMBL118563,-0.139260640095,2.84908700113,True,False,1995.0,"year: 1995, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1188501,2.46753290327,14.0123357514,True,False,2013.0,"year: 2013, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL119264,12.0965495083,15.7679303101,True,False,1997.0,"year: 1997, median Ki: 700.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1193970,-6.30414806238,3.08879495329,True,False,1995.0,"year: 1995, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1194956,20.1796402936,-13.1114592096,True,False,2000.0,"year: 2000, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1195292,6.32402373942,-10.8944772895,True,False,1995.0,"year: 1995, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL119668,-18.267059149,6.24116581022,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 0.95, median EC50: 1.3, median AC50: N/A"
CHEMBL119785,-10.9323201714,-3.0760863467,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 1.3, median EC50: 1.85, median AC50: N/A"
CHEMBL119800,12.6940885263,15.0527516885,True,False,1997.0,"year: 1997, median Ki: 560.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL119927,-1.22299208501,1.28154731927,True,False,1995.0,"year: 1995, median Ki: 0.66, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL120055,-1.06026126717,1.62627950904,True,False,1995.0,"year: 1995, median Ki: 1.48, median IC50: N/A, median EC50: 0.6, median AC50: N/A"
CHEMBL120272,-1.84381808077,4.24449103445,True,False,1995.0,"year: 1995, median Ki: 3.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL120480,-0.661953778207,1.35093812637,True,False,1995.0,"year: 1995, median Ki: 1.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL120514,-1.52116822318,4.26539496829,True,False,1995.0,"year: 1995, median Ki: 0.34, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL121207,-0.685769422471,3.26893152561,True,False,1995.0,"year: 1995, median Ki: 0.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL121499,-0.929384601131,2.43067002207,True,False,1995.0,"year: 1995, median Ki: 1.72, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL121901,-0.286652685879,2.84619842564,True,False,1995.0,"year: 1995, median Ki: 1.63, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1241546,10.9163180272,-19.3755834902,True,False,2010.0,"year: 2010, median Ki: 0.13, median IC50: N/A, median EC50: N/A, median AC50: N/A"
