,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL103479,-1.03035968052,3.24711001082,True,False,2003.0,"year: 2003, median Ki: 660.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,-0.989787975501,3.38213359422,True,False,2003.0,"year: 2003, median Ki: 770.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114012,7.17302350645,-6.65260026094,True,False,2000.0,"year: 2000, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116448,5.50224781567,-7.20131185182,True,False,2000.0,"year: 2000, median Ki: 2511.89, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1173331,6.62895001827,7.46640308751,True,False,2013.0,"year: 2013, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181665,-4.36214952234,5.72270725834,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181680,-4.11573339023,5.56887846412,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181770,-3.70431576737,5.30205505722,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1188501,-5.59627799101,-7.91104713416,True,False,2013.0,"year: 2013, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL12264,4.22493407877,-6.37050668109,True,False,1998.0,"year: 1998, median Ki: 15848.93, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258223,2.91161068245,-2.21064097252,True,False,2010.0,"year: 2010, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258452,2.91520129259,-3.4540286607,True,False,2010.0,"year: 2010, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258671,2.90113527958,-2.68509423744,True,False,2010.0,"year: 2010, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL12624,4.99259922471,-6.91066759595,True,False,2000.0,"year: 2000, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL128,2.37464252357,3.64781521058,True,True,1997.0,"year: 1997, median Ki: N/A, median IC50: 5500.0, median EC50: N/A, median AC50: N/A"
CHEMBL137781,-0.871182385327,8.81555405921,True,False,2002.0,"year: 2002, median Ki: 200.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL138989,-0.883491232579,8.82434752349,True,False,2002.0,"year: 2002, median Ki: 140.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL154274,-0.389040248012,-10.2856792195,True,False,2001.0,"year: 2001, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL157910,0.0380399227124,-10.0392770627,True,False,2001.0,"year: 2001, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1615596,8.06100193896,7.85834632858,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632158,0.552417543799,-1.50268269012,True,False,2009.0,"year: 2009, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632174,0.580789698456,-1.43649553456,True,False,2009.0,"year: 2009, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1672288,-10.8066073281,-1.09795433036,True,False,2011.0,"year: 2011, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1788231,7.17307029927,-6.65272686837,True,False,2000.0,"year: 2000, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1908863,-3.25679444709,-0.510808464366,True,False,2008.0,"year: 2008, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL2031737,-3.82174475248,1.96682034415,True,False,2012.0,"year: 2012, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL2058409,6.53944335647,8.3789865906,True,False,2013.0,"year: 2013, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL2058418,6.5844200849,9.04407711679,True,False,2013.0,"year: 2013, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
