,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL103479,-1.11386169519,34.2078521152,True,False,2003.0,"year: 2003, median Ki: 660.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,4.25346442071,0.349712696662,True,False,2003.0,"year: 2003, median Ki: 770.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL137781,5.19968957831,-42.7932815788,True,False,2002.0,"year: 2002, median Ki: 200.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL138989,-19.8897495619,4.33654484696,True,False,2002.0,"year: 2002, median Ki: 140.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL22744,13.7821134081,-20.5800510263,True,False,2008.0,"year: 2008, median Ki: N/A, median IC50: 99.0, median EC50: N/A, median AC50: N/A"
CHEMBL2391541,16.9262471545,17.9384317981,True,False,2013.0,"year: 2013, median Ki: 414.94, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL263881,36.378586887,-28.6346657378,True,False,2002.0,"year: 2002, median Ki: 93.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL267615,42.007173241,20.6760390483,True,False,2000.0,"year: 2000, median Ki: 520.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL282971,-37.0612887269,-13.9016459015,True,False,2002.0,"year: 2002, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL29410,-26.951856984,27.3356371233,True,False,2002.0,"year: 2002, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL343755,-21.477677673,-37.9762013905,True,False,2002.0,"year: 2002, median Ki: 280.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL39,31.9013468681,-3.50595952013,True,False,1990.0,"year: 1990, median Ki: 10.72, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL432713,-10.1268236681,-17.623930002,True,False,2001.0,"year: 2001, median Ki: 6.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
