,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL101686,2.57059435688,6.91617244219,True,False,2003.0,"year: 2003, median Ki: 20.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101690,7.50103158846,-2.0697244235,True,False,2003.0,"year: 2003, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102182,2.53101534656,1.3924639196,True,False,2003.0,"year: 2003, median Ki: 75.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102250,5.87553125976,4.08856853771,True,False,2003.0,"year: 2003, median Ki: 4.6, median IC50: N/A, median EC50: 11.0, median AC50: N/A"
CHEMBL102292,4.39123591187,5.58913090376,True,False,2003.0,"year: 2003, median Ki: 3.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102335,3.43264401271,2.85455253866,True,False,2003.0,"year: 2003, median Ki: 9.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102344,2.69224019513,6.88099257493,True,False,2003.0,"year: 2003, median Ki: 13.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103058,0.0665869800925,8.35616547165,True,False,2003.0,"year: 2003, median Ki: 21.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103424,7.92183670656,-1.6097285674,True,False,2003.0,"year: 2003, median Ki: 9.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,5.50310980163,2.67416795781,True,False,2003.0,"year: 2003, median Ki: 7.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103503,7.73145652656,-0.667317282994,True,False,2003.0,"year: 2003, median Ki: 13.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103550,8.05035763939,2.99766754756,True,False,2003.0,"year: 2003, median Ki: 11.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104026,8.38204860282,-0.430574807356,True,False,2003.0,"year: 2003, median Ki: 210.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104158,7.36957230487,0.729921121264,True,False,2003.0,"year: 2003, median Ki: 220.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104374,5.45030311007,10.7007554521,True,False,2003.0,"year: 2003, median Ki: 23.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104384,8.81215667782,5.87543203608,True,False,2003.0,"year: 2003, median Ki: 19.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
