,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,-12.6694670322,26.4392391118,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1004,3.20893238353,-4.18785623257,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1005,-25.8606969864,3.62177909895,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1006,15.6727564673,-6.11523668281,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100626,-32.3473558641,41.2368438049,True,False,1996.0,"year: 1996, median Ki: 2300.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100635,-39.7906784879,-10.5644585416,True,False,2001.0,"year: 2001, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1008,-19.341473582,-5.43893452148,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1009,-11.342950383,-13.9717050217,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101,4.17530279389,6.97245257794,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101008,-30.7356856135,44.464640998,True,False,1996.0,"year: 1996, median Ki: 12.76, median IC50: 0.3, median EC50: 13.0, median AC50: N/A"
CHEMBL101076,-29.2824584792,-53.5860735785,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 25.3, median EC50: N/A, median AC50: N/A"
CHEMBL101138,34.6246588379,-22.1923889316,True,False,1994.0,"year: 1994, median Ki: N/A, median IC50: 5011.87, median EC50: N/A, median AC50: N/A"
CHEMBL101189,-33.4606583798,42.7446512966,True,False,1996.0,"year: 1996, median Ki: 34.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1013,52.9389504416,-9.03905657087,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101367,-17.6766280536,-7.39896210983,True,False,2000.0,"year: 2000, median Ki: 78.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101593,-29.4051291172,-53.0883030649,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 32.9, median EC50: N/A, median AC50: N/A"
CHEMBL1016,-12.9708389864,-32.7579145796,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1017,-12.4011497604,-33.2297337388,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1018,-8.16844333672,-10.9147525046,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
