,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1000,21.8446534725,4.05660845568,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100086,-20.7852529872,-13.4335334106,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 100000.0, median EC50: N/A, median AC50: N/A"
CHEMBL1004,14.3070333478,45.1532369166,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1005,-13.3086622861,24.8412340403,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1006,-23.2178539491,12.4006559391,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100635,-6.61638292127,10.2718613709,True,False,2001.0,"year: 2001, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1008,0.589775074563,10.3819407697,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100875,-20.852222053,-12.9593226483,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
CHEMBL1009,-9.34224816734,-1.64308268491,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101,2.68940942763,-12.3718362115,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101008,-32.5393193,-37.5504102144,True,False,1996.0,"year: 1996, median Ki: 0.3, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1013,9.55054220729,-71.0342608673,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101367,-6.79575260814,4.36263206786,True,False,2000.0,"year: 2000, median Ki: 530.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1016,-37.2919536343,44.9454592526,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL101664,-37.1545982424,-10.6782778099,True,False,2011.0,"year: 2011, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1017,-36.035997738,43.9039774951,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1018,-7.29909546315,-7.54588155271,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1020,10.7568547684,6.96623312053,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1021,9.45428486655,8.08756551075,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102268,-4.75470494668,6.04215742911,True,False,2000.0,"year: 2000, median Ki: 40.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102274,-7.01333121807,6.92515109306,True,False,2000.0,"year: 2000, median Ki: 28.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1023,20.4773937835,17.8351888808,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102347,-12.0429523565,12.7779082976,True,False,1997.0,"year: 1997, median Ki: 611.65, median IC50: N/A, median EC50: 2000.0, median AC50: N/A"
CHEMBL1024,-27.9539173842,11.0157734805,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1025,-21.2257297693,4.83000104512,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1027,-21.9567309672,-15.4358923591,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1029,26.1409012711,0.162900926669,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL102970,5.20782996903,-8.32472306888,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103,64.2584588537,23.4090497786,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103028,-6.36150599947,10.4638266927,True,False,2000.0,"year: 2000, median Ki: 76.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,-35.7706558461,-22.0913270683,True,False,2003.0,"year: 2003, median Ki: 1900.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1037,25.1300434756,5.78528460735,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104,42.6649411229,9.85928622845,False,True,0.0,"year: N/A, median Ki: 7581.0, median IC50: 14472.0, median EC50: N/A, median AC50: N/A"
CHEMBL104088,-9.3196404836,7.30125318003,True,False,2000.0,"year: 2000, median Ki: 525.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL104102,-2.91370005743,5.94571888365,True,False,2000.0,"year: 2000, median Ki: 24.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1042,53.1968472474,22.1761145818,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1043,26.4034125842,15.0968423601,False,True,0.0,"year: N/A, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
