,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100088,4.56795519025,2.92230327093,True,False,1999.0,"year: 1999, median Ki: 108.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100199,1.40411840732,2.9559940957,True,False,1999.0,"year: 1999, median Ki: 16.9, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100313,1.01162672703,3.91377276987,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
CHEMBL100317,3.00948477077,1.59161852971,True,False,1999.0,"year: 1999, median Ki: 103.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,-12.4796402708,-0.660702433893,True,False,2003.0,"year: 2003, median Ki: 4000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,-10.0143825574,0.593686517726,True,False,2003.0,"year: 2003, median Ki: 2400.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083787,11.397730051,23.3678783515,True,False,2010.0,"year: 2010, median Ki: 6000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114112,-16.4686632806,-6.5546661585,True,False,2010.0,"year: 2010, median Ki: 1.2, median IC50: N/A, median EC50: 12.59, median AC50: N/A"
CHEMBL1162955,-1.21032380453,12.7202613725,True,False,2007.0,"year: 2007, median Ki: 15.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1163015,-17.0576387013,14.9199531393,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL116448,22.952272456,1.17769723333,True,False,2000.0,"year: 2000, median Ki: 6309.57, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116913,-24.2623866974,3.00591064916,True,False,2003.0,"year: 2003, median Ki: 29.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117287,-30.2136583674,-3.11845053672,True,False,2003.0,"year: 2003, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1179716,3.70250139206,0.392219118933,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1179748,3.45607709239,0.654573344669,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1179774,3.78389686363,0.248043977818,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181946,-18.4670199605,7.78298320195,True,False,2006.0,"year: 2006, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1188501,-11.1416776224,10.2239422684,True,False,2013.0,"year: 2013, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL120216,14.7815538605,-12.9104455113,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL121766,11.7176756522,14.4164020193,True,False,2000.0,"year: 2000, median Ki: 64.0, median IC50: 64.0, median EC50: N/A, median AC50: N/A"
