,activity,extra_tooltip,x,y
CHEMBL100086,inactive,,6.360054,-5.934013
CHEMBL101686,active,,18.733303,0.587351
CHEMBL101690,active,,12.00462,7.217849
CHEMBL103479,inactive,,12.060737,7.27635
CHEMBL103503,active,,11.612038,7.741158
CHEMBL103550,inactive,,12.096935,7.214045
CHEMBL104,inactive,,9.874597,31.926188
CHEMBL104158,inactive,,16.434292,10.712359
CHEMBL104720,inactive,,16.122995,9.9105
CHEMBL105091,inactive,,12.517016,7.478549
CHEMBL105369,active,,12.117627,7.194945
CHEMBL105556,active,,16.167685,10.794122
CHEMBL107487,active,,18.672291,3.675697
CHEMBL107511,active,,-17.176691,22.93392
CHEMBL107617,active,,18.603945,3.555676
CHEMBL109360,active,,15.933284,9.799387
CHEMBL109839,active,,18.691076,3.559848
CHEMBL110318,active,,18.644356,3.474864
CHEMBL110601,active,,0.394579,-4.696608
CHEMBL111150,active,,18.649012,3.550684
CHEMBL111283,active,,18.603333,3.654132
CHEMBL111284,active,,18.657259,3.682506
CHEMBL111302,active,,-0.106093,-4.838026
CHEMBL111316,active,,-17.794109,23.204941
CHEMBL111899,active,,14.719419,-12.809091
CHEMBL112507,active,,12.320713,-14.767122
CHEMBL112558,active,,13.60997,-14.056551
CHEMBL11262,inactive,,17.647932,5.395701
CHEMBL11265,inactive,,16.079372,-6.367712
CHEMBL113831,active,,14.559861,-13.130533
CHEMBL113868,active,,14.798433,-7.987614
CHEMBL113994,active,,11.76812,-15.12124
CHEMBL114012,inactive,,15.033031,-1.97979
CHEMBL11425,inactive,,15.474997,-5.729671
CHEMBL114303,active,,13.940571,-13.656042
CHEMBL114780,active,,10.091483,-3.897792
CHEMBL114877,active,,13.609641,-13.814076
CHEMBL115352,active,,14.577375,-13.089655
CHEMBL115663,active,,11.659106,-15.096452
CHEMBL115750,active,,12.139194,-15.196538
CHEMBL115941,active,,11.904727,-15.126899
CHEMBL115989,active,,14.474345,-13.267191
CHEMBL116031,active,,12.07718,-15.345161
CHEMBL116092,active,,16.839155,9.962298
CHEMBL116153,active,,12.201271,-14.996236
CHEMBL116161,active,,14.508641,-13.178099
CHEMBL116463,inactive,,6.839175,-10.896879
CHEMBL117046,active,,13.402334,-14.322902
CHEMBL117397,active,,11.26298,-15.019381
CHEMBL117579,active,,13.128324,-15.265395
CHEMBL117633,active,,12.104035,-15.268441
CHEMBL11787,inactive,,2.906323,-11.361413
CHEMBL118012,active,,13.639315,-14.009513
CHEMBL1189234,inactive,,-33.486771,43.454189
CHEMBL119443,active,,26.846785,10.155766
CHEMBL119668,active,,12.135644,-15.013871
CHEMBL119800,active,,-4.215275,0.112948
CHEMBL1201356,active,,26.787949,10.229832
CHEMBL1201939,active,,-4.419385,-4.545432
CHEMBL12124,inactive,,14.800212,2.121408
CHEMBL12264,inactive,,15.124284,-1.586258
CHEMBL12314,inactive,,17.550892,4.498742
CHEMBL1241548,active,,-1.481842,1.644499
CHEMBL1241640,active,,0.3576,-8.02425
CHEMBL1255837,active,,-0.385864,23.389973
CHEMBL125745,active,,3.731041,8.742612
CHEMBL1258452,inactive,,15.297138,2.841976
CHEMBL1258614,inactive,,1.526403,5.847731
CHEMBL1258671,inactive,,14.305062,1.805122
CHEMBL1258722,inactive,,1.646323,5.873733
CHEMBL1258723,inactive,,1.634929,5.854681
CHEMBL1258843,inactive,,1.505883,5.915298
CHEMBL1259203,active,,4.863623,4.135103
CHEMBL12624,inactive,,15.045603,-1.655281
CHEMBL12713,active,,-0.499807,-11.854436
CHEMBL127411,inactive,,4.091615,8.679942
CHEMBL1277105,inactive,,-4.170364,3.394294
CHEMBL1277917,inactive,,-1.017884,6.210001
CHEMBL1278,active,,16.580545,9.93479
CHEMBL1279,active,,-17.996086,23.116312
CHEMBL129813,active,,-0.27632,-5.114968
CHEMBL130103,inactive,,2.226426,-4.587441
CHEMBL1306,inactive,,3.112633,-8.39168
CHEMBL132657,inactive,,1.508121,-3.260368
CHEMBL132878,inactive,,4.883186,4.077769
CHEMBL132970,inactive,,-18.148277,19.602749
CHEMBL133375,inactive,,16.067108,-6.439816
CHEMBL133455,inactive,,18.184011,10.55961
CHEMBL133868,inactive,,18.236183,10.63431
CHEMBL133939,inactive,,17.647308,9.968402
CHEMBL135489,inactive,,16.964218,7.240262
CHEMBL135490,inactive,,19.268238,8.72739
CHEMBL135952,inactive,,15.998588,-5.968807
CHEMBL136072,inactive,,-19.5173,22.897291
CHEMBL136108,inactive,,-9.611128,-14.9298
CHEMBL136236,active,,-6.881418,-13.700489
CHEMBL13647,inactive,,9.385246,-4.470815
CHEMBL136962,inactive,,17.858879,4.329223
CHEMBL137478,inactive,,14.943613,1.802994
CHEMBL137486,inactive,,8.106282,-11.833476
CHEMBL137642,inactive,,11.413207,9.73755
CHEMBL137643,inactive,,-19.299555,22.178991
CHEMBL138509,inactive,,-19.588514,22.592379
CHEMBL1385840,active,,-0.51804,23.542009
CHEMBL138907,inactive,,16.170542,5.283911
CHEMBL139230,inactive,,16.273312,10.450341
CHEMBL139737,inactive,,-6.911592,-13.599601
CHEMBL139976,inactive,,-19.673927,23.143444
CHEMBL1403281,active,,-0.530585,23.554813
CHEMBL140358,inactive,,16.167068,10.318393
CHEMBL1416204,active,,-17.211342,22.917301
CHEMBL141706,inactive,,19.100979,6.588494
CHEMBL143512,active,,-23.56908,2.492465
CHEMBL143767,active,,-23.528557,2.440284
CHEMBL143893,active,,13.550597,-14.094636
CHEMBL143947,active,,13.66378,-13.966537
CHEMBL143951,active,,13.700028,-15.71879
CHEMBL143952,active,,12.092346,-14.213178
CHEMBL143967,active,,19.684452,4.569374
CHEMBL145849,active,,13.799491,-13.797431
CHEMBL145982,active,,12.058393,-14.118799
CHEMBL145997,active,,13.450931,-14.32058
CHEMBL146023,active,,13.704238,-13.848888
CHEMBL146024,active,,12.012237,-14.512908
CHEMBL146131,active,,13.596879,-13.882221
CHEMBL146132,active,,13.573127,-14.027766
CHEMBL146265,active,,13.68091,-13.914125
CHEMBL146335,active,,13.844105,-13.777807
CHEMBL146338,active,,13.763946,-13.706559
CHEMBL146391,active,,13.67253,-14.022474
CHEMBL146396,active,,11.958349,-14.36951
CHEMBL146483,active,,13.903286,-13.654789
CHEMBL146502,active,,13.661183,-13.925078
CHEMBL146628,active,,13.806712,-13.806803
CHEMBL146729,active,,13.406162,-14.405879
CHEMBL146735,active,,-0.960673,-4.228958
CHEMBL146891,active,,13.368849,-14.395728
CHEMBL146991,active,,12.253024,-14.895136
CHEMBL147071,active,,-1.270358,-4.059045
CHEMBL147077,inactive,,9.679402,-13.95487
CHEMBL147148,active,,12.660599,-14.556293
CHEMBL147546,active,,13.959352,-13.624842
CHEMBL147555,active,,13.806089,-13.688759
CHEMBL147660,active,,13.935452,-13.588859
CHEMBL147677,active,,13.397742,-15.657682
CHEMBL147818,active,,13.750777,-13.858232
CHEMBL147853,active,,13.680354,-13.936767
CHEMBL147901,active,,13.464389,-15.688643
CHEMBL147907,active,,13.591063,-14.113275
CHEMBL147940,active,,13.652822,-13.793908
CHEMBL147979,active,,13.690101,-13.861309
CHEMBL148022,active,,13.45128,-15.665374
CHEMBL148071,active,,13.718495,-13.812529
CHEMBL148087,active,,13.370721,-14.292358
CHEMBL148110,active,,12.539927,-14.511007
CHEMBL148194,active,,13.784594,-13.968201
CHEMBL148233,active,,14.476934,-13.300485
CHEMBL148325,active,,12.348744,-14.69528
CHEMBL149488,active,,13.912426,-13.684449
CHEMBL151420,active,,-1.003306,-4.333303
CHEMBL151894,active,,-13.215321,1.638661
CHEMBL153136,active,,12.105835,-6.77352
CHEMBL153451,active,,11.796686,-0.281975
CHEMBL157110,inactive,,-19.804266,24.089045
CHEMBL157138,active,,26.707752,10.323276
CHEMBL157910,inactive,,-6.977159,5.773083
CHEMBL15837,active,,3.286529,-10.764494
CHEMBL15855,active,,3.013199,-10.262503
CHEMBL158627,inactive,,1.804364,-8.970871
CHEMBL158638,active,,17.153538,10.146007
CHEMBL159278,active,,12.101995,-15.086202
CHEMBL159332,active,,16.651094,9.803608
CHEMBL159396,active,,1.298477,3.851153
CHEMBL159483,active,,13.263604,-15.110762
CHEMBL159493,active,,12.076257,-15.361211
CHEMBL159536,inactive,,16.695219,9.893226
CHEMBL15961,active,,3.047029,-10.218188
CHEMBL159627,active,,16.409994,9.725372
CHEMBL159650,active,,13.319603,-14.993361
CHEMBL159683,active,,12.397811,-15.241804
CHEMBL159759,active,,13.159925,-15.174153
CHEMBL159819,active,,13.023813,-15.289012
CHEMBL160070,active,,13.460078,-14.810876
CHEMBL16035,active,,-4.615911,-3.911792
CHEMBL161045,active,,16.709455,9.924314
CHEMBL161066,active,,13.154009,-15.298725
CHEMBL161176,active,,12.30035,-14.957658
CHEMBL161410,active,,13.168308,-15.216502
CHEMBL161696,active,,12.133375,-15.169977
CHEMBL161723,active,,11.986781,-15.276068
CHEMBL161735,active,,12.444865,-14.993057
CHEMBL161780,active,,13.105571,-15.365288
CHEMBL161894,active,,11.77702,-15.169804
CHEMBL161969,inactive,,11.743743,-15.59563
CHEMBL161970,active,,12.221766,-15.035089
CHEMBL162012,active,,9.579045,-3.696858
CHEMBL162049,active,,10.109392,-4.147111
CHEMBL162463,active,,0.961729,3.488037
CHEMBL162722,active,,12.293656,-14.956618
CHEMBL162805,active,,12.336499,-15.433388
CHEMBL162858,active,,12.250812,-15.19505
CHEMBL162930,active,,0.556684,8.082235
CHEMBL163114,active,,12.124883,-15.133978
CHEMBL163127,active,,12.236506,-15.100089
CHEMBL163151,active,,9.408113,-3.774345
CHEMBL1631533,active,,-3.912857,-1.025379
CHEMBL1631537,active,,-13.240541,0.803937
CHEMBL1631539,active,,2.486487,-4.528486
CHEMBL1631540,active,,4.814893,-4.424966
